source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,0cdc0eca,1,c93d021f,3,1070,F,1066,B,BET_RAISE,0.9845,24.5562,24.7500
1,0,16,3b24dd22,7,c93d021f,3,1070,F,1070,F,FOLD,0.8087,25.7553,26.1250
2,0,16,9544e832,5,c93d021f,3,1070,F,7247,CH,CHECK_CALL,1.5576,25.8792,25.5000
3,0,16,4483e5fb,2,c93d021f,3,1070,F,1070,F,FOLD,0.8184,25.5151,25.8750
4,0,16,bc613b13,7,c93d021f,3,1070,F,1070,F,FOLD,0.6851,25.6317,26.1250
5,0,16,bc613b13,5,c93d021f,3,1070,F,7247,CH,CHECK_CALL,1.6821,25.8788,25.3750
6,0,16,f1d123c3,1,c93d021f,3,1070,F,1066,B,BET_RAISE,1.3531,24.7997,24.6250
7,0,16,3b24dd22,5,c93d021f,3,1070,F,7247,CH,CHECK_CALL,1.6825,25.8792,25.3750
8,0,16,3764e4c9,3,c93d021f,3,1070,F,7247,CH,CHECK_CALL,1.3092,25.7559,25.6250
9,0,16,3b24dd22,3,c93d021f,3,1070,F,7247,CH,CHECK_CALL,1.5592,25.8809,25.5000
0,1,16,0cdc0eca,1,ebe02414,3,1070,F,1066,B,BET_RAISE,0.7633,24.5633,24.7500
1,1,16,3b24dd22,7,ebe02414,3,1070,F,1070,F,FOLD,0.5803,25.7553,26.1250
2,1,16,9544e832,5,ebe02414,3,1070,F,7247,CH,CHECK_CALL,1.4542,25.8792,25.3750
3,1,16,4483e5fb,2,ebe02414,3,1070,F,1070,F,FOLD,0.7133,25.6383,25.8750
4,1,16,bc613b13,7,ebe02414,3,1070,F,1070,F,FOLD,0.5817,25.6317,26.0000
5,1,16,bc613b13,5,ebe02414,3,1070,F,7247,CH,CHECK_CALL,1.5787,26.0037,25.3750
6,1,16,f1d123c3,1,ebe02414,3,1070,F,1066,B,BET_RAISE,1.0132,24.6882,24.6250
7,1,16,3b24dd22,5,ebe02414,3,1070,F,7247,CH,CHECK_CALL,1.4542,25.8792,25.3750
8,1,16,3764e4c9,3,ebe02414,3,1070,F,7247,CH,CHECK_CALL,1.0809,25.7559,25.6250
9,1,16,3b24dd22,3,ebe02414,3,1070,F,7247,CH,CHECK_CALL,1.3309,25.8809,25.5000
0,2,16,0cdc0eca,1,3b24dd22,9,1070,F,1070,F,FOLD,1.5000,25.2672,25.5000
1,2,16,3b24dd22,7,3b24dd22,9,1070,F,1070,F,FOLD,0.7391,25.7563,26.7500
2,2,16,9544e832,5,3b24dd22,9,1070,F,1070,F,FOLD,1.6118,26.2540,26.3750
3,2,16,4483e5fb,2,3b24dd22,9,1070,F,1070,F,FOLD,0.8687,25.7609,26.6250
4,2,16,bc613b13,7,3b24dd22,9,1070,F,1070,F,FOLD,0.8648,25.7570,26.6250
5,2,16,bc613b13,5,3b24dd22,9,1070,F,1070,F,FOLD,1.7367,26.2539,26.2500
6,2,16,f1d123c3,1,3b24dd22,9,1070,F,1070,F,FOLD,1.7481,25.3903,25.3750
7,2,16,3b24dd22,5,3b24dd22,9,1070,F,1070,F,FOLD,1.6117,26.2539,26.3750
8,2,16,3764e4c9,3,3b24dd22,9,1070,F,1070,F,FOLD,1.3640,26.0062,26.3750
9,2,16,3b24dd22,3,3b24dd22,9,1070,F,1070,F,FOLD,1.7372,26.2544,26.2500
0,3,16,0cdc0eca,1,02ad501a,3,1070,F,1066,B,BET_RAISE,0.9996,24.5633,24.7500
1,3,16,3b24dd22,7,02ad501a,3,1070,F,1070,F,FOLD,0.8173,25.7560,26.1250
2,3,16,9544e832,5,02ad501a,3,1070,F,7247,CH,CHECK_CALL,1.6905,25.8792,25.3750
3,3,16,4483e5fb,2,02ad501a,3,1070,F,1070,F,FOLD,0.9496,25.6383,25.8750
4,3,16,bc613b13,7,02ad501a,3,1070,F,1070,F,FOLD,0.8181,25.6318,26.0000
