source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,2a142729,1,565334d0,4,37,F,34516,CHECK,CHECK_CALL,23.4975,51.2500,35.7500
1,0,23,38264e6d,1,565334d0,4,37,F,34516,CHECK,CHECK_CALL,21.9975,51.2500,37.2500
2,0,23,4d746927,4,565334d0,4,37,F,34516,CHECK,CHECK_CALL,18.2475,51.2500,41.0000
3,0,23,ebb95508,1,565334d0,4,37,F,34516,CHECK,CHECK_CALL,23.4975,51.2500,35.7500
4,0,23,47ff1672,1,565334d0,4,37,F,34516,CHECK,CHECK_CALL,23.4975,50.7500,35.2500
5,0,23,5c06f19a,1,565334d0,4,37,F,33,B,BET_RAISE,22.7475,49.0000,34.2500
6,0,23,063521f5,1,565334d0,4,37,F,34516,CHECK,CHECK_CALL,22.9975,49.5000,34.5000
7,0,23,85ff172e,1,565334d0,4,37,F,34516,CHECK,CHECK_CALL,22.9975,50.0000,35.0000
8,0,23,44d0375b,4,565334d0,4,37,F,34516,CHECK,CHECK_CALL,17.9975,51.2500,41.2500
9,0,23,a06bc0ef,1,565334d0,4,37,F,34516,CHECK,CHECK_CALL,23.2475,50.0000,34.7500
0,1,23,2a142729,1,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,24.9933,51.0000,36.2500
1,1,23,38264e6d,1,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,23.7433,51.2500,37.7500
2,1,23,4d746927,4,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,19.7433,51.2500,41.7500
3,1,23,ebb95508,1,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,24.7433,50.7500,36.2500
4,1,23,47ff1672,1,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,25.2433,50.5000,35.5000
5,1,23,5c06f19a,1,2a63033d,4,37,F,33,B,BET_RAISE,23.9933,48.5000,34.7500
6,1,23,063521f5,1,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,24.7433,49.2500,34.7500
7,1,23,85ff172e,1,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,24.7433,49.7500,35.2500
8,1,23,44d0375b,4,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,19.4933,51.0000,41.7500
9,1,23,a06bc0ef,1,2a63033d,4,37,F,34516,CHECK,CHECK_CALL,24.7433,49.7500,35.2500
0,2,23,2a142729,1,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,22.9959,51.0000,35.7500
1,2,23,38264e6d,1,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,21.7459,51.2500,37.2500
2,2,23,4d746927,4,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,18.2459,51.5000,41.0000
3,2,23,ebb95508,1,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,22.7459,51.0000,36.0000
4,2,23,47ff1672,1,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,23.2459,50.7500,35.2500
5,2,23,5c06f19a,1,a06bc0ef,4,37,F,33,B,BET_RAISE,22.2459,48.7500,34.2500
6,2,23,063521f5,1,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,22.7459,49.5000,34.5000
7,2,23,85ff172e,1,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,22.7459,50.0000,35.0000
8,2,23,44d0375b,4,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,17.7459,51.2500,41.2500
9,2,23,a06bc0ef,1,a06bc0ef,4,37,F,34516,CHECK,CHECK_CALL,22.9959,50.0000,34.7500
0,3,23,2a142729,1,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,23.9981,51.0000,36.2500
1,3,23,38264e6d,1,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,22.4981,51.2500,38.0000
2,3,23,4d746927,4,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,18.9981,51.2500,41.5000
3,3,23,ebb95508,1,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,23.9981,51.0000,36.2500
4,3,23,47ff1672,1,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,24.2481,50.7500,35.7500
5,3,23,5c06f19a,1,c7de17f7,4,37,F,33,B,BET_RAISE,23.2481,48.7500,34.7500
6,3,23,063521f5,1,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,23.7481,49.2500,34.7500
7,3,23,85ff172e,1,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,23.7481,49.7500,35.2500
8,3,23,44d0375b,4,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,18.7481,51.0000,41.5000
9,3,23,a06bc0ef,1,c7de17f7,4,37,F,34516,CHECK,CHECK_CALL,23.7481,49.7500,35.2500
0,4,23,2a142729,1,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,23.7448,51.0000,35.7500
1,4,23,38264e6d,1,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,21.9948,51.0000,37.5000
2,4,23,4d746927,4,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,18.7448,51.0000,40.7500
3,4,23,ebb95508,1,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,23.2448,50.7500,36.0000
4,4,23,47ff1672,1,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,23.7448,50.5000,35.2500
5,4,23,5c06f19a,1,05aa086a,4,37,F,33,B,BET_RAISE,22.4948,48.5000,34.5000
6,4,23,063521f5,1,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,22.9948,49.2500,34.7500
7,4,23,85ff172e,1,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,23.2448,49.7500,35.0000
8,4,23,44d0375b,4,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,18.2448,51.0000,41.2500
9,4,23,a06bc0ef,1,05aa086a,4,37,F,34516,CHECK,CHECK_CALL,23.2448,49.7500,35.0000
0,5,23,2a142729,1,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,23.4975,51.0000,36.0000
1,5,23,38264e6d,1,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,22.2475,51.5000,37.7500
2,5,23,4d746927,4,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,18.4975,51.2500,41.2500
3,5,23,ebb95508,1,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,23.2475,51.0000,36.2500
4,5,23,47ff1672,1,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,23.9975,50.7500,35.2500
5,5,23,5c06f19a,1,b93186cb,4,37,F,33,B,BET_RAISE,22.7475,48.7500,34.5000
6,5,23,063521f5,1,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,23.2475,49.5000,34.7500
7,5,23,85ff172e,1,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,23.2475,50.0000,35.2500
8,5,23,44d0375b,4,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,18.2475,51.0000,41.2500
9,5,23,a06bc0ef,1,b93186cb,4,37,F,34516,CHECK,CHECK_CALL,23.2475,49.7500,35.0000
0,6,23,2a142729,1,d993a201,3,37,F,34516,CHECK,CHECK_CALL,22.2481,51.0000,36.5000
1,6,23,38264e6d,1,d993a201,3,37,F,34516,CHECK,CHECK_CALL,20.4981,51.0000,38.2500
2,6,23,4d746927,4,d993a201,3,37,F,34516,CHECK,CHECK_CALL,17.2481,51.2500,41.7500
3,6,23,ebb95508,1,d993a201,3,37,F,34516,CHECK,CHECK_CALL,22.2481,51.0000,36.5000
4,6,23,47ff1672,1,d993a201,3,37,F,34516,CHECK,CHECK_CALL,22.4981,50.5000,35.7500
5,6,23,5c06f19a,1,d993a201,3,37,F,34516,CHECK,CHECK_CALL,21.9981,48.7500,34.5000
6,6,23,063521f5,1,d993a201,3,37,F,34516,CHECK,CHECK_CALL,22.2481,49.2500,34.7500
7,6,23,85ff172e,1,d993a201,3,37,F,34516,CHECK,CHECK_CALL,22.2481,49.7500,35.2500
8,6,23,44d0375b,4,d993a201,3,37,F,34516,CHECK,CHECK_CALL,16.9981,51.2500,42.0000
9,6,23,a06bc0ef,1,d993a201,3,37,F,34516,CHECK,CHECK_CALL,22.4981,49.7500,35.0000
0,7,23,2a142729,1,b59b8308,4,37,F,34516,CHECK,CHECK_CALL,25.4968,51.0000,36.7500
1,7,23,38264e6d,1,b59b8308,4,37,F,34516,CHECK,CHECK_CALL,24.2468,51.2500,38.2500
2,7,23,4d746927,4,b59b8308,4,37,F,34516,CHECK,CHECK_CALL,20.4968,51.2500,42.0000
3,7,23,ebb95508,1,b59b8308,4,37,F,34516,CHECK,CHECK_CALL,25.4968,51.0000,36.7500
4,7,23,47ff1672,1,b59b8308,4,37,F,34516,CHECK,CHECK_CALL,25.7468,50.5000,36.0000
5,7,23,5c06f19a,1,b59b8308,4,37,F,33,B,BET_RAISE,24.7468,48.7500,35.2500
6,7,23,063521f5,1,b59b8308,4,37,F,34516,CHECK,CHECK_CALL,25.2468,49.2500,35.2500
