source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,a95ff226,1,be579044,10,37,F,34516,CHECK,CHECK_CALL,9.7500,45.7500,39.5000
1,0,23,3b4edc47,6,be579044,10,37,F,34516,CHECK,CHECK_CALL,14.0000,50.0000,39.5000
2,0,23,02a91008,8,be579044,10,37,F,34516,CHECK,CHECK_CALL,12.5000,47.0001,38.0000
3,0,23,afa0e226,3,be579044,10,37,F,34516,CHECK,CHECK_CALL,14.0000,50.2500,39.7500
4,0,23,13c9aae3,2,be579044,10,37,F,33,B,BET_RAISE,16.5000,49.0000,36.0000
5,0,23,c67f8afe,4,be579044,10,37,F,34516,CHECK,CHECK_CALL,17.0000,51.0000,37.5000
6,0,23,23f7bfb3,7,be579044,10,37,F,34516,CHECK,CHECK_CALL,19.2500,51.7500,36.0000
7,0,23,3b4edc47,1,be579044,10,37,F,34516,CHECK,CHECK_CALL,5.5000,45.0000,43.0000
8,0,23,29aa3f34,6,be579044,10,37,F,34516,CHECK,CHECK_CALL,16.7500,51.7500,38.5000
9,0,23,1176dbe9,1,be579044,10,37,F,34516,CHECK,CHECK_CALL,11.2500,45.5000,37.7500
0,1,23,a95ff226,1,3b4edc47,8,37,F,34516,CHECK,CHECK_CALL,11.2496,48.0000,40.0000
1,1,23,3b4edc47,6,3b4edc47,8,37,F,34516,CHECK,CHECK_CALL,14.2496,50.7500,39.7500
2,1,23,02a91008,8,3b4edc47,8,37,F,34516,CHECK,CHECK_CALL,14.4996,49.2500,38.0000
3,1,23,afa0e226,3,3b4edc47,8,37,F,34516,CHECK,CHECK_CALL,14.4996,51.2500,40.0000
4,1,23,13c9aae3,2,3b4edc47,8,37,F,34516,CHECK,CHECK_CALL,16.9996,50.0000,36.2500
5,1,23,c67f8afe,4,3b4edc47,8,37,F,34516,CHECK,CHECK_CALL,16.7496,51.2500,37.7500
6,1,23,23f7bfb3,7,3b4edc47,8,37,F,34516,CHECK,CHECK_CALL,19.2496,52.2500,36.2500
7,1,23,3b4edc47,1,3b4edc47,8,37,F,34516,CHECK,CHECK_CALL,7.4996,47.5000,43.2500
