source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,15,04b99aa8,17,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.2540,24.5184,24.0004
1,0,15,9c1747d6,15,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.3675,24.6320,24.0004
2,0,15,96cdb971,9,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.3814,25.5208,24.8753
3,0,15,42c2edce,14,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,-0.1249,25.3894,25.2503
4,0,15,c78a6cfe,9,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.6313,25.5208,24.6254
5,0,15,5ddde0ce,15,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.6176,24.7570,23.8753
6,0,15,04b99aa8,14,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.1269,25.3912,25.0003
7,0,15,e50f78aa,14,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.0040,25.3933,25.1253
8,0,15,59c59ded,9,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.6314,25.5208,24.6253
9,0,15,a0ca126c,15,9c1747d6,17,37,F,35616,CHECK,CHECK_CALL,0.6176,24.7570,23.8753
0,1,15,04b99aa8,17,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.3926,24.9089,24.5004
1,1,15,9c1747d6,15,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.3750,25.0163,24.6253
2,1,15,96cdb971,9,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.5102,25.6515,25.1253
3,1,15,42c2edce,14,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.1271,25.5184,25.3753
4,1,15,c78a6cfe,9,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.6352,25.6515,25.0004
5,1,15,5ddde0ce,15,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.7500,25.1413,24.3753
6,1,15,04b99aa8,14,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.1352,25.4015,25.2503
7,1,15,e50f78aa,14,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.2572,25.5235,25.2503
8,1,15,59c59ded,9,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.6352,25.6515,25.0004
9,1,15,a0ca126c,15,314deeea,14,37,F,35616,CHECK,CHECK_CALL,0.6231,25.1394,24.5003
0,2,15,04b99aa8,17,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,-0.0027,24.5209,23.8754
1,2,15,9c1747d6,15,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,-0.1396,24.6339,24.1253
2,2,15,96cdb971,9,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,0.1280,25.5265,24.7503
3,2,15,42c2edce,14,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,-0.3821,25.5163,25.2502
4,2,15,c78a6cfe,9,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,0.2500,25.5235,24.6253
5,2,15,5ddde0ce,15,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,0.3594,24.7579,23.7503
6,2,15,04b99aa8,14,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,-0.2527,25.3958,25.0003
7,2,15,e50f78aa,14,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,-0.2500,25.3985,25.0003
8,2,15,59c59ded,9,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,0.3780,25.5265,24.5004
9,2,15,a0ca126c,15,e1f237de,17,37,F,35616,CHECK,CHECK_CALL,0.3585,24.8819,23.8753
0,3,15,04b99aa8,17,c78a6cfe,17,37,F,35616,CHECK,CHECK_CALL,0.2499,24.3935,23.8754
1,3,15,9c1747d6,15,c78a6cfe,17,37,F,35616,CHECK,CHECK_CALL,0.2385,24.5070,24.0003
2,3,15,96cdb971,9,c78a6cfe,17,37,F,35616,CHECK,CHECK_CALL,0.3773,25.5208,24.8753
3,3,15,42c2edce,14,c78a6cfe,17,37,F,35616,CHECK,CHECK_CALL,-0.1290,25.3894,25.2502
4,3,15,c78a6cfe,9,c78a6cfe,17,37,F,35616,CHECK,CHECK_CALL,0.5023,25.3958,24.6253
5,3,15,5ddde0ce,15,c78a6cfe,17,37,F,35616,CHECK,CHECK_CALL,0.6136,24.6320,23.7503
6,3,15,04b99aa8,14,c78a6cfe,17,37,F,35616,CHECK,CHECK_CALL,-0.0021,25.2663,25.0003
