source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,91ed6bf3,2,cf8e524f,3,1070,F,7247,CH,CHECK_CALL,1.2118,25.6369,25.5000
1,0,16,21d0aab3,1,cf8e524f,3,1070,F,1066,B,BET_RAISE,1.1311,24.6812,24.6250
2,0,16,e4d4e09c,1,cf8e524f,3,1070,F,1066,B,BET_RAISE,0.5214,24.4464,25.0000
3,0,16,56efb26d,2,cf8e524f,3,1070,F,1070,F,FOLD,1.0883,25.6383,25.6250
4,0,16,9723af60,1,cf8e524f,3,1070,F,1066,B,BET_RAISE,0.8883,24.5633,24.7500
5,0,16,91ed6bf3,1,cf8e524f,3,1070,F,1066,B,BET_RAISE,1.0133,24.6883,24.7500
6,0,16,d5d7f120,2,cf8e524f,3,1070,F,1070,F,FOLD,0.9650,25.5151,25.6250
7,0,16,21d0aab3,2,cf8e524f,3,1070,F,1070,F,FOLD,0.8384,25.6384,25.8750
8,0,16,9723af60,2,cf8e524f,3,1070,F,1070,F,FOLD,0.7169,25.5169,25.8750
9,0,16,d5d7f120,1,cf8e524f,3,1070,F,1066,B,BET_RAISE,1.1383,24.5633,24.5000
0,1,16,91ed6bf3,2,9490cd1c,3,1070,F,7247,CH,CHECK_CALL,1.3291,25.6356,25.3750
1,1,16,21d0aab3,1,9490cd1c,3,1070,F,1066,B,BET_RAISE,1.2433,24.7997,24.6250
2,1,16,e4d4e09c,1,9490cd1c,3,1070,F,1066,B,BET_RAISE,0.6248,24.5562,25.0000
3,1,16,56efb26d,2,9490cd1c,3,1070,F,1070,F,FOLD,1.0804,25.6368,25.6250
4,1,16,9723af60,1,9490cd1c,3,1070,F,1066,B,BET_RAISE,0.9996,24.6811,24.7500
5,1,16,91ed6bf3,1,9490cd1c,3,1070,F,1066,B,BET_RAISE,1.1183,24.7997,24.7500
6,1,16,d5d7f120,2,9490cd1c,3,1070,F,1070,F,FOLD,0.9570,25.5134,25.6250
7,1,16,21d0aab3,2,9490cd1c,3,1070,F,1070,F,FOLD,0.8305,25.6369,25.8750
8,1,16,9723af60,2,9490cd1c,3,1070,F,1070,F,FOLD,0.8319,25.6384,25.8750
9,1,16,d5d7f120,1,9490cd1c,3,1070,F,1066,B,BET_RAISE,1.2496,24.6811,24.5000
0,2,16,91ed6bf3,2,4caf33d4,3,1070,F,7247,CH,CHECK_CALL,1.4468,25.6355,25.3750
1,2,16,21d0aab3,1,4caf33d4,3,1070,F,1066,B,BET_RAISE,1.3611,24.6748,24.5000
2,2,16,e4d4e09c,1,4caf33d4,3,1070,F,1066,B,BET_RAISE,0.6327,24.4464,25.0000
3,2,16,56efb26d,2,4caf33d4,3,1070,F,1070,F,FOLD,1.1996,25.6383,25.6250
4,2,16,9723af60,1,4caf33d4,3,1070,F,1066,B,BET_RAISE,0.9996,24.5633,24.7500
5,2,16,91ed6bf3,1,4caf33d4,3,1070,F,1066,B,BET_RAISE,1.3610,24.7997,24.6250
6,2,16,d5d7f120,2,4caf33d4,3,1070,F,1070,F,FOLD,1.2014,25.5151,25.5000
7,2,16,21d0aab3,2,4caf33d4,3,1070,F,1070,F,FOLD,1.0746,25.6383,25.7500
8,2,16,9723af60,2,4caf33d4,3,1070,F,1070,F,FOLD,1.0746,25.6383,25.7500
9,2,16,d5d7f120,1,4caf33d4,3,1070,F,1066,B,BET_RAISE,1.2496,24.5632,24.5000
0,3,16,91ed6bf3,2,21d0aab3,4,1070,F,1070,F,FOLD,0.9621,25.8941,26.0000
1,3,16,21d0aab3,1,21d0aab3,4,1070,F,7247,CH,CHECK_CALL,1.6069,25.5389,25.0000
2,3,16,e4d4e09c,1,21d0aab3,4,1070,F,1070,F,FOLD,0.7428,25.1747,25.5000
3,3,16,56efb26d,2,21d0aab3,4,1070,F,1070,F,FOLD,0.8372,25.8941,26.1250
4,3,16,9723af60,1,21d0aab3,4,1070,F,1070,F,FOLD,1.1121,25.2941,25.2500
5,3,16,91ed6bf3,1,21d0aab3,4,1070,F,7247,CH,CHECK_CALL,1.4819,25.5389,25.1250
6,3,16,d5d7f120,2,21d0aab3,4,1070,F,1070,F,FOLD,0.9621,25.8940,26.0000
7,3,16,21d0aab3,2,21d0aab3,4,1070,F,1070,F,FOLD,0.8349,26.0169,26.2500
8,3,16,9723af60,2,21d0aab3,4,1070,F,1070,F,FOLD,0.7121,25.8941,26.2500
9,3,16,d5d7f120,1,21d0aab3,4,1070,F,1066,B,BET_RAISE,1.3676,25.2996,25.0000
0,4,16,91ed6bf3,2,91ed6bf3,4,1070,F,1070,F,FOLD,1.0612,26.0151,26.0000
1,4,16,21d0aab3,1,91ed6bf3,4,1070,F,7247,CH,CHECK_CALL,1.5806,25.5345,25.0000
2,4,16,e4d4e09c,1,91ed6bf3,4,1070,F,1070,F,FOLD,0.7208,25.1747,25.5000
3,4,16,56efb26d,2,91ed6bf3,4,1070,F,1070,F,FOLD,0.9380,26.0169,26.1250
4,4,16,9723af60,1,91ed6bf3,4,1070,F,7247,CH,CHECK_CALL,1.2151,25.2940,25.1250
5,4,16,91ed6bf3,1,91ed6bf3,4,1070,F,7247,CH,CHECK_CALL,1.4600,25.5389,25.1250
6,4,16,d5d7f120,2,91ed6bf3,4,1070,F,1070,F,FOLD,0.8131,25.8919,26.1250
7,4,16,21d0aab3,2,91ed6bf3,4,1070,F,1070,F,FOLD,0.8111,26.0150,26.2500
8,4,16,9723af60,2,91ed6bf3,4,1070,F,1070,F,FOLD,0.8111,26.0150,26.2500
