source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,98d5a754,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,24.4933,50.2500,36.0000
1,0,23,cef4f566,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,24.4933,49.2500,35.0000
2,0,23,d1e8540b,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,24.7433,49.7500,35.2500
3,0,23,a3279615,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,24.2433,50.7500,36.7500
4,0,23,7e1f0f55,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,25.2433,50.5000,35.5000
5,0,23,c732d1c7,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,24.9933,51.0000,36.2500
6,0,23,423b0486,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,25.2433,50.7500,35.7500
7,0,23,d91d91c8,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,24.7433,49.7500,35.2500
8,0,23,c840c4e6,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,24.9933,51.0000,36.2500
9,0,23,83b540fc,1,fa84f628,4,37,F,34516,CHECK,CHECK_CALL,23.7433,51.2500,37.7500
0,1,23,98d5a754,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,23.7433,50.2500,35.7500
1,1,23,cef4f566,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,23.9933,49.5000,34.7500
2,1,23,d1e8540b,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,23.9933,50.0000,35.2500
3,1,23,a3279615,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,23.2433,50.7500,36.7500
4,1,23,7e1f0f55,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,24.2433,50.7500,35.7500
5,1,23,c732d1c7,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,23.9933,51.0000,36.2500
6,1,23,423b0486,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,23.9933,50.5000,35.7500
7,1,23,d91d91c8,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,23.7433,50.0000,35.5000
8,1,23,c840c4e6,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,23.9933,51.2500,36.5000
9,1,23,83b540fc,1,fa841b91,4,37,F,34516,CHECK,CHECK_CALL,22.7433,51.2500,37.7500
0,2,23,98d5a754,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,21.9981,50.2500,36.0000
1,2,23,cef4f566,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,22.4981,49.5000,34.7500
2,2,23,d1e8540b,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,22.2481,49.7500,35.2500
3,2,23,a3279615,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,21.4981,50.7500,37.0000
4,2,23,7e1f0f55,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,22.4981,50.5000,35.7500
5,2,23,c732d1c7,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,22.4981,51.0000,36.2500
6,2,23,423b0486,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,22.7481,50.7500,35.7500
7,2,23,d91d91c8,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,22.2481,49.7500,35.2500
8,2,23,c840c4e6,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,22.4981,51.2500,36.5000
9,2,23,83b540fc,1,009541c1,3,37,F,34516,CHECK,CHECK_CALL,20.4981,51.0000,38.2500
0,3,23,98d5a754,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,24.2318,50.2500,36.0000
1,3,23,cef4f566,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,24.4818,49.5000,35.0000
2,3,23,d1e8540b,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,24.4818,50.0000,35.5000
3,3,23,a3279615,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,23.9818,50.7500,36.7500
4,3,23,7e1f0f55,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,24.7318,50.7500,36.0000
5,3,23,c732d1c7,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,24.4818,51.0000,36.5000
6,3,23,423b0486,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,24.4818,50.7500,36.2500
7,3,23,d91d91c8,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,24.4818,50.0000,35.5000
8,3,23,c840c4e6,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,24.7318,51.2500,36.5000
9,3,23,83b540fc,1,d1e8540b,4,37,F,34516,CHECK,CHECK_CALL,23.2318,51.2500,38.0000
0,4,23,98d5a754,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,23.7390,50.2500,35.7500
1,4,23,cef4f566,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,23.7390,49.2500,34.7500
2,4,23,d1e8540b,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,23.9890,49.7500,35.0000
3,4,23,a3279615,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,23.4890,50.7500,36.5000
4,4,23,7e1f0f55,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,24.2390,50.5000,35.5000
5,4,23,c732d1c7,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.7500,36.0000
6,4,23,423b0486,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,24.2390,50.7500,35.7500
7,4,23,d91d91c8,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,23.7390,49.7500,35.2500
8,4,23,c840c4e6,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,23.9890,51.0000,36.2500
9,4,23,83b540fc,1,a34ac1fc,4,37,F,34516,CHECK,CHECK_CALL,22.7390,51.2500,37.7500
0,5,23,98d5a754,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,24.4890,50.0000,35.7500
1,5,23,cef4f566,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,24.2390,49.2500,35.2500
2,5,23,d1e8540b,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,24.4890,49.7500,35.5000
3,5,23,a3279615,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.7500,37.0000
4,5,23,7e1f0f55,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,24.9890,50.5000,35.7500
5,5,23,c732d1c7,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,24.7390,50.7500,36.2500
6,5,23,423b0486,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,24.7390,50.5000,36.0000
7,5,23,d91d91c8,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,24.4890,49.7500,35.5000
8,5,23,c840c4e6,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,24.7390,51.0000,36.5000
9,5,23,83b540fc,1,cd78790b,4,37,F,34516,CHECK,CHECK_CALL,23.4890,51.2500,38.0000
0,6,23,98d5a754,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,24.2468,50.5000,36.0000
1,6,23,cef4f566,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,24.2468,49.5000,35.0000
2,6,23,d1e8540b,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,24.4968,50.0000,35.2500
3,6,23,a3279615,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,23.7468,50.7500,36.7500
4,6,23,7e1f0f55,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,24.7468,50.5000,35.5000
5,6,23,c732d1c7,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,24.4968,51.0000,36.2500
6,6,23,423b0486,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,24.4968,50.7500,36.0000
7,6,23,d91d91c8,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,24.2468,50.0000,35.5000
8,6,23,c840c4e6,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,24.4968,51.2500,36.5000
9,6,23,83b540fc,1,ea078c83,4,37,F,34516,CHECK,CHECK_CALL,22.9968,51.2500,38.0000
0,7,23,98d5a754,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,23.7459,50.2500,36.2500
1,7,23,cef4f566,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,24.2459,49.5000,35.0000
2,7,23,d1e8540b,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,23.9959,49.7500,35.5000
3,7,23,a3279615,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,23.4959,50.7500,37.0000
4,7,23,7e1f0f55,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,24.4959,50.5000,35.7500
5,7,23,c732d1c7,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,24.2459,51.0000,36.5000
6,7,23,423b0486,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,24.2459,50.7500,36.2500
7,7,23,d91d91c8,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,23.7459,49.7500,35.7500
8,7,23,c840c4e6,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,24.2459,51.0000,36.5000
9,7,23,83b540fc,1,f09ccd96,4,37,F,34516,CHECK,CHECK_CALL,22.9959,51.2500,38.0000
0,8,23,98d5a754,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,24.7468,50.2500,36.2500
1,8,23,cef4f566,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,24.9968,49.5000,35.2500
2,8,23,d1e8540b,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,25.2468,50.0000,35.5000
3,8,23,a3279615,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,24.4968,50.7500,37.0000
4,8,23,7e1f0f55,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,25.4968,50.7500,36.0000
5,8,23,c732d1c7,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,24.9968,51.0000,36.7500
6,8,23,423b0486,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,25.4968,50.7500,36.0000
7,8,23,d91d91c8,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,24.9968,50.0000,35.7500
8,8,23,c840c4e6,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,25.2468,51.2500,36.7500
9,8,23,83b540fc,1,0281bbb5,4,37,F,34516,CHECK,CHECK_CALL,23.7468,51.2500,38.2500
0,9,23,98d5a754,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,25.2468,50.5000,36.5000
1,9,23,cef4f566,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,25.2468,49.2500,35.2500
2,9,23,d1e8540b,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,25.4968,50.0000,35.7500
3,9,23,a3279615,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,24.7468,50.7500,37.2500
4,9,23,7e1f0f55,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,25.7468,50.5000,36.0000
5,9,23,c732d1c7,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,25.7468,51.0000,36.5000
6,9,23,423b0486,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,25.7468,50.7500,36.2500
7,9,23,d91d91c8,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,25.2468,50.0000,36.0000
8,9,23,c840c4e6,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,25.7468,51.2500,36.7500
9,9,23,83b540fc,1,d126ec7a,4,37,F,34516,CHECK,CHECK_CALL,24.2468,51.2500,38.2500
0,10,23,98d5a754,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,23.7390,50.0000,35.5000
1,10,23,cef4f566,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,23.4890,49.2500,35.0000
2,10,23,d1e8540b,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,23.7390,49.7500,35.2500
3,10,23,a3279615,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,23.4890,50.7500,36.5000
4,10,23,7e1f0f55,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,24.2390,50.5000,35.5000
5,10,23,c732d1c7,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.7500,36.0000
6,10,23,423b0486,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.5000,35.7500
7,10,23,d91d91c8,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,23.7390,49.7500,35.2500
8,10,23,c840c4e6,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,23.9890,51.0000,36.2500
9,10,23,83b540fc,1,d596c2a2,4,37,F,34516,CHECK,CHECK_CALL,22.7390,51.2500,37.7500
0,11,23,98d5a754,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,24.2433,50.2500,36.2500
1,11,23,cef4f566,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,23.9933,49.2500,35.5000
2,11,23,d1e8540b,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,24.2433,49.7500,35.7500
3,11,23,a3279615,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,23.7433,50.7500,37.2500
4,11,23,7e1f0f55,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,24.7433,50.5000,36.0000
5,11,23,c732d1c7,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,24.4933,50.7500,36.5000
6,11,23,423b0486,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,24.4933,50.5000,36.2500
7,11,23,d91d91c8,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,23.9933,49.7500,36.0000
8,11,23,c840c4e6,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,24.7433,51.2500,36.7500
9,11,23,83b540fc,1,0b86ab3d,4,37,F,34516,CHECK,CHECK_CALL,23.4933,51.2500,38.0000
0,12,23,98d5a754,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,22.9968,50.2500,36.0000
1,12,23,cef4f566,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,22.9968,49.2500,35.0000
2,12,23,d1e8540b,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,23.4968,50.0000,35.2500
3,12,23,a3279615,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,22.4968,50.7500,37.0000
4,12,23,7e1f0f55,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,23.7468,50.7500,35.7500
5,12,23,c732d1c7,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,23.4968,51.0000,36.2500
6,12,23,423b0486,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,23.4968,50.7500,36.0000
7,12,23,d91d91c8,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,23.2468,50.0000,35.5000
8,12,23,c840c4e6,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,23.4968,51.2500,36.5000
9,12,23,83b540fc,1,061c43c8,4,37,F,34516,CHECK,CHECK_CALL,21.9968,51.2500,38.0000
0,13,23,98d5a754,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,24.7433,50.2500,36.5000
1,13,23,cef4f566,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,24.7433,49.2500,35.5000
2,13,23,d1e8540b,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,24.9933,49.7500,35.7500
3,13,23,a3279615,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,24.4933,50.7500,37.2500
4,13,23,7e1f0f55,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,25.4933,50.5000,36.0000
5,13,23,c732d1c7,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,25.2433,51.0000,36.7500
6,13,23,423b0486,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,25.4933,50.7500,36.2500
7,13,23,d91d91c8,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,24.9933,49.7500,35.7500
8,13,23,c840c4e6,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,25.4933,51.2500,36.7500
9,13,23,83b540fc,1,965d4118,4,37,F,34516,CHECK,CHECK_CALL,23.9933,51.2500,38.2500
0,14,23,98d5a754,1,809c240f,3,37,F,34516,CHECK,CHECK_CALL,20.9996,50.0000,35.7500
1,14,23,cef4f566,1,809c240f,3,37,F,34516,CHECK,CHECK_CALL,20.7496,49.0000,35.0000
2,14,23,d1e8540b,1,809c240f,3,37,F,34516,CHECK,CHECK_CALL,20.9996,49.5000,35.2500
3,14,23,a3279615,1,809c240f,3,37,F,34516,CHECK,CHECK_CALL,20.2496,50.5000,37.0000
4,14,23,7e1f0f55,1,809c240f,3,37,F,34516,CHECK,CHECK_CALL,21.4996,50.2500,35.5000
5,14,23,c732d1c7,1,809c240f,3,37,F,34516,CHECK,CHECK_CALL,21.2496,50.7500,36.2500
6,14,23,423b0486,1,809c240f,3,37,F,34516,CHECK,CHECK_CALL,21.4996,50.5000,35.7500
7,14,23,d91d91c8,1,809c240f,3,37,F,34516,CHECK,CHECK_CALL,20.7496,49.5000,35.5000
