source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,3b588df1,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,10.2518,45.5019,35.7500
1,0,23,72051a98,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,9.5018,45.5019,36.5000
2,0,23,36a7ce4a,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,9.5051,45.0052,36.0000
3,0,23,ecd76c52,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,9.5018,45.7519,36.7500
4,0,23,b52dadef,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,9.2514,46.0015,37.2500
5,0,23,09835239,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,10.5010,46.0012,36.0000
6,0,23,d6db6886,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,9.5018,45.7519,36.7500
7,0,23,be33c697,7,be33c697,11,37,F,34516,CHECK,CHECK_CALL,4.9999,47.7500,43.2500
8,0,23,3d2d4e76,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,5.5008,45.7509,40.7500
9,0,23,79a9b94a,1,be33c697,11,37,F,34516,CHECK,CHECK_CALL,9.0006,46.5007,38.0000
0,1,23,3b588df1,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,12.0000,47.0000,38.5000
1,1,23,72051a98,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,11.2500,46.7501,39.0000
2,1,23,36a7ce4a,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,10.7502,46.0002,38.7500
3,1,23,ecd76c52,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,11.2500,47.2500,39.5000
4,1,23,b52dadef,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,11.0000,47.2500,39.7500
5,1,23,09835239,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,12.2500,47.0000,38.2500
6,1,23,d6db6886,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,10.7500,47.0001,39.7500
7,1,23,be33c697,7,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,7.2500,48.2500,44.5000
8,1,23,3d2d4e76,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,6.7500,46.7500,43.5000
9,1,23,79a9b94a,1,27a845d4,4,37,F,34516,CHECK,CHECK_CALL,10.0000,47.5000,41.0000
0,2,23,3b588df1,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,11.2501,46.7501,38.2500
1,2,23,72051a98,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,10.5001,46.7501,39.0000
2,2,23,36a7ce4a,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,10.2502,46.0002,38.5000
3,2,23,ecd76c52,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,10.5000,47.2500,39.5000
4,2,23,b52dadef,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,10.2500,47.2500,39.7500
5,2,23,09835239,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,11.5000,47.0001,38.2500
6,2,23,d6db6886,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,10.0001,46.7501,39.5000
7,2,23,be33c697,7,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,7.0000,48.5000,44.2500
8,2,23,3d2d4e76,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,5.7500,46.5001,43.5000
9,2,23,79a9b94a,1,7f83f43d,4,37,F,34516,CHECK,CHECK_CALL,9.2500,47.7500,41.2500
0,3,23,3b588df1,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,12.7500,46.7501,38.5000
1,3,23,72051a98,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,12.2500,46.7501,39.0000
2,3,23,36a7ce4a,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,11.7502,46.0002,38.7500
3,3,23,ecd76c52,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,12.2500,47.2500,39.5000
4,3,23,b52dadef,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,11.7500,47.2500,40.0000
5,3,23,09835239,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,13.0000,47.0000,38.5000
6,3,23,d6db6886,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,11.7500,47.0001,39.7500
7,3,23,be33c697,7,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,8.0000,48.2500,44.7500
8,3,23,3d2d4e76,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,7.5000,46.5001,43.5000
9,3,23,79a9b94a,1,ac3740af,4,37,F,34516,CHECK,CHECK_CALL,11.0000,47.7500,41.2500
0,4,23,3b588df1,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,11.5000,45.7501,38.7500
1,4,23,72051a98,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,10.7500,45.7501,39.5000
2,4,23,36a7ce4a,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,10.7500,45.2501,39.0000
3,4,23,ecd76c52,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,10.7499,46.2500,40.0000
4,4,23,b52dadef,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,10.7499,46.5000,40.2500
5,4,23,09835239,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,12.2499,46.2500,38.5000
6,4,23,d6db6886,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,10.4999,46.0000,40.0000
7,4,23,be33c697,7,9209145f,3,37,F,34516,CHECK,CHECK_CALL,7.7499,47.5000,44.2500
8,4,23,3d2d4e76,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,6.0000,45.5001,44.0000
9,4,23,79a9b94a,1,9209145f,3,37,F,34516,CHECK,CHECK_CALL,9.4999,46.5000,41.5000
0,5,23,3b588df1,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,11.7499,45.7501,38.7500
1,5,23,72051a98,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,11.0000,45.7501,39.5000
2,5,23,36a7ce4a,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,10.5001,44.7503,39.0000
3,5,23,ecd76c52,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,10.7499,46.0000,40.0000
4,5,23,b52dadef,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,10.7499,46.2500,40.2500
5,5,23,09835239,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,11.9999,46.0000,38.7500
6,5,23,d6db6886,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,10.9999,46.0001,39.7500
7,5,23,be33c697,7,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,8.2499,47.7500,44.2500
8,5,23,3d2d4e76,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,6.4999,45.5001,43.7500
9,5,23,79a9b94a,1,f80427e5,3,37,F,34516,CHECK,CHECK_CALL,9.9999,46.5000,41.2500
0,6,23,3b588df1,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,14.2499,47.0001,38.5000
1,6,23,72051a98,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,13.2500,46.7501,39.2500
2,6,23,36a7ce4a,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,13.2500,46.2502,38.7500
3,6,23,ecd76c52,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,13.2499,47.2500,39.7500
4,6,23,b52dadef,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,13.2499,47.5000,40.0000
5,6,23,09835239,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,14.2499,47.0000,38.5000
6,6,23,d6db6886,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,12.9999,47.0001,39.7500
7,6,23,be33c697,7,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,8.9999,48.0000,44.7500
8,6,23,3d2d4e76,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,8.7499,46.7500,43.7500
9,6,23,79a9b94a,1,f17dc43f,4,37,F,34516,CHECK,CHECK_CALL,11.9999,47.5000,41.2500
0,7,23,3b588df1,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,11.5000,47.0000,37.7500
1,7,23,72051a98,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,10.7500,47.0000,38.5000
2,7,23,36a7ce4a,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,10.5001,46.2502,38.0000
3,7,23,ecd76c52,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,10.5000,47.2500,39.0000
4,7,23,b52dadef,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,10.2500,47.5000,39.5000
5,7,23,09835239,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,11.5000,47.2500,38.0000
6,7,23,d6db6886,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,10.2500,47.2500,39.2500
7,7,23,be33c697,7,09835239,4,37,F,34516,CHECK,CHECK_CALL,6.5000,48.5000,44.2500
8,7,23,3d2d4e76,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,5.7500,46.7500,43.2500
9,7,23,79a9b94a,1,09835239,4,37,F,34516,CHECK,CHECK_CALL,9.2500,47.7500,40.7500
0,8,23,3b588df1,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,12.7500,46.7501,38.5000
1,8,23,72051a98,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,12.2500,46.7501,39.0000
2,8,23,36a7ce4a,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,12.0001,46.0002,38.5000
3,8,23,ecd76c52,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,12.0000,47.0001,39.5000
4,8,23,b52dadef,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,11.7500,47.0001,39.7500
5,8,23,09835239,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,13.0000,47.0001,38.5000
6,8,23,d6db6886,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,12.0000,47.0001,39.5000
7,8,23,be33c697,7,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,7.9999,48.0000,44.5000
8,8,23,3d2d4e76,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,7.5000,46.5001,43.5000
9,8,23,79a9b94a,1,9cb2df15,4,37,F,34516,CHECK,CHECK_CALL,11.0000,47.5000,41.0000
0,9,23,3b588df1,1,945f4f90,4,37,F,34516,CHECK,CHECK_CALL,12.0001,46.7501,38.5000
1,9,23,72051a98,1,945f4f90,4,37,F,34516,CHECK,CHECK_CALL,11.2501,46.7501,39.2500
2,9,23,36a7ce4a,1,945f4f90,4,37,F,34516,CHECK,CHECK_CALL,11.0002,46.0002,38.7500
3,9,23,ecd76c52,1,945f4f90,4,37,F,34516,CHECK,CHECK_CALL,11.2500,47.2501,39.7500
4,9,23,b52dadef,1,945f4f90,4,37,F,34516,CHECK,CHECK_CALL,11.0000,47.2500,40.0000
5,9,23,09835239,1,945f4f90,4,37,F,34516,CHECK,CHECK_CALL,12.2501,47.0001,38.5000
