source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,15,27a5b855,15,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,0.1131,24.5089,23.8752
1,0,15,2b076738,11,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,-0.1250,25.5208,25.1253
2,0,15,37f42215,9,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,0.2592,25.1550,24.3753
3,0,15,cc1b6562,14,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,0.3686,24.7644,23.8752
4,0,15,09cb23cb,9,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,0.1307,25.2765,24.6253
5,0,15,2c1dbd5f,15,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,0.3631,24.6339,23.7502
6,0,15,2c1dbd5f,14,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,-0.1274,25.3933,25.0002
7,0,15,2b076738,12,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,0.4881,24.6339,23.6252
8,0,15,5ae5e649,13,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,0.3620,24.7578,23.8753
9,0,15,ab6e1257,15,91ee0e80,17,37,F,35616,CHECK,CHECK_CALL,0.3621,24.6329,23.7503
0,1,15,27a5b855,15,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.6277,25.0128,24.7503
1,1,15,2b076738,11,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.5027,25.6377,25.5003
2,1,15,37f42215,9,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.7582,25.3934,25.0004
3,1,15,cc1b6562,14,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.7583,25.1434,24.7503
4,1,15,09cb23cb,9,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.6311,25.5163,25.2504
5,1,15,2c1dbd5f,15,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.7543,25.0144,24.6253
6,1,15,2c1dbd5f,14,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.5012,25.5113,25.3753
7,1,15,2b076738,12,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.8777,25.0128,24.5003
8,1,15,5ae5e649,13,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.7499,25.1350,24.7503
9,1,15,ab6e1257,15,fc34aae3,11,37,F,35616,CHECK,CHECK_CALL,0.7527,25.0128,24.6253
0,2,15,27a5b855,15,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.4976,25.2684,24.7503
1,2,15,2b076738,11,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.1250,25.7708,25.6253
2,2,15,37f42215,9,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.3841,25.5300,25.1254
3,2,15,cc1b6562,14,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.5057,25.2765,24.7503
4,2,15,09cb23cb,9,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.3807,25.6515,25.2504
5,2,15,2c1dbd5f,15,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.5000,25.1458,24.6253
6,2,15,2c1dbd5f,14,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.1226,25.6434,25.5003
7,2,15,2b076738,12,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.7500,25.2708,24.5003
8,2,15,5ae5e649,13,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.3726,25.2684,24.8753
9,2,15,ab6e1257,15,1f6b27ab,11,37,F,35616,CHECK,CHECK_CALL,0.4976,25.2684,24.7503
0,3,15,27a5b855,15,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.3750,25.1434,24.6253
1,3,15,2b076738,11,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.1250,25.7683,25.5003
2,3,15,37f42215,9,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.3866,25.5300,25.0004
3,3,15,cc1b6562,14,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.5050,25.2735,24.6254
4,3,15,09cb23cb,9,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.2550,25.6485,25.2504
5,3,15,2c1dbd5f,15,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.6250,25.2684,24.5003
6,3,15,2c1dbd5f,14,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.1250,25.6433,25.3753
7,3,15,2b076738,12,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.6250,25.2684,24.5003
8,3,15,5ae5e649,13,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.3729,25.2662,24.7503
9,3,15,ab6e1257,15,4b45754b,11,37,F,35616,CHECK,CHECK_CALL,0.3750,25.1434,24.6253
0,4,15,27a5b855,15,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.5021,25.1434,24.8753
1,4,15,2b076738,11,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.3749,25.7662,25.6253
2,4,15,37f42215,9,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.6351,25.5266,25.1254
3,4,15,cc1b6562,14,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.6321,25.2735,24.8753
4,4,15,09cb23cb,9,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.5044,25.6458,25.3753
5,4,15,2c1dbd5f,15,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.6295,25.1458,24.7503
6,4,15,2c1dbd5f,14,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.3749,25.6412,25.5003
7,4,15,2b076738,12,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.8749,25.2663,24.6253
8,4,15,5ae5e649,13,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.6231,25.2644,24.8753
9,4,15,ab6e1257,15,82239142,11,37,F,35616,CHECK,CHECK_CALL,0.6270,25.1434,24.7503
0,5,15,27a5b855,15,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.6230,25.0144,24.6253
1,5,15,2b076738,11,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.3749,25.6413,25.5003
2,5,15,37f42215,9,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.6321,25.3985,25.0004
3,5,15,cc1b6562,14,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.7544,25.1458,24.6254
4,5,15,09cb23cb,9,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.6270,25.6434,25.2504
5,5,15,2c1dbd5f,15,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.7499,25.0163,24.5003
6,5,15,2c1dbd5f,14,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.3731,25.5144,25.3753
7,5,15,2b076738,12,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.8731,25.1394,24.5003
8,5,15,5ae5e649,13,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.6214,25.1377,24.7503
9,5,15,ab6e1257,15,c86a0a67,11,37,F,35616,CHECK,CHECK_CALL,0.7480,25.0144,24.5004
0,6,15,27a5b855,15,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.3750,25.0163,24.6253
1,6,15,2b076738,11,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.2572,25.6485,25.3753
2,6,15,37f42215,9,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.3970,25.2883,24.8754
3,6,15,cc1b6562,14,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.6322,25.1485,24.5003
4,6,15,09cb23cb,9,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.3852,25.5265,25.1254
5,6,15,2c1dbd5f,15,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.6271,25.0184,24.3753
6,6,15,2c1dbd5f,14,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.2572,25.5235,25.2503
7,6,15,2b076738,12,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.7500,25.1413,24.3753
8,6,15,5ae5e649,13,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.4981,25.1394,24.6253
9,6,15,ab6e1257,15,483ff781,14,37,F,35616,CHECK,CHECK_CALL,0.5021,25.0184,24.5003
0,7,15,27a5b855,15,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.3750,25.1413,24.5003
1,7,15,2b076738,11,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.1271,25.7683,25.3753
2,7,15,37f42215,9,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.3852,25.5265,24.8754
3,7,15,cc1b6562,14,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.6294,25.3957,24.5003
4,7,15,09cb23cb,9,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.3795,25.7708,25.1253
5,7,15,2c1dbd5f,15,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.5021,25.1434,24.3753
6,7,15,2c1dbd5f,14,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.1250,25.6412,25.2503
7,7,15,2b076738,12,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.7500,25.2662,24.2503
8,7,15,5ae5e649,13,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.3732,25.2644,24.6253
9,7,15,ab6e1257,15,25dac741,11,37,F,35616,CHECK,CHECK_CALL,0.4981,25.2644,24.5003
0,8,15,27a5b855,15,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,0.2405,24.5089,23.8753
1,8,15,2b076738,11,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,-0.0000,25.5184,25.1253
2,8,15,37f42215,9,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,0.2551,25.1485,24.5003
3,8,15,cc1b6562,14,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,0.4944,24.7628,23.8753
4,8,15,09cb23cb,9,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,0.1274,25.2708,24.7503
5,8,15,2c1dbd5f,15,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,0.3655,24.5089,23.7503
6,8,15,2c1dbd5f,14,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,-0.1290,25.3894,25.1253
7,8,15,2b076738,12,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,0.6136,24.6320,23.6253
8,8,15,5ae5e649,13,09cb23cb,17,37,F,35616,CHECK,CHECK_CALL,0.3628,24.7562,24.0003
