source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,15,0e6b779e,13,7ac5d244,5,37,F,37,F,FOLD,-0.1569,25.4133,25.6253
1,0,15,d38b5b5e,11,7ac5d244,5,37,F,35616,CHECK,CHECK_CALL,0.4680,25.1633,24.7503
2,0,15,d38b5b5e,9,7ac5d244,5,37,F,35616,CHECK,CHECK_CALL,0.4563,25.2765,24.8753
3,0,15,4a2b7816,9,7ac5d244,5,37,F,37,F,FOLD,-0.1613,25.5339,25.7502
4,0,15,4a2b7816,4,7ac5d244,5,37,F,35616,CHECK,CHECK_CALL,1.1339,24.9542,23.8754
5,0,15,0e6b779e,14,7ac5d244,5,37,F,37,F,FOLD,-0.1519,24.7933,25.0003
6,0,15,16de8be9,1,7ac5d244,5,37,F,35616,CHECK,CHECK_CALL,1.9615,24.5315,22.6251
7,0,15,16de8be9,13,7ac5d244,5,37,F,35616,CHECK,CHECK_CALL,0.3669,25.0623,24.7504
8,0,15,16de8be9,11,7ac5d244,5,37,F,35616,CHECK,CHECK_CALL,0.3599,25.0552,24.7503
9,0,15,4a2b7816,1,7ac5d244,5,37,F,35616,CHECK,CHECK_CALL,1.9615,24.4065,22.5001
0,1,15,0e6b779e,13,e202cd10,5,37,F,37,F,FOLD,-0.2783,25.5339,25.6253
1,1,15,d38b5b5e,11,e202cd10,5,37,F,35616,CHECK,CHECK_CALL,0.3510,25.2883,24.7503
2,1,15,d38b5b5e,9,e202cd10,5,37,F,35616,CHECK,CHECK_CALL,0.2177,25.2800,24.8754
3,1,15,4a2b7816,9,e202cd10,5,37,F,37,F,FOLD,-0.1534,25.6588,25.6253
4,1,15,4a2b7816,4,e202cd10,5,37,F,35616,CHECK,CHECK_CALL,0.9020,24.9643,23.8753
5,1,15,0e6b779e,14,e202cd10,5,37,F,37,F,FOLD,-0.1490,24.9133,24.8753
6,1,15,16de8be9,1,e202cd10,5,37,F,35616,CHECK,CHECK_CALL,1.8152,24.6273,22.6251
7,1,15,16de8be9,13,e202cd10,5,37,F,35616,CHECK,CHECK_CALL,0.2499,25.1872,24.7504
8,1,15,16de8be9,11,e202cd10,5,37,F,35616,CHECK,CHECK_CALL,0.3616,25.1739,24.6253
9,1,15,4a2b7816,1,e202cd10,5,37,F,35616,CHECK,CHECK_CALL,1.8445,24.5315,22.5001
0,2,15,0e6b779e,13,0cbccdb1,13,37,F,37,F,FOLD,0.0024,25.5208,25.5003
1,2,15,d38b5b5e,11,0cbccdb1,13,37,F,35616,CHECK,CHECK_CALL,0.4979,25.1413,24.6253
2,2,15,d38b5b5e,9,0cbccdb1,13,37,F,35616,CHECK,CHECK_CALL,0.4929,25.2613,24.7503
3,2,15,4a2b7816,9,0cbccdb1,13,37,F,37,F,FOLD,-0.1226,25.5208,25.6252
4,2,15,4a2b7816,4,0cbccdb1,13,37,F,35616,CHECK,CHECK_CALL,1.2655,25.0340,23.7503
5,2,15,0e6b779e,14,0cbccdb1,13,37,F,35616,CHECK,CHECK_CALL,0.1229,24.8913,24.7503
6,2,15,16de8be9,1,0cbccdb1,13,37,F,35616,CHECK,CHECK_CALL,2.1091,24.6273,22.5001
7,2,15,16de8be9,13,0cbccdb1,13,37,F,35616,CHECK,CHECK_CALL,0.5115,25.1550,24.6253
8,2,15,16de8be9,11,0cbccdb1,13,37,F,35616,CHECK,CHECK_CALL,0.6274,25.1458,24.5003
9,2,15,4a2b7816,1,0cbccdb1,13,37,F,35616,CHECK,CHECK_CALL,2.1249,24.5181,22.3751
0,3,15,0e6b779e,13,1fb650c1,5,37,F,37,F,FOLD,-0.1569,25.5383,25.6253
1,3,15,d38b5b5e,11,1fb650c1,5,37,F,35616,CHECK,CHECK_CALL,0.4680,25.2883,24.7503
2,3,15,d38b5b5e,9,1fb650c1,5,37,F,35616,CHECK,CHECK_CALL,0.3387,25.2839,24.8753
3,3,15,4a2b7816,9,1fb650c1,5,37,F,37,F,FOLD,-0.1569,25.6632,25.7502
4,3,15,4a2b7816,4,1fb650c1,5,37,F,35616,CHECK,CHECK_CALL,1.0190,24.9643,23.8754
5,3,15,0e6b779e,14,1fb650c1,5,37,F,37,F,FOLD,-0.1519,24.9183,25.0003
6,3,15,16de8be9,1,1fb650c1,5,37,F,35616,CHECK,CHECK_CALL,1.9615,24.6565,22.6251
7,3,15,16de8be9,13,1fb650c1,5,37,F,35616,CHECK,CHECK_CALL,0.2420,25.1872,24.8753
8,3,15,16de8be9,11,1fb650c1,5,37,F,35616,CHECK,CHECK_CALL,0.3599,25.1802,24.7503
9,3,15,4a2b7816,1,1fb650c1,5,37,F,35616,CHECK,CHECK_CALL,1.8686,24.4387,22.5001
0,4,15,0e6b779e,13,45a63f10,5,37,F,37,F,FOLD,-0.0363,25.5339,25.6253
1,4,15,d38b5b5e,11,45a63f10,5,37,F,35616,CHECK,CHECK_CALL,0.4680,25.1633,24.7503
2,4,15,d38b5b5e,9,45a63f10,5,37,F,35616,CHECK,CHECK_CALL,0.4597,25.2800,24.8753
3,4,15,4a2b7816,9,45a63f10,5,37,F,37,F,FOLD,-0.1569,25.5383,25.7502
4,4,15,4a2b7816,4,45a63f10,5,37,F,35616,CHECK,CHECK_CALL,1.1440,24.9643,23.8753
5,4,15,0e6b779e,14,45a63f10,5,37,F,37,F,FOLD,-0.0319,24.9133,25.0003
6,4,15,16de8be9,1,45a63f10,5,37,F,35616,CHECK,CHECK_CALL,1.9615,24.5315,22.6251
7,4,15,16de8be9,13,45a63f10,5,37,F,35616,CHECK,CHECK_CALL,0.3750,25.0702,24.7503
8,4,15,16de8be9,11,45a63f10,5,37,F,35616,CHECK,CHECK_CALL,0.4786,25.1739,24.7503
9,4,15,4a2b7816,1,45a63f10,5,37,F,35616,CHECK,CHECK_CALL,1.9936,24.4386,22.5001
0,5,15,0e6b779e,13,9e7884ae,5,37,F,37,F,FOLD,-0.2819,25.5383,25.6253
1,5,15,d38b5b5e,11,9e7884ae,5,37,F,35616,CHECK,CHECK_CALL,0.3387,25.2839,24.7503
2,5,15,d38b5b5e,9,9e7884ae,5,37,F,35616,CHECK,CHECK_CALL,0.2097,25.2800,24.8754
3,5,15,4a2b7816,9,9e7884ae,5,37,F,37,F,FOLD,-0.2819,25.5383,25.6252
4,5,15,4a2b7816,4,9e7884ae,5,37,F,35616,CHECK,CHECK_CALL,0.8940,24.9643,23.8753
5,5,15,0e6b779e,14,9e7884ae,5,37,F,37,F,FOLD,-0.1569,24.9133,24.8753
6,5,15,16de8be9,1,9e7884ae,5,37,F,35616,CHECK,CHECK_CALL,1.8073,24.6273,22.6251
7,5,15,16de8be9,13,9e7884ae,5,37,F,35616,CHECK,CHECK_CALL,0.2420,25.1873,24.7504
8,5,15,16de8be9,11,9e7884ae,5,37,F,35616,CHECK,CHECK_CALL,0.2349,25.1802,24.7503
9,5,15,4a2b7816,1,9e7884ae,5,37,F,35616,CHECK,CHECK_CALL,1.8365,24.5315,22.5001
0,6,15,0e6b779e,13,cd3a544a,5,37,F,37,F,FOLD,-0.1609,25.4182,25.6253
1,6,15,d38b5b5e,11,cd3a544a,5,37,F,35616,CHECK,CHECK_CALL,0.4640,25.1683,24.7503
