source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,d532996e,2,3d6c08f1,3,1070,F,7247,CH,CHECK_CALL,1.2118,25.6369,25.5000
1,0,16,bcc114b9,1,3d6c08f1,3,1070,F,1066,B,BET_RAISE,1.1311,24.6812,24.6250
2,0,16,33ed0c0d,1,3d6c08f1,3,1070,F,1066,B,BET_RAISE,0.5214,24.4464,25.0000
3,0,16,7a9bca86,2,3d6c08f1,3,1070,F,1070,F,FOLD,1.0883,25.6383,25.6250
4,0,16,8cec1499,1,3d6c08f1,3,1070,F,1066,B,BET_RAISE,0.8883,24.5633,24.7500
5,0,16,d532996e,1,3d6c08f1,3,1070,F,1066,B,BET_RAISE,1.0133,24.6883,24.7500
6,0,16,b41aa568,2,3d6c08f1,3,1070,F,1070,F,FOLD,0.9650,25.5151,25.6250
7,0,16,bcc114b9,2,3d6c08f1,3,1070,F,1070,F,FOLD,0.8384,25.6384,25.8750
8,0,16,8cec1499,2,3d6c08f1,3,1070,F,1070,F,FOLD,0.7169,25.5169,25.8750
9,0,16,b41aa568,1,3d6c08f1,3,1070,F,1066,B,BET_RAISE,1.1383,24.5633,24.5000
0,1,16,d532996e,2,4d08efb0,3,1070,F,7247,CH,CHECK_CALL,1.3291,25.6356,25.3750
1,1,16,bcc114b9,1,4d08efb0,3,1070,F,1066,B,BET_RAISE,1.2433,24.7997,24.6250
2,1,16,33ed0c0d,1,4d08efb0,3,1070,F,1066,B,BET_RAISE,0.6248,24.5562,25.0000
3,1,16,7a9bca86,2,4d08efb0,3,1070,F,1070,F,FOLD,1.0804,25.6368,25.6250
4,1,16,8cec1499,1,4d08efb0,3,1070,F,1066,B,BET_RAISE,0.9996,24.6811,24.7500
5,1,16,d532996e,1,4d08efb0,3,1070,F,1066,B,BET_RAISE,1.1183,24.7997,24.7500
6,1,16,b41aa568,2,4d08efb0,3,1070,F,1070,F,FOLD,0.9570,25.5134,25.6250
7,1,16,bcc114b9,2,4d08efb0,3,1070,F,1070,F,FOLD,0.8305,25.6369,25.8750
8,1,16,8cec1499,2,4d08efb0,3,1070,F,1070,F,FOLD,0.8319,25.6384,25.8750
9,1,16,b41aa568,1,4d08efb0,3,1070,F,1066,B,BET_RAISE,1.2496,24.6811,24.5000
0,2,16,d532996e,2,1359c54a,3,1070,F,7247,CH,CHECK_CALL,1.4468,25.6355,25.3750
1,2,16,bcc114b9,1,1359c54a,3,1070,F,1066,B,BET_RAISE,1.3611,24.6748,24.5000
2,2,16,33ed0c0d,1,1359c54a,3,1070,F,1066,B,BET_RAISE,0.6327,24.4464,25.0000
3,2,16,7a9bca86,2,1359c54a,3,1070,F,1070,F,FOLD,1.1996,25.6383,25.6250
4,2,16,8cec1499,1,1359c54a,3,1070,F,1066,B,BET_RAISE,0.9996,24.5633,24.7500
5,2,16,d532996e,1,1359c54a,3,1070,F,1066,B,BET_RAISE,1.3610,24.7997,24.6250
6,2,16,b41aa568,2,1359c54a,3,1070,F,1070,F,FOLD,1.2014,25.5151,25.5000
7,2,16,bcc114b9,2,1359c54a,3,1070,F,1070,F,FOLD,1.0746,25.6383,25.7500
8,2,16,8cec1499,2,1359c54a,3,1070,F,1070,F,FOLD,1.0746,25.6383,25.7500
