source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,f3fbb1e4,2,95873592,3,1070,F,1070,F,FOLD,0.5975,25.6369,25.7500
1,0,16,13c5f9ba,2,95873592,3,1070,F,7247,CH,CHECK_CALL,0.9725,25.6369,25.3750
2,0,16,13c5f9ba,1,95873592,3,1070,F,1066,B,BET_RAISE,0.8797,24.7941,24.6250
3,0,16,4dff54a8,1,95873592,3,1070,F,1066,B,BET_RAISE,0.7604,24.6747,24.6250
4,0,16,1445f6a4,2,95873592,3,1070,F,1070,F,FOLD,0.5975,25.6368,25.7500
5,0,16,1445f6a4,1,95873592,3,1070,F,1066,B,BET_RAISE,0.7604,24.6748,24.6250
6,0,16,f3fbb1e4,1,95873592,3,1070,F,1066,B,BET_RAISE,0.6418,24.5561,24.6250
7,0,16,187e520d,3,95873592,3,1070,F,7247,CH,CHECK_CALL,1.3399,25.8792,25.2500
8,0,16,45bff756,1,95873592,3,1070,F,1066,B,BET_RAISE,0.2668,24.5562,25.0000
9,0,16,4dff54a8,2,95873592,3,1070,F,1070,F,FOLD,0.5975,25.6368,25.7500
0,1,16,f3fbb1e4,2,c6d8aa6f,3,1070,F,1070,F,FOLD,0.8319,25.6384,25.8750
1,1,16,13c5f9ba,2,c6d8aa6f,3,1070,F,7247,CH,CHECK_CALL,1.2054,25.6369,25.5000
2,1,16,13c5f9ba,1,c6d8aa6f,3,1070,F,1066,B,BET_RAISE,1.1246,24.6811,24.6250
3,1,16,4dff54a8,1,c6d8aa6f,3,1070,F,1066,B,BET_RAISE,1.0069,24.4383,24.5000
4,1,16,1445f6a4,2,c6d8aa6f,3,1070,F,1070,F,FOLD,0.8319,25.6383,25.8750
5,1,16,1445f6a4,1,c6d8aa6f,3,1070,F,1066,B,BET_RAISE,0.8819,24.5633,24.7500
6,1,16,f3fbb1e4,1,c6d8aa6f,3,1070,F,1066,B,BET_RAISE,0.8819,24.5633,24.7500
7,1,16,187e520d,3,c6d8aa6f,3,1070,F,7247,CH,CHECK_CALL,1.5733,25.8797,25.3750
8,1,16,45bff756,1,c6d8aa6f,3,1070,F,1066,B,BET_RAISE,0.5069,24.4384,25.0000
9,1,16,4dff54a8,2,c6d8aa6f,3,1070,F,1070,F,FOLD,0.8335,25.6400,25.8750
0,2,16,f3fbb1e4,2,2e16e429,3,1070,F,1070,F,FOLD,0.5820,25.6384,25.8750
1,2,16,13c5f9ba,2,2e16e429,3,1070,F,7247,CH,CHECK_CALL,0.9570,25.6383,25.5000
2,2,16,13c5f9ba,1,2e16e429,3,1070,F,1066,B,BET_RAISE,0.9997,24.8060,24.6250
3,2,16,4dff54a8,1,2e16e429,3,1070,F,1066,B,BET_RAISE,0.7569,24.6882,24.7500
4,2,16,1445f6a4,2,2e16e429,3,1070,F,1070,F,FOLD,0.5820,25.6383,25.8750
5,2,16,1445f6a4,1,2e16e429,3,1070,F,1066,B,BET_RAISE,0.7569,24.6882,24.7500
6,2,16,f3fbb1e4,1,2e16e429,3,1070,F,1066,B,BET_RAISE,0.7569,24.6882,24.7500
7,2,16,187e520d,3,2e16e429,3,1070,F,7247,CH,CHECK_CALL,1.3240,25.8803,25.3750
8,2,16,45bff756,1,2e16e429,3,1070,F,1066,B,BET_RAISE,0.3820,24.5633,25.0000
9,2,16,4dff54a8,2,2e16e429,3,1070,F,1070,F,FOLD,0.7087,25.6400,25.7500
0,3,16,f3fbb1e4,2,13c5f9ba,4,1070,F,1070,F,FOLD,0.6862,26.0151,26.3750
1,3,16,13c5f9ba,2,13c5f9ba,4,1070,F,1070,F,FOLD,1.0632,25.8920,25.8750
2,3,16,13c5f9ba,1,13c5f9ba,4,1070,F,7247,CH,CHECK_CALL,1.4651,25.4189,25.0000
3,3,16,4dff54a8,1,13c5f9ba,4,1070,F,7247,CH,CHECK_CALL,1.2152,25.2940,25.1250
4,3,16,1445f6a4,2,13c5f9ba,4,1070,F,1070,F,FOLD,0.5653,25.8941,26.3750
5,3,16,1445f6a4,1,13c5f9ba,4,1070,F,1070,F,FOLD,1.0958,25.2996,25.2500
