source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,9b7add33,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,24.4933,50.2500,36.0000
1,0,23,08962d24,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,24.4933,49.2500,35.0000
2,0,23,e3b76101,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,24.7433,49.7500,35.2500
3,0,23,4058f5d1,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,24.2433,50.7500,36.7500
4,0,23,afa7d3c9,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,25.2433,50.5000,35.5000
5,0,23,09aad957,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,24.9933,51.0000,36.2500
6,0,23,6fd15518,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,25.2433,50.7500,35.7500
7,0,23,8ee972d3,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,24.7433,49.7500,35.2500
8,0,23,3aa50d35,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,24.9933,51.0000,36.2500
9,0,23,b387feb6,1,bc4e4d2d,4,37,F,34516,CHECK,CHECK_CALL,23.7433,51.2500,37.7500
0,1,23,9b7add33,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,23.7433,50.2500,35.7500
1,1,23,08962d24,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,23.9933,49.5000,34.7500
2,1,23,e3b76101,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,23.9933,50.0000,35.2500
3,1,23,4058f5d1,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,23.2433,50.7500,36.7500
4,1,23,afa7d3c9,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,24.2433,50.7500,35.7500
5,1,23,09aad957,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,23.9933,51.0000,36.2500
6,1,23,6fd15518,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,23.9933,50.5000,35.7500
7,1,23,8ee972d3,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,23.7433,50.0000,35.5000
8,1,23,3aa50d35,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,23.9933,51.2500,36.5000
9,1,23,b387feb6,1,1f3a62ca,4,37,F,34516,CHECK,CHECK_CALL,22.7433,51.2500,37.7500
0,2,23,9b7add33,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,21.9981,50.2500,36.0000
1,2,23,08962d24,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,22.4981,49.5000,34.7500
2,2,23,e3b76101,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,22.2481,49.7500,35.2500
3,2,23,4058f5d1,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,21.4981,50.7500,37.0000
4,2,23,afa7d3c9,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,22.4981,50.5000,35.7500
5,2,23,09aad957,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,22.4981,51.0000,36.2500
6,2,23,6fd15518,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,22.7481,50.7500,35.7500
7,2,23,8ee972d3,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,22.2481,49.7500,35.2500
8,2,23,3aa50d35,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,22.4981,51.2500,36.5000
9,2,23,b387feb6,1,a392d9cc,3,37,F,34516,CHECK,CHECK_CALL,20.4981,51.0000,38.2500
0,3,23,9b7add33,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,24.2318,50.2500,36.0000
1,3,23,08962d24,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,24.4818,49.5000,35.0000
2,3,23,e3b76101,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,24.4818,50.0000,35.5000
3,3,23,4058f5d1,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,23.9818,50.7500,36.7500
4,3,23,afa7d3c9,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,24.7318,50.7500,36.0000
5,3,23,09aad957,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,24.4818,51.0000,36.5000
6,3,23,6fd15518,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,24.4818,50.7500,36.2500
7,3,23,8ee972d3,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,24.4818,50.0000,35.5000
8,3,23,3aa50d35,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,24.7318,51.2500,36.5000
9,3,23,b387feb6,1,e3b76101,4,37,F,34516,CHECK,CHECK_CALL,23.2318,51.2500,38.0000
0,4,23,9b7add33,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,23.7390,50.2500,35.7500
1,4,23,08962d24,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,23.7390,49.2500,34.7500
2,4,23,e3b76101,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,23.9890,49.7500,35.0000
3,4,23,4058f5d1,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,23.4890,50.7500,36.5000
4,4,23,afa7d3c9,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,24.2390,50.5000,35.5000
5,4,23,09aad957,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.7500,36.0000
6,4,23,6fd15518,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,24.2390,50.7500,35.7500
7,4,23,8ee972d3,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,23.7390,49.7500,35.2500
8,4,23,3aa50d35,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,23.9890,51.0000,36.2500
9,4,23,b387feb6,1,24efd554,4,37,F,34516,CHECK,CHECK_CALL,22.7390,51.2500,37.7500
0,5,23,9b7add33,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,24.4890,50.0000,35.7500
1,5,23,08962d24,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,24.2390,49.2500,35.2500
2,5,23,e3b76101,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,24.4890,49.7500,35.5000
3,5,23,4058f5d1,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.7500,37.0000
4,5,23,afa7d3c9,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,24.9890,50.5000,35.7500
5,5,23,09aad957,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,24.7390,50.7500,36.2500
6,5,23,6fd15518,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,24.7390,50.5000,36.0000
7,5,23,8ee972d3,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,24.4890,49.7500,35.5000
8,5,23,3aa50d35,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,24.7390,51.0000,36.5000
9,5,23,b387feb6,1,eb6688fb,4,37,F,34516,CHECK,CHECK_CALL,23.4890,51.2500,38.0000
0,6,23,9b7add33,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,24.2468,50.5000,36.0000
1,6,23,08962d24,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,24.2468,49.5000,35.0000
2,6,23,e3b76101,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,24.4968,50.0000,35.2500
3,6,23,4058f5d1,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,23.7468,50.7500,36.7500
4,6,23,afa7d3c9,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,24.7468,50.5000,35.5000
5,6,23,09aad957,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,24.4968,51.0000,36.2500
6,6,23,6fd15518,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,24.4968,50.7500,36.0000
7,6,23,8ee972d3,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,24.2468,50.0000,35.5000
8,6,23,3aa50d35,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,24.4968,51.2500,36.5000
9,6,23,b387feb6,1,d3515755,4,37,F,34516,CHECK,CHECK_CALL,22.9968,51.2500,38.0000
0,7,23,9b7add33,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,23.7459,50.2500,36.2500
1,7,23,08962d24,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,24.2459,49.5000,35.0000
2,7,23,e3b76101,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,23.9959,49.7500,35.5000
3,7,23,4058f5d1,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,23.4959,50.7500,37.0000
4,7,23,afa7d3c9,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,24.4959,50.5000,35.7500
5,7,23,09aad957,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,24.2459,51.0000,36.5000
6,7,23,6fd15518,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,24.2459,50.7500,36.2500
7,7,23,8ee972d3,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,23.7459,49.7500,35.7500
8,7,23,3aa50d35,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,24.2459,51.0000,36.5000
9,7,23,b387feb6,1,490067f8,4,37,F,34516,CHECK,CHECK_CALL,22.9959,51.2500,38.0000
0,8,23,9b7add33,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,24.7468,50.2500,36.2500
1,8,23,08962d24,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,24.9968,49.5000,35.2500
2,8,23,e3b76101,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,25.2468,50.0000,35.5000
3,8,23,4058f5d1,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,24.4968,50.7500,37.0000
4,8,23,afa7d3c9,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,25.4968,50.7500,36.0000
5,8,23,09aad957,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,24.9968,51.0000,36.7500
6,8,23,6fd15518,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,25.4968,50.7500,36.0000
7,8,23,8ee972d3,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,24.9968,50.0000,35.7500
8,8,23,3aa50d35,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,25.2468,51.2500,36.7500
9,8,23,b387feb6,1,292a6625,4,37,F,34516,CHECK,CHECK_CALL,23.7468,51.2500,38.2500
0,9,23,9b7add33,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,25.2468,50.5000,36.5000
1,9,23,08962d24,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,25.2468,49.2500,35.2500
2,9,23,e3b76101,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,25.4968,50.0000,35.7500
3,9,23,4058f5d1,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,24.7468,50.7500,37.2500
4,9,23,afa7d3c9,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,25.7468,50.5000,36.0000
5,9,23,09aad957,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,25.7468,51.0000,36.5000
6,9,23,6fd15518,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,25.7468,50.7500,36.2500
7,9,23,8ee972d3,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,25.2468,50.0000,36.0000
8,9,23,3aa50d35,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,25.7468,51.2500,36.7500
9,9,23,b387feb6,1,3923d360,4,37,F,34516,CHECK,CHECK_CALL,24.2468,51.2500,38.2500
0,10,23,9b7add33,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,23.7390,50.0000,35.5000
1,10,23,08962d24,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,23.4890,49.2500,35.0000
2,10,23,e3b76101,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,23.7390,49.7500,35.2500
3,10,23,4058f5d1,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,23.4890,50.7500,36.5000
4,10,23,afa7d3c9,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,24.2390,50.5000,35.5000
5,10,23,09aad957,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.7500,36.0000
6,10,23,6fd15518,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.5000,35.7500
7,10,23,8ee972d3,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,23.7390,49.7500,35.2500
8,10,23,3aa50d35,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,23.9890,51.0000,36.2500
9,10,23,b387feb6,1,3da7f237,4,37,F,34516,CHECK,CHECK_CALL,22.7390,51.2500,37.7500
0,11,23,9b7add33,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,24.2433,50.2500,36.2500
1,11,23,08962d24,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,23.9933,49.2500,35.5000
2,11,23,e3b76101,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,24.2433,49.7500,35.7500
3,11,23,4058f5d1,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,23.7433,50.7500,37.2500
4,11,23,afa7d3c9,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,24.7433,50.5000,36.0000
5,11,23,09aad957,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,24.4933,50.7500,36.5000
6,11,23,6fd15518,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,24.4933,50.5000,36.2500
7,11,23,8ee972d3,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,23.9933,49.7500,36.0000
8,11,23,3aa50d35,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,24.7433,51.2500,36.7500
9,11,23,b387feb6,1,5f3ecaac,4,37,F,34516,CHECK,CHECK_CALL,23.4933,51.2500,38.0000
0,12,23,9b7add33,1,581cc9c0,4,37,F,34516,CHECK,CHECK_CALL,22.9968,50.2500,36.0000
1,12,23,08962d24,1,581cc9c0,4,37,F,34516,CHECK,CHECK_CALL,22.9968,49.2500,35.0000
2,12,23,e3b76101,1,581cc9c0,4,37,F,34516,CHECK,CHECK_CALL,23.4968,50.0000,35.2500
3,12,23,4058f5d1,1,581cc9c0,4,37,F,34516,CHECK,CHECK_CALL,22.4968,50.7500,37.0000
4,12,23,afa7d3c9,1,581cc9c0,4,37,F,34516,CHECK,CHECK_CALL,23.7468,50.7500,35.7500
5,12,23,09aad957,1,581cc9c0,4,37,F,34516,CHECK,CHECK_CALL,23.4968,51.0000,36.2500
6,12,23,6fd15518,1,581cc9c0,4,37,F,34516,CHECK,CHECK_CALL,23.4968,50.7500,36.0000
