source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,93b47fe5,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,23.4948,51.2500,37.7500
1,0,23,76fde688,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,24.2448,49.2500,35.0000
2,0,23,4021f102,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,15.7448,46.5000,40.7500
3,0,23,dabe8ffd,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,23.7448,50.5000,36.7500
4,0,23,3b2554ae,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,11.7448,46.5000,44.7500
5,0,23,173e2708,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,24.7448,50.5000,35.7500
6,0,23,713481cb,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,24.7448,50.5000,35.7500
7,0,23,3b177358,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,24.4948,49.7500,35.2500
8,0,23,ce4cffee,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,24.2448,49.5000,35.2500
9,0,23,f883bf99,1,966dec64,4,37,F,34516,CHECK,CHECK_CALL,23.2448,51.0000,37.7500
0,1,23,93b47fe5,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,22.2433,51.2500,37.5000
1,1,23,76fde688,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,22.9933,49.2500,34.7500
2,1,23,4021f102,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,14.4933,46.2500,40.2500
3,1,23,dabe8ffd,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,22.7433,50.5000,36.2500
4,1,23,3b2554ae,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,10.7433,46.5000,44.2500
5,1,23,173e2708,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,23.4933,50.5000,35.5000
6,1,23,713481cb,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,23.4933,50.5000,35.5000
7,1,23,3b177358,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,22.9933,49.7500,35.2500
8,1,23,ce4cffee,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,22.9933,49.5000,35.0000
9,1,23,f883bf99,1,02431d0b,4,37,F,34516,CHECK,CHECK_CALL,21.9933,51.0000,37.5000
0,2,23,93b47fe5,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,20.9981,51.5000,38.0000
1,2,23,76fde688,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,21.9981,49.5000,35.0000
2,2,23,4021f102,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,13.4981,47.0000,41.0000
3,2,23,dabe8ffd,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,21.2481,50.5000,36.7500
4,2,23,3b2554ae,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,9.7481,46.7500,44.5000
5,2,23,173e2708,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,22.4981,50.5000,35.5000
6,2,23,713481cb,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,22.4981,50.7500,35.7500
7,2,23,3b177358,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,21.9981,49.7500,35.2500
8,2,23,ce4cffee,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,21.7481,49.5000,35.2500
9,2,23,f883bf99,1,0498ac9e,3,37,F,34516,CHECK,CHECK_CALL,20.4981,51.0000,38.0000
0,3,23,93b47fe5,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,19.9999,51.7500,37.5000
1,3,23,76fde688,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,21.7499,50.0000,34.0000
2,3,23,4021f102,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,13.7499,47.0001,39.0000
3,3,23,dabe8ffd,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,20.7499,51.2500,36.2500
4,3,23,3b2554ae,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,9.9999,47.0000,42.7500
5,3,23,173e2708,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,21.7499,51.0000,35.0000
6,3,23,713481cb,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,21.7499,51.2500,35.2500
7,3,23,3b177358,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,21.2499,50.2500,34.7500
8,3,23,ce4cffee,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,21.7499,50.2500,34.2500
9,3,23,f883bf99,1,4021f102,4,37,F,34516,CHECK,CHECK_CALL,19.7499,51.5000,37.5000
0,4,23,93b47fe5,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,22.4890,51.2500,37.5000
1,4,23,76fde688,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,23.2390,49.0000,34.5000
2,4,23,4021f102,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,14.7390,46.5000,40.5000
3,4,23,dabe8ffd,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,22.9890,50.5000,36.2500
4,4,23,3b2554ae,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,10.9890,46.5000,44.2500
5,4,23,173e2708,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,23.9890,50.5000,35.2500
6,4,23,713481cb,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,23.7390,50.5000,35.5000
7,4,23,3b177358,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,23.2390,49.5000,35.0000
8,4,23,ce4cffee,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,23.2390,49.2500,34.7500
9,4,23,f883bf99,1,384e9023,4,37,F,34516,CHECK,CHECK_CALL,21.9890,50.7500,37.5000
0,5,23,93b47fe5,1,8b126eaa,4,37,F,34516,CHECK,CHECK_CALL,23.7318,51.2500,37.7500
1,5,23,76fde688,1,8b126eaa,4,37,F,34516,CHECK,CHECK_CALL,23.9818,49.0000,35.2500
2,5,23,4021f102,1,8b126eaa,4,37,F,34516,CHECK,CHECK_CALL,15.7319,46.5000,41.0000
3,5,23,dabe8ffd,1,8b126eaa,4,37,F,34516,CHECK,CHECK_CALL,23.9818,50.5000,36.7500
4,5,23,3b2554ae,1,8b126eaa,4,37,F,34516,CHECK,CHECK_CALL,11.9819,46.5000,44.7500
5,5,23,173e2708,1,8b126eaa,4,37,F,34516,CHECK,CHECK_CALL,24.9818,50.5000,35.7500
6,5,23,713481cb,1,8b126eaa,4,37,F,34516,CHECK,CHECK_CALL,24.7318,50.5000,36.0000
7,5,23,3b177358,1,8b126eaa,4,37,F,34516,CHECK,CHECK_CALL,24.4818,49.7500,35.5000
