source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,22ea1a95,1,a1c2c01b,4,1070,F,7247,CH,CHECK_CALL,1.2152,25.2940,25.1250
1,0,16,a1c2c01b,2,a1c2c01b,4,1070,F,1070,F,FOLD,1.0632,25.8920,25.8750
2,0,16,a1c2c01b,1,a1c2c01b,4,1070,F,7247,CH,CHECK_CALL,1.4651,25.4189,25.0000
3,0,16,bf2c62d3,1,a1c2c01b,4,1070,F,1070,F,FOLD,0.8458,25.2996,25.5000
4,0,16,7c4783cf,2,a1c2c01b,4,1070,F,1070,F,FOLD,0.5653,25.8941,26.3750
5,0,16,84c1c7a4,2,a1c2c01b,4,1070,F,1070,F,FOLD,0.6862,26.0151,26.3750
6,0,16,7c4783cf,1,a1c2c01b,4,1070,F,1070,F,FOLD,1.0958,25.2996,25.2500
7,0,16,bf2c62d3,2,a1c2c01b,4,1070,F,1070,F,FOLD,0.4427,25.7715,26.3750
8,0,16,22ea1a95,2,a1c2c01b,4,1070,F,1070,F,FOLD,0.6903,25.8941,26.2500
9,0,16,2ab3deaf,2,a1c2c01b,4,1070,F,1070,F,FOLD,0.8153,25.8941,26.1250
0,1,16,22ea1a95,1,565a7295,3,1070,F,1066,B,BET_RAISE,1.0069,24.5632,24.6250
1,1,16,a1c2c01b,2,565a7295,3,1070,F,7247,CH,CHECK_CALL,1.2071,25.6384,25.5000
2,1,16,a1c2c01b,1,565a7295,3,1070,F,1066,B,BET_RAISE,1.1248,24.6811,24.6250
3,1,16,bf2c62d3,1,565a7295,3,1070,F,1066,B,BET_RAISE,0.5151,24.4464,25.0000
4,1,16,7c4783cf,2,565a7295,3,1070,F,1070,F,FOLD,0.8320,25.6383,25.8750
5,1,16,84c1c7a4,2,565a7295,3,1070,F,1070,F,FOLD,0.7071,25.6384,26.0000
6,1,16,7c4783cf,1,565a7295,3,1070,F,1066,B,BET_RAISE,0.8820,24.5633,24.7500
7,1,16,bf2c62d3,2,565a7295,3,1070,F,1070,F,FOLD,0.4628,25.3941,26.0000
8,1,16,22ea1a95,2,565a7295,3,1070,F,1070,F,FOLD,0.7106,25.5169,25.8750
9,1,16,2ab3deaf,2,565a7295,3,1070,F,1070,F,FOLD,1.0820,25.6383,25.6250
0,2,16,22ea1a95,1,9103e334,3,1070,F,1066,B,BET_RAISE,0.7561,24.5562,24.7500
1,2,16,a1c2c01b,2,9103e334,3,1070,F,7247,CH,CHECK_CALL,1.0855,25.6356,25.5000
2,2,16,a1c2c01b,1,9103e334,3,1070,F,1066,B,BET_RAISE,1.1246,24.7997,24.6250
3,2,16,bf2c62d3,1,9103e334,3,1070,F,1066,B,BET_RAISE,0.5132,24.5633,25.0000
4,2,16,7c4783cf,2,9103e334,3,1070,F,1070,F,FOLD,0.7133,25.6384,25.8750
5,2,16,84c1c7a4,2,9103e334,3,1070,F,1070,F,FOLD,0.7104,25.7605,26.0000
6,2,16,7c4783cf,1,9103e334,3,1070,F,1066,B,BET_RAISE,0.8810,24.6811,24.7500
7,2,16,bf2c62d3,2,9103e334,3,1070,F,1070,F,FOLD,0.4650,25.5150,26.0000
8,2,16,22ea1a95,2,9103e334,3,1070,F,1070,F,FOLD,0.8382,25.6383,25.7500
9,2,16,2ab3deaf,2,9103e334,3,1070,F,1070,F,FOLD,0.9632,25.6383,25.6250
0,3,16,22ea1a95,1,ac15540a,3,1070,F,1066,B,BET_RAISE,1.1175,24.5562,24.6250
1,3,16,a1c2c01b,2,ac15540a,3,1070,F,7247,CH,CHECK_CALL,1.4481,25.6369,25.3750
2,3,16,a1c2c01b,1,ac15540a,3,1070,F,1066,B,BET_RAISE,1.3610,24.7997,24.6250
3,3,16,bf2c62d3,1,ac15540a,3,1070,F,1066,B,BET_RAISE,0.7425,24.5562,25.0000
4,3,16,7c4783cf,2,ac15540a,3,1070,F,1070,F,FOLD,0.9496,25.6383,25.8750
5,3,16,84c1c7a4,2,ac15540a,3,1070,F,1070,F,FOLD,0.9482,25.6369,25.8750
6,3,16,7c4783cf,1,ac15540a,3,1070,F,1066,B,BET_RAISE,1.1174,24.6811,24.7500
7,3,16,bf2c62d3,2,ac15540a,3,1070,F,1070,F,FOLD,0.7032,25.5169,26.0000
8,3,16,22ea1a95,2,ac15540a,3,1070,F,1070,F,FOLD,1.0747,25.6384,25.7500
9,3,16,2ab3deaf,2,ac15540a,3,1070,F,1070,F,FOLD,1.1996,25.6383,25.6250
0,4,16,22ea1a95,1,8ddcc246,3,1070,F,1066,B,BET_RAISE,0.8747,24.6811,24.7500
1,4,16,a1c2c01b,2,8ddcc246,3,1070,F,7247,CH,CHECK_CALL,1.0805,25.6369,25.5000
2,4,16,a1c2c01b,1,8ddcc246,3,1070,F,1066,B,BET_RAISE,0.9997,24.8061,24.7500
3,4,16,bf2c62d3,1,8ddcc246,3,1070,F,1066,B,BET_RAISE,0.3820,24.5633,25.1250
4,4,16,7c4783cf,2,8ddcc246,3,1070,F,1070,F,FOLD,0.7070,25.6383,25.8750
5,4,16,84c1c7a4,2,8ddcc246,3,1070,F,1070,F,FOLD,0.7070,25.6384,25.8750
6,4,16,7c4783cf,1,8ddcc246,3,1070,F,1066,B,BET_RAISE,0.7497,24.6811,24.8750
7,4,16,bf2c62d3,2,8ddcc246,3,1070,F,1070,F,FOLD,0.4606,25.5169,26.0000
8,4,16,22ea1a95,2,8ddcc246,3,1070,F,1070,F,FOLD,0.7087,25.6400,25.8750
9,4,16,2ab3deaf,2,8ddcc246,3,1070,F,1070,F,FOLD,0.9569,25.6383,25.6250
0,5,16,22ea1a95,1,d1b4e622,3,1070,F,1066,B,BET_RAISE,0.7554,24.6748,24.7500
1,5,16,a1c2c01b,2,d1b4e622,3,1070,F,7247,CH,CHECK_CALL,0.9663,25.6356,25.5000
2,5,16,a1c2c01b,1,d1b4e622,3,1070,F,1066,B,BET_RAISE,0.9997,24.7941,24.6250
3,5,16,bf2c62d3,1,d1b4e622,3,1070,F,1066,B,BET_RAISE,0.3805,24.6748,25.1250
4,5,16,7c4783cf,2,d1b4e622,3,1070,F,1070,F,FOLD,0.5926,25.6369,25.8750
5,5,16,84c1c7a4,2,d1b4e622,3,1070,F,1070,F,FOLD,0.7162,25.7605,25.8750
6,5,16,7c4783cf,1,d1b4e622,3,1070,F,1066,B,BET_RAISE,0.7555,24.6748,24.7500
7,5,16,bf2c62d3,2,d1b4e622,3,1070,F,1070,F,FOLD,0.3457,25.5151,26.0000
8,5,16,22ea1a95,2,d1b4e622,3,1070,F,1070,F,FOLD,0.7189,25.6383,25.7500
9,5,16,2ab3deaf,2,d1b4e622,3,1070,F,1070,F,FOLD,0.8425,25.6369,25.6250
0,6,16,22ea1a95,1,dc3a8039,3,1070,F,1066,B,BET_RAISE,1.0067,24.5632,24.6250
1,6,16,a1c2c01b,2,dc3a8039,3,1070,F,7247,CH,CHECK_CALL,1.2068,25.6383,25.5000
2,6,16,a1c2c01b,1,dc3a8039,3,1070,F,1066,B,BET_RAISE,1.2495,24.8060,24.6250
3,6,16,bf2c62d3,1,dc3a8039,3,1070,F,1066,B,BET_RAISE,0.5068,24.5633,25.1250
4,6,16,7c4783cf,2,dc3a8039,3,1070,F,1070,F,FOLD,0.8318,25.6383,25.8750
5,6,16,84c1c7a4,2,dc3a8039,3,1070,F,1070,F,FOLD,0.9553,25.7618,25.8750
6,6,16,7c4783cf,1,dc3a8039,3,1070,F,1066,B,BET_RAISE,1.0067,24.6881,24.7500
7,6,16,bf2c62d3,2,dc3a8039,3,1070,F,1070,F,FOLD,0.5854,25.5169,26.0000
8,6,16,22ea1a95,2,dc3a8039,3,1070,F,1070,F,FOLD,0.8335,25.6400,25.8750
9,6,16,2ab3deaf,2,dc3a8039,3,1070,F,1070,F,FOLD,1.0818,25.6383,25.6250
0,7,16,22ea1a95,1,e969f296,3,1070,F,1066,B,BET_RAISE,0.6418,24.5562,24.6250
1,7,16,a1c2c01b,2,e969f296,3,1070,F,7247,CH,CHECK_CALL,0.8475,25.6369,25.5000
2,7,16,a1c2c01b,1,e969f296,3,1070,F,1066,B,BET_RAISE,0.8917,24.6811,24.5000
3,7,16,bf2c62d3,1,e969f296,3,1070,F,1066,B,BET_RAISE,0.2668,24.5562,25.0000
4,7,16,7c4783cf,2,e969f296,3,1070,F,1070,F,FOLD,0.5974,25.6368,25.7500
5,7,16,84c1c7a4,2,e969f296,3,1070,F,1070,F,FOLD,0.4725,25.6369,25.8750
6,7,16,7c4783cf,1,e969f296,3,1070,F,1066,B,BET_RAISE,0.5239,24.5633,24.7500
7,7,16,bf2c62d3,2,e969f296,3,1070,F,1070,F,FOLD,0.1027,25.3920,26.0000
8,7,16,22ea1a95,2,e969f296,3,1070,F,1070,F,FOLD,0.5989,25.6383,25.7500
9,7,16,2ab3deaf,2,e969f296,3,1070,F,1070,F,FOLD,0.7239,25.6383,25.6250
0,8,16,22ea1a95,1,7a41a308,4,1070,F,1066,B,BET_RAISE,1.0719,25.1747,25.1250
1,8,16,a1c2c01b,2,7a41a308,4,1070,F,1070,F,FOLD,0.9163,25.8941,26.0000
2,8,16,a1c2c01b,1,7a41a308,4,1070,F,7247,CH,CHECK_CALL,1.4411,25.4190,25.0000
3,8,16,bf2c62d3,1,7a41a308,4,1070,F,1070,F,FOLD,0.7032,25.1810,25.5000
4,8,16,7c4783cf,2,7a41a308,4,1070,F,1070,F,FOLD,0.5412,25.8941,26.3750
5,8,16,84c1c7a4,2,7a41a308,4,1070,F,1070,F,FOLD,0.6641,26.0169,26.3750
6,8,16,7c4783cf,1,7a41a308,4,1070,F,1070,F,FOLD,1.0717,25.2996,25.2500
7,8,16,bf2c62d3,2,7a41a308,4,1070,F,1070,F,FOLD,0.2996,25.6524,26.3750
8,8,16,22ea1a95,2,7a41a308,4,1070,F,1070,F,FOLD,0.6663,25.8941,26.2500
9,8,16,2ab3deaf,2,7a41a308,4,1070,F,1070,F,FOLD,0.7937,25.7716,26.0000
0,9,16,22ea1a95,1,f9c67865,3,1070,F,1066,B,BET_RAISE,0.9998,24.5713,24.7500
1,9,16,a1c2c01b,2,f9c67865,3,1070,F,1070,F,FOLD,1.1935,25.6400,25.6250
2,9,16,a1c2c01b,1,f9c67865,3,1070,F,1066,B,BET_RAISE,1.2346,24.8061,24.7500
3,9,16,bf2c62d3,1,f9c67865,3,1070,F,1066,B,BET_RAISE,0.6249,24.5714,25.1250
4,9,16,7c4783cf,2,f9c67865,3,1070,F,1070,F,FOLD,0.8185,25.6400,26.0000
5,9,16,84c1c7a4,2,f9c67865,3,1070,F,1070,F,FOLD,0.8185,25.6400,26.0000
6,9,16,7c4783cf,1,f9c67865,3,1070,F,1066,B,BET_RAISE,0.8748,24.5713,24.8750
7,9,16,bf2c62d3,2,f9c67865,3,1070,F,1070,F,FOLD,0.4500,25.3965,26.1250
8,9,16,22ea1a95,2,f9c67865,3,1070,F,1070,F,FOLD,0.8205,25.5170,25.8750
9,9,16,2ab3deaf,2,f9c67865,3,1070,F,1070,F,FOLD,1.0685,25.6400,25.7500
0,10,16,22ea1a95,1,a9a775cd,3,1070,F,1066,B,BET_RAISE,1.1249,24.5713,24.7500
1,10,16,a1c2c01b,2,a9a775cd,3,1070,F,1070,F,FOLD,1.3186,25.6400,25.6250
2,10,16,a1c2c01b,1,a9a775cd,3,1070,F,1066,B,BET_RAISE,1.3596,24.8061,24.7500
3,10,16,bf2c62d3,1,a9a775cd,3,1070,F,1070,F,FOLD,0.7418,24.5633,25.1250
4,10,16,7c4783cf,2,a9a775cd,3,1070,F,1070,F,FOLD,0.9436,25.6400,26.0000
5,10,16,84c1c7a4,2,a9a775cd,3,1070,F,1070,F,FOLD,0.9436,25.6400,26.0000
6,10,16,7c4783cf,1,a9a775cd,3,1070,F,1066,B,BET_RAISE,1.1168,24.6882,24.8750
7,10,16,bf2c62d3,2,a9a775cd,3,1070,F,1070,F,FOLD,0.5751,25.3965,26.1250
8,10,16,22ea1a95,2,a9a775cd,3,1070,F,1070,F,FOLD,1.0685,25.6400,25.8750
9,10,16,2ab3deaf,2,a9a775cd,3,1070,F,1070,F,FOLD,1.1935,25.6400,25.7500
0,11,16,22ea1a95,1,c7e3db9e,3,1070,F,1066,B,BET_RAISE,0.8812,24.5562,24.7500
1,11,16,a1c2c01b,2,c7e3db9e,3,1070,F,7247,CH,CHECK_CALL,1.2106,25.6356,25.5000
2,11,16,a1c2c01b,1,c7e3db9e,3,1070,F,1066,B,BET_RAISE,1.1247,24.7997,24.7500
