source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,2a086cd1,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.2448,50.5000,36.2500
1,0,23,963ff3b4,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.2448,49.2500,35.0000
2,0,23,6ee2bfb8,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.7448,50.0000,35.2500
3,0,23,8be86553,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.2448,49.7500,35.5000
4,0,23,9b03adfe,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.4948,51.5000,37.0000
5,0,23,16ce32ea,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.7448,50.5000,35.7500
6,0,23,bd6830e0,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.7448,50.5000,35.7500
7,0,23,3b9a13ad,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.4948,49.7500,35.2500
8,0,23,7f5c9192,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,24.7448,51.0000,36.2500
9,0,23,e67e7ed2,1,5ebee147,4,37,F,34516,CHECK,CHECK_CALL,23.2448,51.0000,37.7500
0,1,23,2a086cd1,1,07d29588,4,37,F,34516,CHECK,CHECK_CALL,22.9933,50.5000,36.0000
1,1,23,963ff3b4,1,07d29588,4,37,F,34516,CHECK,CHECK_CALL,22.9933,49.2500,34.7500
2,1,23,6ee2bfb8,1,07d29588,4,37,F,34516,CHECK,CHECK_CALL,23.2433,50.0000,35.2500
3,1,23,8be86553,1,07d29588,4,37,F,34516,CHECK,CHECK_CALL,22.7433,49.5000,35.2500
4,1,23,9b03adfe,1,07d29588,4,37,F,34516,CHECK,CHECK_CALL,22.9933,51.7500,37.2500
