source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,14,4e1629f4,15,d596d691,17,37,F,35616,CHECK,CHECK_CALL,0.3655,24.6363,23.7503
1,0,14,bdb16773,11,d596d691,17,37,F,35616,CHECK,CHECK_CALL,-0.2544,25.1413,24.8752
2,0,14,2584736e,9,d596d691,17,37,F,35616,CHECK,CHECK_CALL,0.1205,25.0163,24.3753
3,0,14,c46c4b15,14,d596d691,17,37,F,35616,CHECK,CHECK_CALL,0.1226,24.6434,24.0003
4,0,14,899b7aed,9,d596d691,17,37,F,35616,CHECK,CHECK_CALL,0.1205,25.1413,24.5003
5,0,14,90227887,15,d596d691,17,37,F,35616,CHECK,CHECK_CALL,0.3670,24.6378,23.7503
6,0,14,90227887,14,d596d691,17,37,F,35616,CHECK,CHECK_CALL,-0.1330,25.1377,24.7502
7,0,14,bdb16773,12,d596d691,17,37,F,35616,CHECK,CHECK_CALL,0.3670,24.6378,23.7503
8,0,14,bb001208,13,d596d691,17,37,F,35616,CHECK,CHECK_CALL,0.2405,24.6363,23.8753
9,0,14,84c65c53,15,d596d691,17,37,F,35616,CHECK,CHECK_CALL,0.3655,24.6363,23.7503
0,1,14,4e1629f4,15,a925caa8,11,37,F,35616,CHECK,CHECK_CALL,0.6273,25.2613,25.1253
1,1,14,bdb16773,11,a925caa8,11,37,F,37,F,FOLD,0.3749,25.6338,25.7503
2,1,14,2584736e,9,a925caa8,11,37,F,35616,CHECK,CHECK_CALL,0.6260,25.6350,25.5003
3,1,14,c46c4b15,14,a925caa8,11,37,F,35616,CHECK,CHECK_CALL,0.6288,25.3877,25.2503
4,1,14,899b7aed,9,a925caa8,11,37,F,35616,CHECK,CHECK_CALL,0.6248,25.6338,25.5004
5,1,14,90227887,15,a925caa8,11,37,F,35616,CHECK,CHECK_CALL,0.7510,25.3850,25.1253
6,1,14,90227887,14,a925caa8,11,37,F,37,F,FOLD,0.4989,25.6328,25.6253
7,1,14,bdb16773,12,a925caa8,11,37,F,35616,CHECK,CHECK_CALL,0.8760,25.3850,25.0004
8,1,14,bb001208,13,a925caa8,11,37,F,35616,CHECK,CHECK_CALL,0.7510,25.3850,25.1254
9,1,14,84c65c53,15,a925caa8,11,37,F,35616,CHECK,CHECK_CALL,0.7510,25.3850,25.1254
0,2,14,4e1629f4,15,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.5208,25.0004
1,2,14,bdb16773,11,ebd4f3ea,11,37,F,37,F,FOLD,0.0000,25.7707,25.7503
2,2,14,2584736e,9,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.3749,25.7708,25.3753
3,2,14,c46c4b15,14,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.3807,25.5265,25.1253
4,2,14,899b7aed,9,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.3725,25.8933,25.5003
5,2,14,90227887,15,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.5208,25.0003
6,2,14,90227887,14,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.2476,25.7683,25.5003
7,2,14,bdb16773,12,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.5208,25.0003
8,2,14,bb001208,13,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.3726,25.5184,25.1253
9,2,14,84c65c53,15,ebd4f3ea,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.5208,25.0004
0,3,14,4e1629f4,15,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.3750,25.5184,24.7503
1,3,14,bdb16773,11,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.1229,25.8912,25.3753
2,3,14,2584736e,9,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.8933,25.0004
3,3,14,c46c4b15,14,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.3773,25.5207,24.7504
4,3,14,899b7aed,9,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.3749,25.8933,25.1254
5,3,14,90227887,15,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.5184,24.6254
6,3,14,90227887,14,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.3728,25.8912,25.1253
7,3,14,bdb16773,12,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.5184,24.6254
8,3,14,bb001208,13,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.5184,24.6254
9,3,14,84c65c53,15,20865ef3,11,37,F,35616,CHECK,CHECK_CALL,0.6228,25.6412,24.6254
0,4,14,4e1629f4,15,e9cc0da4,11,37,F,35616,CHECK,CHECK_CALL,0.5031,25.5144,25.1253
1,4,14,bdb16773,11,e9cc0da4,11,37,F,37,F,FOLD,0.1281,25.7644,25.7503
2,4,14,2584736e,9,e9cc0da4,11,37,F,35616,CHECK,CHECK_CALL,0.5049,25.7663,25.3753
3,4,14,c46c4b15,14,e9cc0da4,11,37,F,35616,CHECK,CHECK_CALL,0.5070,25.5184,25.1253
4,4,14,899b7aed,9,e9cc0da4,11,37,F,35616,CHECK,CHECK_CALL,0.5030,25.8894,25.5003
5,4,14,90227887,15,e9cc0da4,11,37,F,35616,CHECK,CHECK_CALL,0.7513,25.6377,25.0003
6,4,14,90227887,14,e9cc0da4,11,37,F,35616,CHECK,CHECK_CALL,0.3780,25.7644,25.5003
7,4,14,bdb16773,12,e9cc0da4,11,37,F,35616,CHECK,CHECK_CALL,0.7514,25.6377,25.0003
8,4,14,bb001208,13,e9cc0da4,11,37,F,35616,CHECK,CHECK_CALL,0.6280,25.5144,25.0004
