source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,0ae11848,2,319a425b,3,1070,F,7247,CH,CHECK_CALL,1.3291,25.6356,25.3750
1,0,16,aded12f6,1,319a425b,3,1070,F,1066,B,BET_RAISE,1.2433,24.7997,24.6250
2,0,16,64383590,2,319a425b,3,1070,F,1070,F,FOLD,0.9570,25.5134,25.6250
3,0,16,7ebb9655,1,319a425b,3,1070,F,1066,B,BET_RAISE,0.8747,24.6811,24.8750
4,0,16,bb8e52f5,2,319a425b,3,1070,F,1070,F,FOLD,0.8319,25.6384,25.8750
5,0,16,06a2795b,2,319a425b,3,1070,F,1070,F,FOLD,0.8304,25.6369,25.8750
6,0,16,0ae11848,1,319a425b,3,1070,F,1066,B,BET_RAISE,1.1183,24.7997,24.7500
7,0,16,aded12f6,2,319a425b,3,1070,F,1070,F,FOLD,0.8305,25.6369,25.8750
8,0,16,ab53d947,1,319a425b,3,1070,F,1066,B,BET_RAISE,0.6248,24.5562,25.0000
9,0,16,06a2795b,1,319a425b,3,1070,F,1066,B,BET_RAISE,0.8747,24.6811,24.8750
0,1,16,0ae11848,2,7171f3c4,3,1070,F,7247,CH,CHECK_CALL,1.4468,25.6355,25.3750
1,1,16,aded12f6,1,7171f3c4,3,1070,F,1066,B,BET_RAISE,1.3611,24.6748,24.5000
2,1,16,64383590,2,7171f3c4,3,1070,F,1070,F,FOLD,1.2014,25.5151,25.5000
3,1,16,7ebb9655,1,7171f3c4,3,1070,F,1066,B,BET_RAISE,1.1174,24.6811,24.7500
4,1,16,bb8e52f5,2,7171f3c4,3,1070,F,1070,F,FOLD,1.0746,25.6383,25.7500
5,1,16,06a2795b,2,7171f3c4,3,1070,F,1070,F,FOLD,0.9482,25.6368,25.8750
6,1,16,0ae11848,1,7171f3c4,3,1070,F,1066,B,BET_RAISE,1.3610,24.7997,24.6250
7,1,16,aded12f6,2,7171f3c4,3,1070,F,1070,F,FOLD,1.0746,25.6383,25.7500
8,1,16,ab53d947,1,7171f3c4,3,1070,F,1066,B,BET_RAISE,0.6327,24.4464,25.0000
9,1,16,06a2795b,1,7171f3c4,3,1070,F,1066,B,BET_RAISE,0.9996,24.5633,24.7500
0,2,16,0ae11848,2,aded12f6,4,1070,F,1070,F,FOLD,0.9621,25.8941,26.0000
1,2,16,aded12f6,1,aded12f6,4,1070,F,7247,CH,CHECK_CALL,1.6069,25.5389,25.0000
2,2,16,64383590,2,aded12f6,4,1070,F,1070,F,FOLD,0.9621,25.8940,26.0000
3,2,16,7ebb9655,1,aded12f6,4,1070,F,1070,F,FOLD,1.1177,25.2997,25.2500
4,2,16,bb8e52f5,2,aded12f6,4,1070,F,1070,F,FOLD,0.7121,25.8941,26.2500
5,2,16,06a2795b,2,aded12f6,4,1070,F,1070,F,FOLD,0.7080,26.0150,26.3750
6,2,16,0ae11848,1,aded12f6,4,1070,F,7247,CH,CHECK_CALL,1.4819,25.5389,25.1250
7,2,16,aded12f6,2,aded12f6,4,1070,F,1070,F,FOLD,0.8349,26.0169,26.2500
8,2,16,ab53d947,1,aded12f6,4,1070,F,1070,F,FOLD,0.7428,25.1747,25.5000
9,2,16,06a2795b,1,aded12f6,4,1070,F,1070,F,FOLD,1.1176,25.2996,25.2500
0,3,16,0ae11848,2,0ae11848,4,1070,F,1070,F,FOLD,1.0612,26.0151,26.0000
1,3,16,aded12f6,1,0ae11848,4,1070,F,7247,CH,CHECK_CALL,1.5806,25.5345,25.0000
2,3,16,64383590,2,0ae11848,4,1070,F,1070,F,FOLD,0.8131,25.8919,26.1250
3,3,16,7ebb9655,1,0ae11848,4,1070,F,1070,F,FOLD,1.0901,25.2940,25.2500
4,3,16,bb8e52f5,2,0ae11848,4,1070,F,1070,F,FOLD,0.8111,26.0150,26.2500
5,3,16,06a2795b,2,0ae11848,4,1070,F,1070,F,FOLD,0.6861,26.0150,26.3750
6,3,16,0ae11848,1,0ae11848,4,1070,F,7247,CH,CHECK_CALL,1.4600,25.5389,25.1250
7,3,16,aded12f6,2,0ae11848,4,1070,F,1070,F,FOLD,0.8111,26.0150,26.2500
8,3,16,ab53d947,1,0ae11848,4,1070,F,1070,F,FOLD,0.7208,25.1747,25.5000
9,3,16,06a2795b,1,0ae11848,4,1070,F,1070,F,FOLD,1.0957,25.2996,25.2500
0,4,16,0ae11848,2,60485bd3,3,1070,F,7247,CH,CHECK_CALL,1.0868,25.6369,25.5000
1,4,16,aded12f6,1,60485bd3,3,1070,F,1066,B,BET_RAISE,1.2497,24.7997,24.5000
2,4,16,64383590,2,60485bd3,3,1070,F,1070,F,FOLD,0.8400,25.5151,25.6250
3,4,16,7ebb9655,1,60485bd3,3,1070,F,1066,B,BET_RAISE,0.8882,24.6882,24.7500
4,4,16,bb8e52f5,2,60485bd3,3,1070,F,1070,F,FOLD,0.7133,25.6383,25.8750
5,4,16,06a2795b,2,60485bd3,3,1070,F,1070,F,FOLD,0.7118,25.6368,25.8750
6,4,16,0ae11848,1,60485bd3,3,1070,F,1066,B,BET_RAISE,1.0060,24.8060,24.7500
7,4,16,aded12f6,2,60485bd3,3,1070,F,1070,F,FOLD,0.9605,25.7605,25.7500
8,4,16,ab53d947,1,60485bd3,3,1070,F,1066,B,BET_RAISE,0.5133,24.5633,25.0000
9,4,16,06a2795b,1,60485bd3,3,1070,F,1066,B,BET_RAISE,0.7633,24.5633,24.7500
0,5,16,0ae11848,2,a83e8a31,3,1070,F,7247,CH,CHECK_CALL,0.9662,25.6356,25.3750
1,5,16,aded12f6,1,a83e8a31,3,1070,F,1066,B,BET_RAISE,0.8868,24.6811,24.5000
2,5,16,64383590,2,a83e8a31,3,1070,F,1070,F,FOLD,0.7207,25.5150,25.5000
3,5,16,7ebb9655,1,a83e8a31,3,1070,F,1066,B,BET_RAISE,0.5189,24.5633,24.7500
4,5,16,bb8e52f5,2,a83e8a31,3,1070,F,1070,F,FOLD,0.4707,25.5151,25.7500
5,5,16,06a2795b,2,a83e8a31,3,1070,F,1070,F,FOLD,0.4675,25.6369,25.8750
6,5,16,0ae11848,1,a83e8a31,3,1070,F,1066,B,BET_RAISE,0.7618,24.6811,24.6250
7,5,16,aded12f6,2,a83e8a31,3,1070,F,1070,F,FOLD,0.7162,25.7605,25.7500
8,5,16,ab53d947,1,a83e8a31,3,1070,F,1066,B,BET_RAISE,0.1520,24.4464,25.0000
9,5,16,06a2795b,1,a83e8a31,3,1070,F,1066,B,BET_RAISE,0.5189,24.5633,24.7500
0,6,16,0ae11848,2,64383590,4,1070,F,1070,F,FOLD,0.7915,25.8941,26.0000
1,6,16,aded12f6,1,64383590,4,1070,F,7247,CH,CHECK_CALL,1.3164,25.4190,25.0000
2,6,16,64383590,2,64383590,4,1070,F,1070,F,FOLD,0.7915,25.8940,26.0000
3,6,16,7ebb9655,1,64383590,4,1070,F,1070,F,FOLD,0.9470,25.2996,25.2500
4,6,16,bb8e52f5,2,64383590,4,1070,F,1070,F,FOLD,0.5439,25.8965,26.2500
5,6,16,06a2795b,2,64383590,4,1070,F,1070,F,FOLD,0.5394,25.8920,26.2500
6,6,16,0ae11848,1,64383590,4,1070,F,7247,CH,CHECK_CALL,1.1914,25.4190,25.1250
7,6,16,aded12f6,2,64383590,4,1070,F,1070,F,FOLD,0.6644,26.0169,26.2500
8,6,16,ab53d947,1,64383590,4,1070,F,1070,F,FOLD,0.5784,25.1810,25.5000
9,6,16,06a2795b,1,64383590,4,1070,F,1070,F,FOLD,0.9470,25.2996,25.2500
0,7,16,0ae11848,2,bb8e52f5,4,1070,F,1070,F,FOLD,1.0412,25.8941,26.0000
1,7,16,aded12f6,1,bb8e52f5,4,1070,F,7247,CH,CHECK_CALL,1.5661,25.4190,25.0000
2,7,16,64383590,2,bb8e52f5,4,1070,F,1070,F,FOLD,0.7937,25.7716,26.1250
3,7,16,7ebb9655,1,bb8e52f5,4,1070,F,1070,F,FOLD,1.1968,25.2997,25.2500
4,7,16,bb8e52f5,2,bb8e52f5,4,1070,F,1070,F,FOLD,0.7936,25.8965,26.2500
5,7,16,06a2795b,2,bb8e52f5,4,1070,F,1070,F,FOLD,0.6662,25.8941,26.3750
6,7,16,0ae11848,1,bb8e52f5,4,1070,F,7247,CH,CHECK_CALL,1.4411,25.4190,25.1250
7,7,16,aded12f6,2,bb8e52f5,4,1070,F,1070,F,FOLD,0.7937,25.8966,26.2500
8,7,16,ab53d947,1,bb8e52f5,4,1070,F,1070,F,FOLD,0.8281,25.1810,25.5000
9,7,16,06a2795b,1,bb8e52f5,4,1070,F,1070,F,FOLD,1.1967,25.2996,25.2500
0,8,16,0ae11848,2,c3acd3f8,3,1070,F,7247,CH,CHECK_CALL,1.4499,25.6384,25.5000
1,8,16,aded12f6,1,c3acd3f8,3,1070,F,1066,B,BET_RAISE,1.4863,24.7998,24.6250
2,8,16,64383590,2,c3acd3f8,3,1070,F,1070,F,FOLD,1.2016,25.5151,25.6250
3,8,16,7ebb9655,1,c3acd3f8,3,1070,F,1066,B,BET_RAISE,1.1176,24.6811,24.8750
4,8,16,bb8e52f5,2,c3acd3f8,3,1070,F,1070,F,FOLD,1.0765,25.6400,25.8750
5,8,16,06a2795b,2,c3acd3f8,3,1070,F,1070,F,FOLD,0.9498,25.6384,26.0000
6,8,16,0ae11848,1,c3acd3f8,3,1070,F,1066,B,BET_RAISE,1.3676,24.8061,24.7500
7,8,16,aded12f6,2,c3acd3f8,3,1070,F,1070,F,FOLD,1.0749,25.6384,25.8750
8,8,16,ab53d947,1,c3acd3f8,3,1070,F,1066,B,BET_RAISE,0.8677,24.5562,25.0000
9,8,16,06a2795b,1,c3acd3f8,3,1070,F,1066,B,BET_RAISE,0.9998,24.5633,24.8750
0,9,16,0ae11848,2,08ae06e9,3,1070,F,7247,CH,CHECK_CALL,1.4554,25.6369,25.5000
1,9,16,aded12f6,1,08ae06e9,3,1070,F,1066,B,BET_RAISE,1.4933,24.7997,24.6250
2,9,16,64383590,2,08ae06e9,3,1070,F,1070,F,FOLD,1.2086,25.5151,25.6250
3,9,16,7ebb9655,1,08ae06e9,3,1070,F,1066,B,BET_RAISE,1.1247,24.6812,24.8750
4,9,16,bb8e52f5,2,08ae06e9,3,1070,F,1070,F,FOLD,0.9586,25.5151,25.8750
5,9,16,06a2795b,2,08ae06e9,3,1070,F,1070,F,FOLD,0.9568,25.6383,26.0000
6,9,16,0ae11848,1,08ae06e9,3,1070,F,1066,B,BET_RAISE,1.3683,24.7998,24.7500
7,9,16,aded12f6,2,08ae06e9,3,1070,F,1070,F,FOLD,1.0819,25.6384,25.8750
8,9,16,ab53d947,1,08ae06e9,3,1070,F,1070,F,FOLD,0.7498,24.5562,25.1250
9,9,16,06a2795b,1,08ae06e9,3,1070,F,1066,B,BET_RAISE,1.1247,24.6811,24.8750
0,10,16,0ae11848,2,b0fd7dcf,3,1070,F,7247,CH,CHECK_CALL,1.2118,25.6369,25.5000
1,10,16,aded12f6,1,b0fd7dcf,3,1070,F,1066,B,BET_RAISE,1.1311,24.6812,24.6250
2,10,16,64383590,2,b0fd7dcf,3,1070,F,1070,F,FOLD,0.9650,25.5151,25.6250
3,10,16,7ebb9655,1,b0fd7dcf,3,1070,F,1066,B,BET_RAISE,0.8883,24.5633,24.7500
4,10,16,bb8e52f5,2,b0fd7dcf,3,1070,F,1070,F,FOLD,0.7169,25.5169,25.8750
5,10,16,06a2795b,2,b0fd7dcf,3,1070,F,1070,F,FOLD,0.7133,25.6384,26.0000
6,10,16,0ae11848,1,b0fd7dcf,3,1070,F,1066,B,BET_RAISE,1.0133,24.6883,24.7500
7,10,16,aded12f6,2,b0fd7dcf,3,1070,F,1070,F,FOLD,0.8384,25.6384,25.8750
8,10,16,ab53d947,1,b0fd7dcf,3,1070,F,1066,B,BET_RAISE,0.5214,24.4464,25.0000
9,10,16,06a2795b,1,b0fd7dcf,3,1070,F,1066,B,BET_RAISE,0.8883,24.5633,24.7500
0,11,16,0ae11848,2,0fa96adc,3,1070,F,7247,CH,CHECK_CALL,0.9676,25.6369,25.5000
1,11,16,aded12f6,1,0fa96adc,3,1070,F,1066,B,BET_RAISE,1.1304,24.7997,24.5000
2,11,16,64383590,2,0fa96adc,3,1070,F,1070,F,FOLD,0.8457,25.5151,25.5000
3,11,16,7ebb9655,1,0fa96adc,3,1070,F,1066,B,BET_RAISE,0.7618,24.6811,24.7500
4,11,16,bb8e52f5,2,0fa96adc,3,1070,F,1070,F,FOLD,0.7190,25.6383,25.7500
5,11,16,06a2795b,2,0fa96adc,3,1070,F,1070,F,FOLD,0.7175,25.7618,25.8750
6,11,16,0ae11848,1,0fa96adc,3,1070,F,1066,B,BET_RAISE,1.0054,24.7997,24.6250
7,11,16,aded12f6,2,0fa96adc,3,1070,F,1070,F,FOLD,0.7175,25.7618,25.8750
8,11,16,ab53d947,1,0fa96adc,3,1070,F,1066,B,BET_RAISE,0.3939,24.5632,25.0000
9,11,16,06a2795b,1,0fa96adc,3,1070,F,1066,B,BET_RAISE,0.7618,24.6811,24.7500
0,12,16,0ae11848,2,e640c97b,4,1070,F,1070,F,FOLD,1.0149,25.8941,25.8750
1,12,16,aded12f6,1,e640c97b,4,1070,F,7247,CH,CHECK_CALL,1.5346,25.5389,25.0000
2,12,16,64383590,2,e640c97b,4,1070,F,1070,F,FOLD,0.8898,25.8941,26.0000
3,12,16,7ebb9655,1,e640c97b,4,1070,F,1070,F,FOLD,1.0453,25.2996,25.2500
4,12,16,bb8e52f5,2,e640c97b,4,1070,F,1070,F,FOLD,0.6422,25.8965,26.2500
