source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,d9f4a0ad,1,df740835,3,1070,F,1066,B,BET_RAISE,1.1318,24.5632,24.5000
1,0,16,d9f4a0ad,2,df740835,3,1070,F,1070,F,FOLD,1.0836,25.5150,25.5000
0,1,16,d9f4a0ad,1,61ae45d9,1,1070,F,1070,F,FOLD,1.6335,25.0216,25.1250
1,1,16,d9f4a0ad,2,61ae45d9,1,1070,F,1070,F,FOLD,1.3714,25.7596,26.1250
0,2,16,d9f4a0ad,1,be6b371e,1,1070,F,1066,B,BET_RAISE,0.8822,24.8942,24.8750
1,2,16,d9f4a0ad,2,be6b371e,1,1070,F,1070,F,FOLD,0.7474,25.7595,25.8750
0,3,16,d9f4a0ad,1,068729db,1,1070,F,1066,B,BET_RAISE,1.1368,24.8993,24.7500
1,3,16,d9f4a0ad,2,068729db,1,1070,F,1070,F,FOLD,0.8720,25.7595,25.8750
0,4,16,d9f4a0ad,1,fd11cf57,3,1070,F,1066,B,BET_RAISE,1.1318,24.5632,24.5000
1,4,16,d9f4a0ad,2,fd11cf57,3,1070,F,1070,F,FOLD,1.0836,25.5150,25.5000
0,5,16,d9f4a0ad,1,21efb7c9,1,1070,F,1066,B,BET_RAISE,1.1964,25.0192,25.0000
1,5,16,d9f4a0ad,2,21efb7c9,1,1070,F,1070,F,FOLD,1.0598,25.8826,26.0000
0,6,16,d9f4a0ad,1,3bda5295,1,1070,F,1066,B,BET_RAISE,1.1295,24.8921,24.6250
1,6,16,d9f4a0ad,2,3bda5295,1,1070,F,1070,F,FOLD,0.8709,25.7585,25.7500
0,7,16,d9f4a0ad,1,f4df0f15,1,1070,F,1066,B,BET_RAISE,1.1350,25.0216,24.8750
1,7,16,d9f4a0ad,2,f4df0f15,1,1070,F,1070,F,FOLD,0.8719,25.8835,26.0000
0,8,16,d9f4a0ad,1,2649f3cb,1,1070,F,1070,F,FOLD,1.4405,25.0216,25.0000
1,8,16,d9f4a0ad,2,2649f3cb,1,1070,F,1070,F,FOLD,1.1784,25.7595,26.0000
0,9,16,d9f4a0ad,1,cfa7af37,3,1070,F,1066,B,BET_RAISE,1.1319,24.5632,24.5000
1,9,16,d9f4a0ad,2,cfa7af37,3,1070,F,1070,F,FOLD,0.9606,25.5170,25.6250
0,10,16,d9f4a0ad,1,c918cf8d,1,1070,F,1066,B,BET_RAISE,1.2569,25.0193,25.0000
1,10,16,d9f4a0ad,2,c918cf8d,1,1070,F,1070,F,FOLD,0.9962,25.7585,26.0000
0,11,16,d9f4a0ad,1,b21326a8,1,1070,F,1066,B,BET_RAISE,1.9944,24.7745,24.8750
1,11,16,d9f4a0ad,2,b21326a8,1,1070,F,1070,F,FOLD,1.8534,25.7585,26.0000
0,12,16,d9f4a0ad,1,6cb63f76,1,1070,F,1066,B,BET_RAISE,1.3817,25.0192,25.0000
1,12,16,d9f4a0ad,2,6cb63f76,1,1070,F,1070,F,FOLD,1.2459,25.8834,26.0000
0,13,16,d9f4a0ad,1,4b95c1fb,1,1070,F,1066,B,BET_RAISE,1.6311,25.0192,25.0000
1,13,16,d9f4a0ad,2,4b95c1fb,1,1070,F,1070,F,FOLD,1.3714,25.7595,26.0000
0,14,16,d9f4a0ad,1,d060764a,1,1070,F,1066,B,BET_RAISE,1.2595,25.0216,24.8750
1,14,16,d9f4a0ad,2,d060764a,1,1070,F,1070,F,FOLD,0.9963,25.8834,26.0000
0,15,16,d9f4a0ad,1,ae541b49,1,1070,F,1070,F,FOLD,1.6305,24.8942,25.0000
1,15,16,d9f4a0ad,2,ae541b49,1,1070,F,1070,F,FOLD,1.3709,25.7596,26.1250
0,16,16,d9f4a0ad,1,d9f4a0ad,4,1070,F,7247,CH,CHECK_CALL,1.4467,25.2996,24.8750
1,16,16,d9f4a0ad,2,d9f4a0ad,4,1070,F,1070,F,FOLD,0.7937,25.7716,26.0000
0,17,16,d9f4a0ad,1,3488567a,1,1070,F,1070,F,FOLD,1.3183,24.8994,25.1250
1,17,16,d9f4a0ad,2,3488567a,1,1070,F,1070,F,FOLD,1.1784,25.7595,26.1250
0,18,16,d9f4a0ad,1,543227cc,1,1070,F,1070,F,FOLD,1.5625,25.0192,25.1250
1,18,16,d9f4a0ad,2,543227cc,1,1070,F,1070,F,FOLD,1.4277,25.8845,26.1250
0,19,16,d9f4a0ad,1,705e7ddc,1,1070,F,1066,B,BET_RAISE,1.0071,24.7693,24.6250
1,19,16,d9f4a0ad,2,705e7ddc,1,1070,F,1070,F,FOLD,0.8704,25.7576,25.7500
0,20,16,d9f4a0ad,1,c5756784,3,1070,F,1066,B,BET_RAISE,1.1247,24.6748,24.3750
1,20,16,d9f4a0ad,2,c5756784,3,1070,F,7247,CH,CHECK_CALL,0.9618,25.6368,25.5000
0,21,16,d9f4a0ad,1,8fa442b6,1,1070,F,1070,F,FOLD,1.6690,24.8995,25.2500
1,21,16,d9f4a0ad,2,8fa442b6,1,1070,F,1070,F,FOLD,1.6541,25.7596,26.1250
0,22,16,d9f4a0ad,1,317699f2,1,1070,F,1070,F,FOLD,1.5426,24.8967,25.0000
1,22,16,d9f4a0ad,2,317699f2,1,1070,F,1070,F,FOLD,1.2805,25.7596,26.1250
0,23,16,d9f4a0ad,1,b22165a9,1,1070,F,1066,B,BET_RAISE,1.4459,24.8943,24.8750
