source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,5d065835,2,1acb1adc,4,37,F,33,B,BET_RAISE,14.7500,48.2500,37.0000
1,0,23,7f24ac12,1,1acb1adc,4,37,F,34516,CHECK,CHECK_CALL,18.5000,49.7500,34.7500
2,0,23,c1295d9c,1,1acb1adc,4,37,F,34516,CHECK,CHECK_CALL,11.2500,46.7501,39.0000
3,0,23,4c2777e7,1,1acb1adc,4,37,F,34516,CHECK,CHECK_CALL,9.7500,46.7501,40.5000
4,0,23,39a509a2,2,1acb1adc,4,37,F,33,B,BET_RAISE,14.2500,48.2500,37.5000
5,0,23,a5ff6eac,2,1acb1adc,4,37,F,33,B,BET_RAISE,15.0000,48.5000,37.0000
6,0,23,a5ff6eac,1,1acb1adc,4,37,F,34516,CHECK,CHECK_CALL,10.5000,47.0001,40.0000
7,0,23,40fa8bda,1,1acb1adc,4,37,F,34516,CHECK,CHECK_CALL,18.7500,49.5000,34.2500
8,0,23,9c8821ce,2,1acb1adc,4,37,F,34516,CHECK,CHECK_CALL,15.0000,49.0000,37.5000
9,0,23,2f1f9d1a,2,1acb1adc,4,37,F,33,B,BET_RAISE,15.0000,48.2500,36.7500
0,1,23,5d065835,2,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,19.4968,48.7500,38.2500
1,1,23,7f24ac12,1,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,22.9968,49.7500,35.7500
2,1,23,c1295d9c,1,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,14.7468,46.5000,40.7500
3,1,23,4c2777e7,1,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,12.9968,46.5000,42.5000
4,1,23,39a509a2,2,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,18.7468,48.5000,38.7500
5,1,23,a5ff6eac,2,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,19.4968,48.7500,38.2500
6,1,23,a5ff6eac,1,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,13.7468,46.7500,42.0000
7,1,23,40fa8bda,1,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,22.9968,49.2500,35.2500
8,1,23,9c8821ce,2,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,18.9968,49.2500,39.2500
9,1,23,2f1f9d1a,2,5d605c2d,4,37,F,34516,CHECK,CHECK_CALL,19.2468,48.5000,38.2500
0,2,23,5d065835,2,758bc09c,4,37,F,33,B,BET_RAISE,15.5000,48.7500,36.7500
1,2,23,7f24ac12,1,758bc09c,4,37,F,34516,CHECK,CHECK_CALL,19.2500,50.2500,34.5000
2,2,23,c1295d9c,1,758bc09c,4,37,F,34516,CHECK,CHECK_CALL,11.7500,47.0000,38.7500
3,2,23,4c2777e7,1,758bc09c,4,37,F,34516,CHECK,CHECK_CALL,9.7501,46.7501,40.5000
4,2,23,39a509a2,2,758bc09c,4,37,F,33,B,BET_RAISE,14.7500,48.5000,37.2500
5,2,23,a5ff6eac,2,758bc09c,4,37,F,33,B,BET_RAISE,15.7500,48.7500,36.5000
6,2,23,a5ff6eac,1,758bc09c,4,37,F,34516,CHECK,CHECK_CALL,11.0000,47.2500,39.7500
