target_idx,hand_id,decision_idx,head_set,mode,top1_id,top1_tok,top1_group,delta_check_minus_fold,GROUP_CHECK_CALL,GROUP_FOLD,GROUP_BET_RAISE
0,8f9b67e0,4,,baseline,35616,CHECK,CHECK_CALL,10.2609,27.3861,17.1251,14.5490
0,8f9b67e0,4,5+23+24,ablated,35616,CHECK,CHECK_CALL,-2.0572,26.3289,18.1252,15.4257
0,8f9b67e0,4,2+5+23+24,ablated,35616,CHECK,CHECK_CALL,-2.8072,26.4539,19.0002,16.0548
0,8f9b67e0,4,23,ablated,35616,CHECK,CHECK_CALL,-1.0931,26.6680,17.5002,14.9370
0,8f9b67e0,4,0+1+7+9,ablated,35616,CHECK,CHECK_CALL,0.1237,27.3848,17.0002,14.2952
1,74b820aa,2,,baseline,35616,CHECK,CHECK_CALL,11.5110,27.7611,16.2501,16.6481
1,74b820aa,2,5+23+24,ablated,35616,CHECK,CHECK_CALL,-2.4411,26.6950,17.6251,20.0030
1,74b820aa,2,2+5+23+24,ablated,35616,CHECK,CHECK_CALL,-2.6991,26.8120,18.0001,20.7517
1,74b820aa,2,23,ablated,35616,CHECK,CHECK_CALL,-1.1063,27.1548,16.7501,17.3990
1,74b820aa,2,0+1+7+9,ablated,35616,CHECK,CHECK_CALL,0.1264,27.5125,15.8751,15.4423
2,41c34167,4,,baseline,35616,CHECK,CHECK_CALL,2.9538,25.0791,22.1253,18.7645
2,41c34167,4,5+23+24,ablated,35616,CHECK,CHECK_CALL,-0.0090,25.1951,22.2503,19.2124
2,41c34167,4,2+5+23+24,ablated,35616,CHECK,CHECK_CALL,-0.4053,25.1738,22.6253,20.2876
2,41c34167,4,23,ablated,35616,CHECK,CHECK_CALL,-0.0000,24.8291,21.8754,18.9049
2,41c34167,4,0+1+7+9,ablated,35616,CHECK,CHECK_CALL,-0.0770,25.0021,22.1254,18.2682
3,ac1aa527,1,,baseline,35616,CHECK,CHECK_CALL,11.1290,27.8791,16.7501,13.7370
3,ac1aa527,1,5+23+24,ablated,35616,CHECK,CHECK_CALL,-1.7161,26.7881,17.3751,14.2920
3,ac1aa527,1,2+5+23+24,ablated,35616,CHECK,CHECK_CALL,-1.9704,26.9087,17.7501,14.5459
3,ac1aa527,1,23,ablated,35616,CHECK,CHECK_CALL,-0.6166,27.3875,16.8751,13.9660
3,ac1aa527,1,0+1+7+9,ablated,35616,CHECK,CHECK_CALL,0.5000,27.8791,16.2501,13.4168
4,aacd55bf,5,,baseline,35616,CHECK,CHECK_CALL,11.6302,28.2552,16.6251,15.7776
