target_idx,hand_id,decision_idx,head_set,mode,top1_id,top1_tok,top1_group,delta_check_minus_fold,GROUP_CHECK_CALL,GROUP_FOLD,GROUP_BET_RAISE
0,f217583d,7,,baseline,37,F,FOLD,-6.4671,19.4080,25.8751,20.8762
0,f217583d,7,5+23+24,ablated,37,F,FOLD,2.7356,21.3939,25.1253,23.1255
0,f217583d,7,2+5+23+24,ablated,37,F,FOLD,3.1035,21.7618,25.1254,23.3755
0,f217583d,7,23,ablated,37,F,FOLD,1.7441,20.5273,25.2502,21.8762
0,f217583d,7,0+1+7+9,ablated,37,F,FOLD,-0.8707,18.4123,25.7501,19.0021
1,2faf1217,7,,baseline,37,F,FOLD,-6.7171,19.2830,26.0001,20.7516
1,2faf1217,7,5+23+24,ablated,37,F,FOLD,2.8630,21.1464,25.0004,23.1257
1,2faf1217,7,2+5+23+24,ablated,37,F,FOLD,3.1050,21.5133,25.1253,23.3757
1,2faf1217,7,23,ablated,37,F,FOLD,1.7441,20.4023,25.3752,21.8765
1,2faf1217,7,0+1+7+9,ablated,37,F,FOLD,-0.6207,18.4123,25.7501,18.7531
2,41c34167,8,,baseline,37,F,FOLD,-3.9897,21.3855,25.3752,22.2505
2,41c34167,8,5+23+24,ablated,37,F,FOLD,2.4948,23.0057,24.5006,23.6253
2,41c34167,8,2+5+23+24,ablated,37,F,FOLD,2.4948,23.1307,24.6256,23.7503
2,41c34167,8,23,ablated,37,F,FOLD,1.6216,22.2573,24.6255,23.1254
2,41c34167,8,0+1+7+9,ablated,37,F,FOLD,-1.2490,20.1363,25.3751,19.5016
3,25d11520,7,,baseline,37,F,FOLD,-4.1081,21.1421,25.2502,22.1255
3,25d11520,7,5+23+24,ablated,37,F,FOLD,2.2428,22.6354,24.5007,24.0002
3,25d11520,7,2+5+23+24,ablated,37,F,FOLD,2.4906,22.8832,24.5007,24.0002
3,25d11520,7,23,ablated,37,F,FOLD,1.6194,22.1368,24.6255,22.8754
3,25d11520,7,0+1+7+9,ablated,37,F,FOLD,-0.9999,20.3921,25.5001,20.1259
4,5986eec6,5,,baseline,37,F,FOLD,-6.1061,20.2690,26.3751,20.8760
4,5986eec6,5,5+23+24,ablated,37,F,FOLD,1.9900,21.5092,25.6252,22.8754
4,5986eec6,5,2+5+23+24,ablated,37,F,FOLD,1.8651,21.5092,25.7502,23.0005
4,5986eec6,5,23,ablated,37,F,FOLD,1.4926,21.1367,25.7502,21.8758
4,5986eec6,5,0+1+7+9,ablated,37,F,FOLD,-1.2382,19.0308,26.3750,18.7521
5,87a57361,5,,baseline,37,F,FOLD,-3.6103,21.7650,25.3752,22.2510
5,87a57361,5,5+23+24,ablated,37,F,FOLD,2.2404,23.0058,24.3756,23.8754
5,87a57361,5,2+5+23+24,ablated,37,F,FOLD,2.2411,23.0065,24.3757,24.0005
5,87a57361,5,23,ablated,37,F,FOLD,1.4931,22.5083,24.6255,23.1259
5,87a57361,5,0+1+7+9,ablated,37,F,FOLD,-1.3683,20.5215,25.5001,19.8775
6,49f405a7,2,,baseline,37,F,FOLD,-3.1104,21.8898,25.0002,21.2521
6,49f405a7,2,5+23+24,ablated,37,F,FOLD,1.6202,22.5103,24.0006,22.5025
6,49f405a7,2,2+5+23+24,ablated,37,F,FOLD,1.4930,22.6332,24.2506,22.8768
6,49f405a7,2,23,ablated,37,F,FOLD,0.8748,22.1398,24.3754,21.6284
6,49f405a7,2,0+1+7+9,ablated,37,F,FOLD,-0.9934,21.1463,25.2501,19.1298
7,e836c2b6,7,,baseline,37,F,FOLD,-6.3520,19.5231,25.8751,21.0010
7,e836c2b6,7,5+23+24,ablated,37,F,FOLD,2.4916,21.2650,25.1254,23.3755
7,e836c2b6,7,2+5+23+24,ablated,37,F,FOLD,2.7385,21.5119,25.1254,23.6255
7,e836c2b6,7,23,ablated,37,F,FOLD,1.6188,20.6419,25.3752,22.2508
7,e836c2b6,7,0+1+7+9,ablated,37,F,FOLD,-0.9918,18.5312,25.8751,18.8770
8,acee5aca,7,,baseline,35616,CHECK,CHECK_CALL,0.6343,23.3851,22.7508,22.8772
8,acee5aca,7,5+23+24,ablated,33,B,BET_RAISE,-0.2545,23.1306,22.7508,23.1267
8,acee5aca,7,2+5+23+24,ablated,35616,CHECK,CHECK_CALL,-0.2562,23.3789,23.0008,23.2515
8,acee5aca,7,23,ablated,35616,CHECK,CHECK_CALL,-0.1281,23.0071,22.5009,22.8774
8,acee5aca,7,0+1+7+9,ablated,37,F,FOLD,-1.2452,23.1395,23.7504,21.5046
9,030e3470,2,,baseline,37,F,FOLD,-8.4438,17.8062,26.2500,18.6295
9,030e3470,2,5+23+24,ablated,37,F,FOLD,1.8474,19.0287,25.6251,19.5111
9,030e3470,2,2+5+23+24,ablated,37,F,FOLD,1.9664,19.2727,25.7501,19.8848
9,030e3470,2,23,ablated,37,F,FOLD,1.9693,19.1506,25.6251,19.1338
9,030e3470,2,0+1+7+9,ablated,37,F,FOLD,-0.6052,17.3261,26.3750,18.1290
10,334920bf,2,,baseline,37,F,FOLD,-3.2336,21.7666,25.0002,20.2533
10,334920bf,2,5+23+24,ablated,37,F,FOLD,1.4977,22.5146,24.2505,21.8778
10,334920bf,2,2+5+23+24,ablated,37,F,FOLD,1.3696,22.6365,24.5005,22.1275
10,334920bf,2,23,ablated,37,F,FOLD,0.7519,22.0187,24.5003,20.6306
10,334920bf,2,0+1+7+9,ablated,37,F,FOLD,-1.1203,20.8963,25.2501,18.6312
11,2c330a79,2,,baseline,37,F,FOLD,-2.3673,22.6331,25.0003,22.0012
11,2c330a79,2,5+23+24,ablated,37,F,FOLD,1.8700,23.3786,23.8758,23.3761
11,2c330a79,2,2+5+23+24,ablated,37,F,FOLD,1.8700,23.3786,23.8759,23.6261
11,2c330a79,2,23,ablated,37,F,FOLD,0.9974,22.8807,24.2505,22.5014
11,2c330a79,2,0+1+7+9,ablated,37,F,FOLD,-1.6213,21.5116,25.5001,19.5029
12,92006cc8,9,,baseline,37,F,FOLD,-10.0038,16.6212,26.6250,17.3823
12,92006cc8,9,5+23+24,ablated,37,F,FOLD,3.8999,20.0212,26.1251,20.2526
12,92006cc8,9,2+5+23+24,ablated,37,F,FOLD,4.1474,20.2687,26.1251,20.3775
12,92006cc8,9,23,ablated,37,F,FOLD,3.0382,19.0345,26.0001,18.6315
12,92006cc8,9,0+1+7+9,ablated,37,F,FOLD,-0.6788,15.8175,26.5000,16.3829
13,c8ec1d8a,7,,baseline,37,F,FOLD,-10.5289,16.2212,26.7500,17.5033
13,c8ec1d8a,7,5+23+24,ablated,37,F,FOLD,3.0516,18.8978,26.3751,20.1265
13,c8ec1d8a,7,2+5+23+24,ablated,37,F,FOLD,3.1698,19.1410,26.5001,20.3764
13,c8ec1d8a,7,23,ablated,37,F,FOLD,2.5636,18.2848,26.2501,18.5038
13,c8ec1d8a,7,0+1+7+9,ablated,37,F,FOLD,-0.6115,15.4847,26.6250,16.5044
14,aacd55bf,7,,baseline,37,F,FOLD,-1.7070,22.6685,24.3755,22.5013
14,aacd55bf,7,5+23+24,ablated,37,F,FOLD,-0.6381,22.4052,24.7503,22.1268
14,aacd55bf,7,2+5+23+24,ablated,37,F,FOLD,-0.7768,22.5165,25.0003,22.2516
14,aacd55bf,7,23,ablated,37,F,FOLD,-0.6298,22.0386,24.3754,22.5014
14,aacd55bf,7,0+1+7+9,ablated,37,F,FOLD,-1.3629,22.1803,25.2502,20.7532
15,6ebe778c,7,,baseline,37,F,FOLD,-5.2348,20.6405,25.8753,23.5002
15,6ebe778c,7,5+23+24,ablated,37,F,FOLD,1.9977,21.7635,25.0006,24.7501
15,6ebe778c,7,2+5+23+24,ablated,37,F,FOLD,2.1178,22.0086,25.1256,25.0001
15,6ebe778c,7,23,ablated,37,F,FOLD,1.2466,21.2622,25.2504,24.2502
15,6ebe778c,7,0+1+7+9,ablated,37,F,FOLD,-0.8708,19.8945,26.0001,21.3754
16,48304b9c,7,,baseline,37,F,FOLD,-5.2258,20.2743,25.5001,21.3758
16,48304b9c,7,5+23+24,ablated,37,F,FOLD,2.3635,21.8882,24.7504,23.2504
16,48304b9c,7,2+5+23+24,ablated,37,F,FOLD,2.7385,22.2632,24.7504,23.5004
16,48304b9c,7,23,ablated,37,F,FOLD,1.2425,21.0169,25.0003,22.2508
16,48304b9c,7,0+1+7+9,ablated,37,F,FOLD,-0.9950,19.4042,25.6251,19.7515
