target_idx,hand_id,decision_idx,head_set,mode,top1_id,top1_tok,top1_group,delta_check_minus_fold,GROUP_CHECK_CALL,GROUP_FOLD,GROUP_BET_RAISE
0,a86a2bba,7,,baseline,1070,F,FOLD,-4.3604,24.6396,29.0000,20.6405
0,a86a2bba,7,9+15+22,ablated,1070,F,FOLD,1.4955,25.5102,28.3750,22.0080
0,a86a2bba,7,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3719,25.2615,28.2500,21.6336
0,a86a2bba,7,22,ablated,1070,F,FOLD,1.4955,25.6352,28.5000,21.7585
0,a86a2bba,7,0+1+5+13,ablated,1070,F,FOLD,-0.3710,24.5186,29.2500,21.0157
1,43e31fb5,2,,baseline,1070,F,FOLD,-4.6121,24.7629,29.3750,21.3793
1,43e31fb5,2,9+15+22,ablated,1070,F,FOLD,1.4927,25.6306,28.7500,23.6261
1,43e31fb5,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3692,25.3821,28.6250,23.0014
1,43e31fb5,2,22,ablated,1070,F,FOLD,1.3692,25.5071,28.7500,23.1264
1,43e31fb5,2,0+1+5+13,ablated,1070,F,FOLD,-0.4919,24.3960,29.5000,21.5051
2,6f403582,2,,baseline,1070,F,FOLD,-4.9814,24.5186,29.5000,20.8825
2,6f403582,2,9+15+22,ablated,1070,F,FOLD,1.9904,25.7591,28.7500,23.2515
2,6f403582,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.8679,25.5116,28.6250,22.7521
2,6f403582,2,22,ablated,1070,F,FOLD,1.8665,25.6352,28.7500,22.7520
2,6f403582,2,0+1+5+13,ablated,1070,F,FOLD,-0.4918,24.2768,29.7500,21.0082
3,aa9823da,1,,baseline,1070,F,FOLD,-4.2372,25.2628,29.5000,20.8809
3,aa9823da,1,9+15+22,ablated,1070,F,FOLD,1.2450,26.0078,29.0000,23.0014
3,aa9823da,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.1235,25.7613,28.8750,22.6265
3,aa9823da,1,22,ablated,1070,F,FOLD,1.2461,26.0089,29.0000,22.5019
3,aa9823da,1,0+1+5+13,ablated,1070,F,FOLD,-0.2465,25.1413,29.6250,21.2551
4,4fcb30df,1,,baseline,1070,F,FOLD,-4.4856,25.1394,29.6250,21.1305
4,4fcb30df,1,9+15+22,ablated,1070,F,FOLD,1.4944,26.0089,29.0000,23.5010
4,4fcb30df,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3719,25.8863,29.0000,23.1262
4,4fcb30df,1,22,ablated,1070,F,FOLD,1.4944,26.0089,29.0000,23.0014
4,4fcb30df,1,0+1+5+13,ablated,1070,F,FOLD,-0.2460,25.0184,29.7500,21.5047
5,7f799478,2,,baseline,1070,F,FOLD,-1.4936,25.5064,27.0000,22.2527
5,7f799478,2,9+15+22,ablated,1070,F,FOLD,0.1250,25.5064,26.8750,22.8776
5,7f799478,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,-0.2492,25.2572,27.0000,22.5027
5,7f799478,2,22,ablated,1070,F,FOLD,0.2487,25.6301,26.8750,22.6274
5,7f799478,2,0+1+5+13,ablated,1070,F,FOLD,-0.1223,25.5090,27.1250,22.7529
6,4863ad40,2,,baseline,1070,F,FOLD,-4.7355,24.7646,29.5000,21.3799
6,4863ad40,2,9+15+22,ablated,1070,F,FOLD,1.8667,26.0062,28.8750,23.8761
6,4863ad40,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.7434,25.7580,28.7500,23.2515
6,4863ad40,2,22,ablated,1070,F,FOLD,1.7425,25.8821,28.8750,23.3764
6,4863ad40,2,0+1+5+13,ablated,1070,F,FOLD,-0.3710,24.5185,29.6250,21.5059
7,102d86aa,2,,baseline,1070,F,FOLD,-4.9871,24.5129,29.5000,21.5044
7,102d86aa,2,9+15+22,ablated,1070,F,FOLD,2.2420,26.0049,28.7500,24.2508
7,102d86aa,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.8692,25.6321,28.7500,23.6261
7,102d86aa,2,22,ablated,1070,F,FOLD,1.9934,25.8813,28.8750,23.8760
7,102d86aa,2,0+1+5+13,ablated,1070,F,FOLD,-0.3694,24.2685,29.6250,21.6298
8,b9f907d9,1,,baseline,1070,F,FOLD,-4.2372,25.2628,29.5000,21.2542
8,b9f907d9,1,9+15+22,ablated,1070,F,FOLD,1.3701,26.0078,28.8750,23.2511
8,b9f907d9,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.2472,25.8850,28.8750,23.0012
8,b9f907d9,1,22,ablated,1070,F,FOLD,1.2461,26.0089,29.0000,22.8764
8,b9f907d9,1,0+1+5+13,ablated,1070,F,FOLD,-0.2465,25.1413,29.6250,21.5041
9,207ff361,2,,baseline,1070,F,FOLD,-4.4886,24.7614,29.2500,21.5043
9,207ff361,2,9+15+22,ablated,1070,F,FOLD,1.4941,25.7556,28.7500,24.1259
9,207ff361,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3707,25.5071,28.6250,23.3762
9,207ff361,2,22,ablated,1070,F,FOLD,1.4941,25.7556,28.7500,23.6261
9,207ff361,2,0+1+5+13,ablated,1070,F,FOLD,-0.4929,24.5186,29.5000,22.0042
10,592aa918,2,,baseline,1070,F,FOLD,-4.6064,24.5186,29.1250,21.3812
10,592aa918,2,9+15+22,ablated,1070,F,FOLD,1.6143,25.6330,28.6250,23.1266
10,592aa918,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3666,25.1352,28.3750,22.6268
10,592aa918,2,22,ablated,1070,F,FOLD,1.4904,25.5090,28.6250,22.7521
10,592aa918,2,0+1+5+13,ablated,1070,F,FOLD,-0.2476,24.3960,29.2500,21.7559
11,283a86f2,1,,baseline,1070,F,FOLD,-4.4872,25.1378,29.6250,21.3795
11,283a86f2,1,9+15+22,ablated,1070,F,FOLD,1.4951,26.0079,29.0000,23.6261
11,283a86f2,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.4972,25.8850,28.8750,23.2512
11,283a86f2,1,22,ablated,1070,F,FOLD,1.4951,26.0079,29.0000,23.2513
11,283a86f2,1,0+1+5+13,ablated,1070,F,FOLD,-0.3715,24.8913,29.7500,21.5048
12,19eacc75,1,,baseline,1070,F,FOLD,-4.2372,25.2628,29.5000,21.0053
12,19eacc75,1,9+15+22,ablated,1070,F,FOLD,1.3701,26.0078,28.8750,23.2511
12,19eacc75,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.2485,25.8863,28.8750,22.8764
12,19eacc75,1,22,ablated,1070,F,FOLD,1.3711,26.0088,28.8750,22.8764
12,19eacc75,1,0+1+5+13,ablated,1070,F,FOLD,-0.2443,25.1434,29.6250,21.3799
13,49af524b,7,,baseline,1070,F,FOLD,-4.4835,24.5165,29.0000,21.1340
13,49af524b,7,9+15+22,ablated,1070,F,FOLD,1.1215,25.1380,28.5000,22.8779
13,49af524b,7,9+15+21+22+24+30+31,ablated,1070,F,FOLD,0.8773,24.7688,28.3750,22.2544
13,49af524b,7,22,ablated,1070,F,FOLD,0.9965,25.1380,28.6250,22.3793
13,49af524b,7,0+1+5+13,ablated,1070,F,FOLD,-0.4927,24.2738,29.2500,21.5082
14,49af524b,5,,baseline,1070,F,FOLD,-5.3406,23.4094,28.7500,20.2639
14,49af524b,5,9+15+22,ablated,1070,F,FOLD,1.3676,24.4020,28.3750,21.6299
14,49af524b,5,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3751,24.1595,28.1250,21.2568
14,49af524b,5,22,ablated,1070,F,FOLD,1.1145,24.2739,28.5000,21.2568
14,49af524b,5,0+1+5+13,ablated,1070,F,FOLD,-0.2406,23.2938,28.8750,20.5146
15,9529648d,1,,baseline,1070,F,FOLD,-4.3606,25.1394,29.5000,21.1300
15,9529648d,1,9+15+22,ablated,1070,F,FOLD,1.4944,26.0089,28.8750,23.5010
15,9529648d,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3705,25.8850,28.8750,23.1261
15,9529648d,1,22,ablated,1070,F,FOLD,1.3694,26.0089,29.0000,23.0014
15,9529648d,1,0+1+5+13,ablated,1070,F,FOLD,-0.3710,25.0185,29.7500,21.5044
16,b653cfda,1,,baseline,1070,F,FOLD,-4.2373,25.2628,29.5000,21.0053
16,b653cfda,1,9+15+22,ablated,1070,F,FOLD,1.2461,26.0088,29.0000,23.1262
16,b653cfda,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.2485,25.8863,28.8750,22.7514
16,b653cfda,1,22,ablated,1070,F,FOLD,1.2461,26.0089,29.0000,22.6268
16,b653cfda,1,0+1+5+13,ablated,1070,F,FOLD,-0.2465,25.1413,29.6250,21.2554
17,5c6fc73c,2,,baseline,1070,F,FOLD,-4.8604,24.6397,29.5000,21.5051
17,5c6fc73c,2,9+15+22,ablated,1070,F,FOLD,1.9909,25.8806,28.7500,24.0009
17,5c6fc73c,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.7434,25.6330,28.7500,23.2515
17,5c6fc73c,2,22,ablated,1070,F,FOLD,1.7424,25.7571,28.8750,23.5013
17,5c6fc73c,2,0+1+5+13,ablated,1070,F,FOLD,-0.2437,24.5210,29.6250,21.8800
18,eec9c3b8,1,,baseline,1070,F,FOLD,-4.1105,25.2645,29.3750,21.2546
18,eec9c3b8,1,9+15+22,ablated,1070,F,FOLD,1.2444,25.8839,28.7500,23.3760
18,eec9c3b8,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.2455,25.8850,28.7500,23.0012
18,eec9c3b8,1,22,ablated,1070,F,FOLD,1.3694,26.0089,28.7500,23.0013
18,eec9c3b8,1,0+1+5+13,ablated,1070,F,FOLD,-0.2460,25.1435,29.5000,21.5046
19,a307dd17,2,,baseline,1070,F,FOLD,-4.6104,24.8896,29.5000,21.3795
19,a307dd17,2,9+15+22,ablated,1070,F,FOLD,1.7425,25.8821,28.7500,24.0009
19,a307dd17,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.7434,25.7580,28.6250,23.2513
19,a307dd17,2,22,ablated,1070,F,FOLD,1.7425,25.8821,28.7500,23.3762
19,a307dd17,2,0+1+5+13,ablated,1070,F,FOLD,-0.3710,24.6436,29.6250,21.6296
20,10edf7bd,2,,baseline,1070,F,FOLD,-4.5863,24.6637,29.2500,21.5076
20,10edf7bd,2,9+15+22,ablated,1070,F,FOLD,1.3602,25.5239,28.7500,23.2524
20,10edf7bd,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.2457,25.1595,28.5000,22.8785
20,10edf7bd,2,22,ablated,1070,F,FOLD,1.1132,25.4019,28.8750,22.8780
20,10edf7bd,2,0+1+5+13,ablated,1070,F,FOLD,-0.4950,24.4187,29.5000,21.8818
21,3f0b5762,1,,baseline,1070,F,FOLD,-3.6106,25.7644,29.3750,21.8788
21,3f0b5762,1,9+15+22,ablated,1070,F,FOLD,1.4944,26.5089,28.6250,23.8760
21,3f0b5762,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.4969,26.3863,28.5000,23.6261
21,3f0b5762,1,22,ablated,1070,F,FOLD,1.4944,26.5089,28.6250,23.6262
21,3f0b5762,1,0+1+5+13,ablated,1070,F,FOLD,-0.1231,25.7663,29.5000,22.2536
22,c0beff0a,1,,baseline,1070,F,FOLD,-3.4887,25.6364,29.1250,22.1282
22,c0beff0a,1,9+15+22,ablated,1070,F,FOLD,1.3706,26.3820,28.5000,24.0009
22,c0beff0a,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.1225,26.1339,28.5000,23.6261
22,c0beff0a,1,22,ablated,1070,F,FOLD,1.2465,26.2579,28.5000,23.6262
22,c0beff0a,1,0+1+5+13,ablated,1070,F,FOLD,-0.1219,25.6395,29.2500,22.5031
23,b9f907d9,2,,baseline,1070,F,FOLD,-4.9871,24.6379,29.6250,21.3800
23,b9f907d9,2,9+15+22,ablated,1070,F,FOLD,1.9934,25.8813,28.8750,24.0010
23,b9f907d9,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.7451,25.6330,28.8750,23.3764
23,b9f907d9,2,22,ablated,1070,F,FOLD,1.8683,25.8812,29.0000,23.6262
23,b9f907d9,2,0+1+5+13,ablated,1070,F,FOLD,-0.4919,24.2710,29.7500,21.6301
24,752bd82f,2,,baseline,1070,F,FOLD,-4.6104,24.6396,29.2500,21.1308
24,752bd82f,2,9+15+22,ablated,1070,F,FOLD,1.4917,25.6313,28.7500,23.5012
24,752bd82f,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.4934,25.3830,28.5000,22.7516
24,752bd82f,2,22,ablated,1070,F,FOLD,1.3684,25.5080,28.7500,23.0015
24,752bd82f,2,0+1+5+13,ablated,1070,F,FOLD,-0.4909,24.2737,29.3750,21.3812
25,b653cfda,2,,baseline,1070,F,FOLD,-4.7335,24.7665,29.5000,21.2562
25,b653cfda,2,9+15+22,ablated,1070,F,FOLD,1.8648,25.8813,28.7500,23.8760
25,b653cfda,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.7415,25.7580,28.7500,23.2515
25,b653cfda,2,22,ablated,1070,F,FOLD,1.6165,25.7580,28.8750,23.3764
25,b653cfda,2,0+1+5+13,ablated,1070,F,FOLD,-0.3705,24.6460,29.7500,21.7553
26,0556cce0,2,,baseline,1070,F,FOLD,-4.8605,24.6396,29.5000,20.8814
26,0556cce0,2,9+15+22,ablated,1070,F,FOLD,1.7434,25.7580,28.8750,23.6262
26,0556cce0,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.6206,25.5102,28.7500,23.0016
26,0556cce0,2,22,ablated,1070,F,FOLD,1.6194,25.6340,28.8750,23.1266
26,0556cce0,2,0+1+5+13,ablated,1070,F,FOLD,-0.4909,24.2737,29.6250,21.0073
27,d2b1d814,2,,baseline,1070,F,FOLD,-4.6136,24.8864,29.5000,21.5044
27,d2b1d814,2,9+15+22,ablated,1070,F,FOLD,1.9935,26.1299,28.7500,24.3758
27,d2b1d814,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.8706,25.8821,28.6250,23.6262
27,d2b1d814,2,22,ablated,1070,F,FOLD,1.8698,26.0063,28.7500,23.8760
27,d2b1d814,2,0+1+5+13,ablated,1070,F,FOLD,-0.6155,24.3960,29.6250,21.5056
28,aa9823da,2,,baseline,1070,F,FOLD,-4.7411,24.8839,29.6250,21.0057
28,aa9823da,2,9+15+22,ablated,1070,F,FOLD,1.9954,26.1294,28.8750,23.8759
28,aa9823da,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.8716,25.8806,28.7500,23.1263
28,aa9823da,2,22,ablated,1070,F,FOLD,1.9960,26.1299,28.8750,23.3762
28,aa9823da,2,0+1+5+13,ablated,1070,F,FOLD,-0.4945,24.5145,29.7500,21.1313
29,b2b2ff6a,2,,baseline,1070,F,FOLD,-4.4855,24.7646,29.2500,21.2556
29,b2b2ff6a,2,9+15+22,ablated,1070,F,FOLD,1.7417,25.8812,28.6250,23.8760
29,b2b2ff6a,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.6184,25.6330,28.5000,23.2514
29,b2b2ff6a,2,22,ablated,1070,F,FOLD,1.6175,25.7571,28.6250,23.2514
29,b2b2ff6a,2,0+1+5+13,ablated,1070,F,FOLD,-0.4909,24.5237,29.5000,21.5062
30,d966fa41,1,,baseline,1070,F,FOLD,-3.3637,25.7613,29.1250,22.0036
30,d966fa41,1,9+15+22,ablated,1070,F,FOLD,1.1215,26.3828,28.6250,24.0009
30,d966fa41,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,0.9987,26.1350,28.5000,23.6260
30,d966fa41,1,22,ablated,1070,F,FOLD,1.2465,26.3828,28.5000,23.6262
30,d966fa41,1,0+1+5+13,ablated,1070,F,FOLD,-0.1219,25.7644,29.2500,22.3782
31,38abde07,2,,baseline,1070,F,FOLD,-4.2371,24.8879,29.1250,21.6288
31,38abde07,2,9+15+22,ablated,1070,F,FOLD,1.3676,25.7556,28.6250,23.6260
31,38abde07,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.2442,25.5071,28.5000,23.0013
31,38abde07,2,22,ablated,1070,F,FOLD,1.2442,25.6321,28.6250,23.1263
31,38abde07,2,0+1+5+13,ablated,1070,F,FOLD,-0.4919,24.5210,29.2500,21.6305
32,4ed956f9,1,,baseline,1070,F,FOLD,-4.4856,25.1395,29.6250,21.1301
32,4ed956f9,1,9+15+22,ablated,1070,F,FOLD,1.4955,26.0100,29.0000,23.5010
32,4ed956f9,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.2484,25.7628,29.0000,23.1262
32,4ed956f9,1,22,ablated,1070,F,FOLD,1.3706,25.8851,29.0000,23.0014
32,4ed956f9,1,0+1+5+13,ablated,1070,F,FOLD,-0.4936,24.8959,29.8750,21.3799
33,5fd9af8f,2,,baseline,1070,F,FOLD,-4.8407,24.1593,29.0000,20.3859
33,5fd9af8f,2,9+15+22,ablated,1070,F,FOLD,1.1145,24.8988,28.6250,21.8790
33,5fd9af8f,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.1211,24.6554,28.3750,21.5056
33,5fd9af8f,2,22,ablated,1070,F,FOLD,1.1145,24.8988,28.6250,21.6298
33,5fd9af8f,2,0+1+5+13,ablated,1070,F,FOLD,-0.2456,24.0387,29.1250,20.7600
34,b3c594b5,1,,baseline,1070,F,FOLD,-3.7336,25.3914,29.1250,21.8791
34,b3c594b5,1,9+15+22,ablated,1070,F,FOLD,1.3665,26.2579,28.6250,23.8761
34,b3c594b5,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3687,26.0101,28.3750,23.6261
34,b3c594b5,1,22,ablated,1070,F,FOLD,1.3687,26.1351,28.5000,23.5014
34,b3c594b5,1,0+1+5+13,ablated,1070,F,FOLD,-0.2479,25.3935,29.3750,22.2541
35,3df32774,2,,baseline,1070,F,FOLD,-1.9936,25.3814,27.3750,21.7541
35,3df32774,2,9+15+22,ablated,1070,F,FOLD,0.1250,25.3814,27.2500,22.5036
35,3df32774,2,9+15+21+22+24+30+31,ablated,1070,F,FOLD,-0.1250,25.2564,27.3750,22.1283
35,3df32774,2,22,ablated,1070,F,FOLD,0.2493,25.5057,27.2500,22.2532
35,3df32774,2,0+1+5+13,ablated,1070,F,FOLD,-0.2461,25.2602,27.5000,22.1300
36,0306ad6b,1,,baseline,1070,F,FOLD,-4.6065,24.7685,29.3750,21.3799
36,0306ad6b,1,9+15+22,ablated,1070,F,FOLD,1.2416,25.5101,28.8750,23.5012
36,0306ad6b,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.3666,25.3851,28.6250,23.2513
36,0306ad6b,1,22,ablated,1070,F,FOLD,1.2416,25.5101,28.8750,23.1265
36,0306ad6b,1,0+1+5+13,ablated,1070,F,FOLD,-0.3726,24.6459,29.6250,21.6301
37,cbf969a4,1,,baseline,1070,F,FOLD,-4.4856,24.8895,29.3750,21.3797
37,cbf969a4,1,9+15+22,ablated,1070,F,FOLD,1.4934,25.7578,28.7500,23.3763
37,cbf969a4,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.2456,25.5100,28.7500,23.1263
37,cbf969a4,1,22,ablated,1070,F,FOLD,1.3694,25.7589,28.8750,23.1265
37,cbf969a4,1,0+1+5+13,ablated,1070,F,FOLD,-0.2481,24.7663,29.5000,21.6297
38,e450d977,1,,baseline,1070,F,FOLD,-4.1086,25.1414,29.2500,21.6303
38,e450d977,1,9+15+22,ablated,1070,F,FOLD,1.6156,26.1320,28.6250,23.7512
38,e450d977,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.4925,25.8839,28.5000,23.5012
38,e450d977,1,22,ablated,1070,F,FOLD,1.4925,26.0089,28.6250,23.3766
38,e450d977,1,0+1+5+13,ablated,1070,F,FOLD,-0.2455,25.0209,29.3750,21.8804
39,c5a6e902,1,,baseline,1070,F,FOLD,-3.9815,25.3935,29.3750,21.5045
39,c5a6e902,1,9+15+22,ablated,1070,F,FOLD,1.6178,26.3863,28.7500,23.7510
39,c5a6e902,1,9+15+21+22+24+30+31,ablated,1070,F,FOLD,1.4960,26.1395,28.6250,23.5010
39,c5a6e902,1,22,ablated,1070,F,FOLD,1.4943,26.2628,28.7500,23.3763
39,c5a6e902,1,0+1+5+13,ablated,1070,F,FOLD,-0.2476,25.3959,29.6250,21.8793
40,9529648d,2,,baseline,1070,F,FOLD,-1.8686,25.3814,27.2500,21.7550
40,9529648d,2,9+15+22,ablated,1070,F,FOLD,0.2487,25.5051,27.1250,22.6282
