target_idx,hand_id,decision_idx,head_set,mode,top1_id,top1_tok,top1_group,delta_check_minus_fold,GROUP_CHECK_CALL,GROUP_FOLD,GROUP_BET_RAISE
0,cf42b2d6,9,,baseline,34516,CHECK,CHECK_CALL,28.3750,55.7500,27.3750,29.3750
0,cf42b2d6,9,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.2500,55.7500,27.1250,28.3750
0,cf42b2d6,9,26+30,ablated,34516,CHECK,CHECK_CALL,-1.0000,55.7500,28.3750,30.6250
0,cf42b2d6,9,26,ablated,34516,CHECK,CHECK_CALL,-0.7500,55.5000,27.8750,29.8750
0,cf42b2d6,9,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.6250,55.7500,26.7500,28.8750
1,c6562698,5,,baseline,34516,CHECK,CHECK_CALL,26.8750,55.7500,28.8750,30.2500
1,c6562698,5,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.1250,55.7500,28.7500,29.3750
1,c6562698,5,26+30,ablated,34516,CHECK,CHECK_CALL,-0.7500,55.7500,29.6250,31.3750
1,c6562698,5,26,ablated,34516,CHECK,CHECK_CALL,-0.7500,55.5000,29.3750,31.0000
1,c6562698,5,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.1250,55.5000,28.5000,29.8750
2,469e2d77,4,,baseline,34516,CHECK,CHECK_CALL,23.8750,55.2500,31.3750,28.5000
2,469e2d77,4,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.1250,55.2500,31.2500,27.2500
2,469e2d77,4,26+30,ablated,34516,CHECK,CHECK_CALL,-0.6250,55.2500,32.0000,29.2500
2,469e2d77,4,26,ablated,34516,CHECK,CHECK_CALL,-0.1250,55.2500,31.5000,28.7500
2,469e2d77,4,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.6250,55.2500,30.7500,28.1250
3,707d6378,8,,baseline,34516,CHECK,CHECK_CALL,29.6250,55.7500,26.1250,29.6250
3,707d6378,8,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.1250,55.7500,26.0000,29.0000
3,707d6378,8,26+30,ablated,34516,CHECK,CHECK_CALL,-1.0000,55.5000,26.8750,31.0000
3,707d6378,8,26,ablated,34516,CHECK,CHECK_CALL,-0.6250,55.5000,26.5000,30.2500
3,707d6378,8,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.1250,55.5000,25.7500,29.2500
4,5e3fe5b6,4,,baseline,34516,CHECK,CHECK_CALL,22.2500,54.5000,32.2500,27.8750
4,5e3fe5b6,4,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.2500,54.7500,32.2500,27.6250
4,5e3fe5b6,4,26+30,ablated,34516,CHECK,CHECK_CALL,-2.0000,54.0000,33.7500,29.2500
4,5e3fe5b6,4,26,ablated,34516,CHECK,CHECK_CALL,-1.0000,54.2500,33.0000,28.7500
4,5e3fe5b6,4,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.5000,54.5000,31.7500,27.0000
5,4a5b77ce,1,,baseline,34516,CHECK,CHECK_CALL,30.7500,56.5000,25.7500,27.1250
5,4a5b77ce,1,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.0000,56.5000,25.7500,26.5000
5,4a5b77ce,1,26+30,ablated,34516,CHECK,CHECK_CALL,-1.5000,56.2500,27.0000,28.7500
5,4a5b77ce,1,26,ablated,34516,CHECK,CHECK_CALL,-0.6250,56.5000,26.3750,28.0000
5,4a5b77ce,1,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.3750,56.5000,25.3750,27.0000
6,5aea9c50,2,,baseline,34516,CHECK,CHECK_CALL,26.6250,56.5000,29.8750,34.2500
6,5aea9c50,2,26+28+30,ablated,34516,CHECK,CHECK_CALL,-0.2500,56.5000,30.1250,36.5000
6,5aea9c50,2,26+30,ablated,34516,CHECK,CHECK_CALL,-1.1250,56.2500,30.7500,38.0000
6,5aea9c50,2,26,ablated,34516,CHECK,CHECK_CALL,-1.0000,56.0000,30.3750,36.7500
6,5aea9c50,2,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,-0.2500,56.2500,29.8750,33.5000
7,06e411f7,4,,baseline,34516,CHECK,CHECK_CALL,22.2500,54.2500,32.0000,27.5000
7,06e411f7,4,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.5000,54.5000,31.7500,27.5000
7,06e411f7,4,26+30,ablated,34516,CHECK,CHECK_CALL,-2.2500,54.0000,34.0000,29.3750
7,06e411f7,4,26,ablated,34516,CHECK,CHECK_CALL,-0.7500,54.2500,32.7500,28.6250
7,06e411f7,4,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.6250,54.2500,31.3750,27.2500
8,22ae7085,2,,baseline,34516,CHECK,CHECK_CALL,19.2500,51.7500,32.5000,45.7500
8,22ae7085,2,26+28+30,ablated,34516,CHECK,CHECK_CALL,-1.2500,51.2500,33.2500,46.2500
8,22ae7085,2,26+30,ablated,34516,CHECK,CHECK_CALL,-1.7500,51.2500,33.7500,45.7500
8,22ae7085,2,26,ablated,34516,CHECK,CHECK_CALL,-1.2500,51.2500,33.2500,46.2500
8,22ae7085,2,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,-0.5000,51.0000,32.2500,46.0000
9,6feeea22,14,,baseline,34516,CHECK,CHECK_CALL,19.0000,52.2500,33.2500,27.7500
9,6feeea22,14,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.7500,52.2500,32.5000,27.1250
9,6feeea22,14,26+30,ablated,34516,CHECK,CHECK_CALL,-2.7500,51.2500,35.0000,28.2500
9,6feeea22,14,26,ablated,34516,CHECK,CHECK_CALL,-0.7500,52.0000,33.7500,28.1250
9,6feeea22,14,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.5000,52.2500,32.7500,27.6250
10,4ea6573a,2,,baseline,34516,CHECK,CHECK_CALL,29.2500,56.5000,27.2500,31.8750
10,4ea6573a,2,26+28+30,ablated,34516,CHECK,CHECK_CALL,-0.5000,56.5000,27.7500,32.7500
10,4ea6573a,2,26+30,ablated,34516,CHECK,CHECK_CALL,-1.0000,56.2500,28.0000,34.7500
10,4ea6573a,2,26,ablated,34516,CHECK,CHECK_CALL,-0.7500,56.2500,27.7500,34.0000
10,4ea6573a,2,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,-0.5000,56.0000,27.2500,31.3750
11,9725ef71,1,,baseline,34516,CHECK,CHECK_CALL,29.5000,56.2500,26.7500,27.7500
11,9725ef71,1,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.2500,56.5000,26.7500,27.2500
11,9725ef71,1,26+30,ablated,34516,CHECK,CHECK_CALL,-0.8750,56.5000,27.8750,29.5000
11,9725ef71,1,26,ablated,34516,CHECK,CHECK_CALL,-0.5000,56.2500,27.2500,28.7500
11,9725ef71,1,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.5000,56.5000,26.5000,27.3750
12,f609facc,5,,baseline,34516,CHECK,CHECK_CALL,27.0000,55.5000,28.5000,30.7500
12,f609facc,5,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.1250,55.7500,28.6250,29.8750
12,f609facc,5,26+30,ablated,34516,CHECK,CHECK_CALL,-0.7500,55.7500,29.5000,32.0000
12,f609facc,5,26,ablated,34516,CHECK,CHECK_CALL,-0.5000,55.5000,29.0000,31.5000
12,f609facc,5,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.1250,55.2500,28.1250,30.2500
13,d8ec4550,10,,baseline,34516,CHECK,CHECK_CALL,21.7500,54.5000,32.7500,31.1250
13,d8ec4550,10,26+28+30,ablated,34516,CHECK,CHECK_CALL,-0.2500,54.7500,33.2500,31.2500
13,d8ec4550,10,26+30,ablated,34516,CHECK,CHECK_CALL,-1.7500,54.2500,34.2500,33.2500
13,d8ec4550,10,26,ablated,34516,CHECK,CHECK_CALL,-1.2500,54.2500,33.7500,32.5000
13,d8ec4550,10,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.2500,54.2500,32.2500,30.8750
14,d196f8b2,1,,baseline,34516,CHECK,CHECK_CALL,24.7500,55.5000,30.7500,29.2500
14,d196f8b2,1,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.5000,55.5000,30.2500,27.2500
14,d196f8b2,1,26+30,ablated,34516,CHECK,CHECK_CALL,-1.3750,55.2500,31.8750,29.5000
14,d196f8b2,1,26,ablated,34516,CHECK,CHECK_CALL,-0.8750,55.2500,31.3750,29.7500
14,d196f8b2,1,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.6250,55.2500,29.8750,28.2500
15,53989457,1,,baseline,34516,CHECK,CHECK_CALL,24.2500,54.5000,30.2500,30.0000
15,53989457,1,26+28+30,ablated,34516,CHECK,CHECK_CALL,0.5000,54.5000,29.7500,28.1250
15,53989457,1,26+30,ablated,34516,CHECK,CHECK_CALL,-2.2500,54.0000,32.0000,30.6250
15,53989457,1,26,ablated,34516,CHECK,CHECK_CALL,-1.0000,54.2500,31.0000,30.6250
15,53989457,1,0+1+5+9,ablated,34516,CHECK,CHECK_CALL,0.5000,54.2500,29.5000,29.2500
16,480983ce,1,,baseline,34516,CHECK,CHECK_CALL,29.8750,56.5000,26.6250,27.5000
