group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,1084,0.4066680791319614,0.40317768008740235,0.4103692560271372,0.42037691042686004,0.4166426885307404,0.42441619578880085,CardOnly,-0.013708831294898638,0.16891954762487124,0.662142542029929
street=PREFLOP,PREFLOP,ALL,879,0.4093178587286726,0.4054839221834386,0.4130544082065879,0.42399493694255735,0.41992623220015596,0.42811206005078484,CardOnly,-0.014677078213884753,0.16226456023330785,0.6628044437430035
street=FLOP,FLOP,ALL,143,0.39708459576877786,0.3869640580898158,0.4078781196880819,0.4065334679589453,0.3959542415470337,0.41788019550530114,CardOnly,-0.009448872190167434,0.19436057259977219,0.6601059349269612
street=TURN,TURN,ALL,56,0.3966961141613257,0.37549463198375216,0.41931080338249915,0.4037086902554198,0.38347930933108976,0.42370206386781734,CardOnly,-0.0070125760940940585,0.19749433241478945,0.6524279453990423
street=RIVER,RIVER,ALL,6,0.33995339476223957,0.29166812522241836,0.37471538525420695,0.3758414596292754,0.31577764738284975,0.42726255937066643,CardOnly,-0.03588806486703583,0.27083278054786347,0.7043826455735318
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,838,0.4109710146418956,0.40678124946949645,0.4148637306867366,0.4119492423988819,0.40774501941623437,0.4162871546049205,CardOnly,-0.0009782277569863052,0.16531671778829862,0.6411467180425207
opp_action=PASSIVE,ALL,PASSIVE,246,0.39201011182576273,0.3849186591401523,0.39916561708089837,0.44908579582298047,0.44223067697838436,0.4560237256154916,CardOnly,-0.05707568399721774,0.18119260210880553,0.7336649017919131
PREFLOP×AGGRESSIVE,PREFLOP,AGGRESSIVE,682,0.4129184879459544,0.4086156571954476,0.41743971664972407,0.4152431802442194,0.4109039152875954,0.41978717653517966,CardOnly,-0.0023246922982649854,0.1600584825387973,0.6423348858084893
PREFLOP×PASSIVE,PREFLOP,PASSIVE,197,0.39685273626072237,0.3895867575455214,0.40406332851868276,0.4542928966799504,0.44731994732266234,0.4614090388126302,CardOnly,-0.057440160419228004,0.16990184443460846,0.7336685986228948
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,112,0.40524362361781713,0.3935209034239036,0.416415259576019,0.4011446922569209,0.3893121143457346,0.4137043584983852,StrategyAware,0.00409893136089623,0.18159763318314218,0.6382028917597682
FLOP×PASSIVE,FLOP,PASSIVE,31,0.3676068177335395,0.3453148810245672,0.3888714572929725,0.42600259307593713,0.40165493956810877,0.4503769973296276,CardOnly,-0.05839577534239765,0.24047183758888704,0.7392395102406907
TURN×AGGRESSIVE,TURN,AGGRESSIVE,42,0.40104826461464316,0.3737768562071457,0.4292563999840296,0.39293196134112035,0.36992356142715543,0.4168834599750438,StrategyAware,0.008116303273522807,0.19773691733985577,0.6277915436697766
TURN×PASSIVE,TURN,PASSIVE,14,0.38363966280137385,0.3475946972594593,0.4170763163100914,0.436038876998318,0.39775038279224795,0.4746092951056512,CardOnly,-0.052399214196944155,0.19676657763959052,0.7263371505868387
