bucket,hand_id,decision_idx,verb_abs_pos,rel_pos,abs_pos,projection,token
clean_check_or_call,7ee803c6,1,290,-200,90,7.3254,","
clean_check_or_call,7ee803c6,1,290,-100,190,9.4644,:
clean_check_or_call,7ee803c6,1,290,-50,240,27.9298,","
clean_check_or_call,7ee803c6,1,290,-20,270,12.0318, see
clean_check_or_call,7ee803c6,1,290,-10,280,19.8971, option
clean_check_or_call,7ee803c6,1,290,-5,285,-2.0659,JSON
clean_check_or_call,7ee803c6,1,290,-2,288,16.3560,action
clean_check_or_call,7ee803c6,1,290,-1,289,18.6337,""":"
clean_check_or_call,7ee803c6,1,290,0,290,25.4046," """
clean_check_or_call,7ee803c6,1,290,1,291,12.4621,CHECK
clean_check_or_call,7ee803c6,1,290,2,292,13.8902,_OR
clean_check_or_call,7ee803c6,2,305,-300,5,7.9452, a
clean_check_or_call,7ee803c6,2,305,-200,105,-9.9821, so
clean_check_or_call,7ee803c6,2,305,-100,205,0.9199, your
clean_check_or_call,7ee803c6,2,305,-50,255,20.0092, a
clean_check_or_call,7ee803c6,2,305,-20,285,17.9103, bet
clean_check_or_call,7ee803c6,2,305,-10,295,11.5216, avoids
clean_check_or_call,7ee803c6,2,305,-5,300,-2.1551,JSON
clean_check_or_call,7ee803c6,2,305,-2,303,18.2964,action
clean_check_or_call,7ee803c6,2,305,-1,304,20.4753,""":"
clean_check_or_call,7ee803c6,2,305,0,305,26.9958," """
clean_check_or_call,7ee803c6,2,305,1,306,12.7960,CHECK
clean_check_or_call,7ee803c6,2,305,2,307,13.4517,_OR
clean_check_or_call,7ee803c6,4,337,-300,37,4.2822,").
"
clean_check_or_call,7ee803c6,4,337,-200,137,7.4404,s
clean_check_or_call,7ee803c6,4,337,-100,237,1.1344," """
clean_check_or_call,7ee803c6,4,337,-50,287,11.6389, which
clean_check_or_call,7ee803c6,4,337,-20,317,11.2752, betting
clean_check_or_call,7ee803c6,4,337,-10,327,-0.8792, avoid
clean_check_or_call,7ee803c6,4,337,-5,332,-2.2291,JSON
clean_check_or_call,7ee803c6,4,337,-2,335,16.6145,action
clean_check_or_call,7ee803c6,4,337,-1,336,18.4805,""":"
clean_check_or_call,7ee803c6,4,337,0,337,21.7368," """
clean_check_or_call,7ee803c6,4,337,1,338,12.1306,CHECK
clean_check_or_call,7ee803c6,4,337,2,339,10.2739,_OR
clean_check_or_call,7ee803c6,5,336,-300,36,12.6532, sentences
clean_check_or_call,7ee803c6,5,336,-200,136,6.1388,7
clean_check_or_call,7ee803c6,5,336,-100,236,-0.1210,<|im_end|>
clean_check_or_call,7ee803c6,5,336,-50,286,9.1820,","
clean_check_or_call,7ee803c6,5,336,-20,316,7.2299, of
clean_check_or_call,7ee803c6,5,336,-10,326,22.8358, to
clean_check_or_call,7ee803c6,5,336,-5,331,-2.1497,JSON
