hand_id,decision_idx,street,player_to_act,pot,bet_to_call,pot_odds,equity_truth,agent_action,legal_actions,threshold_call,equity_threshold_correct,ev_truth_chosen,ev_truth_best,ev_truth_best_action,ev_truth_optimal,ev_truth_regret,ev_oracle_chosen,ev_oracle_best,ev_oracle_best_action,ev_oracle_optimal,ev_oracle_regret,ev_belief_chosen,ev_belief_best,ev_belief_best_action,ev_belief_optimal,ev_belief_regret
7257f5b4,0,PREFLOP,1,3,1,0.25,0.3446,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,0.2,0.2,BET_OR_RAISE,True,0.0,0.0643,0.2225,CHECK_OR_CALL,False,0.1582,,,,False,
7257f5b4,1,PREFLOP,0,6,2,0.25,0.6528,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,3.0,6.0,BET_OR_RAISE,False,3.0,3.0266,3.1532,BET_OR_RAISE,False,0.1267,,,,False,
7257f5b4,2,FLOP,0,8,0,0.0,0.609596,CHECK_OR_CALL,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,6.4,6.4,CHECK_OR_CALL,True,0.0,8.3959,9.5135,BET_OR_RAISE,False,1.1176,,,,False,
7257f5b4,3,FLOP,1,8,0,0.0,0.390404,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,3.4,3.5333,CHECK_OR_CALL,False,0.1333,6.8016,6.8016,BET_OR_RAISE,True,0.0,,,,False,
7257f5b4,4,FLOP,0,10,2,0.166667,0.609596,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,5.0,6.4667,BET_OR_RAISE,False,1.4667,8.3018,10.5138,BET_OR_RAISE,False,2.212,,,,False,
7257f5b4,5,TURN,0,12,0,0.0,0.125,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-1.8667,-1.1333,CHECK_OR_CALL,False,0.7333,13.842,13.842,BET_OR_RAISE,True,0.0,,,,False,
7257f5b4,6,TURN,1,16,4,0.2,0.875,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,19.5333,19.5333,BET_OR_RAISE,True,0.0,22.2652,22.2652,BET_OR_RAISE,True,0.0,,,,False,
7257f5b4,7,TURN,0,24,4,0.142857,0.125,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",FOLD,False,0.0667,0.0667,CHECK_OR_CALL,True,0.0,12.8564,14.0994,BET_OR_RAISE,False,1.243,,,,False,
7257f5b4,8,RIVER,0,28,0,0.0,0.0,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-4.8,-2.4,CHECK_OR_CALL,False,2.4,31.5539,31.5539,BET_OR_RAISE,True,0.0,,,,False,
7257f5b4,9,RIVER,1,32,4,0.111111,1.0,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,38.6667,38.6667,BET_OR_RAISE,True,0.0,38.3622,38.3622,BET_OR_RAISE,True,0.0,,,,False,
7257f5b4,10,RIVER,0,40,4,0.090909,0.0,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",FOLD,True,0.0,0.0,FOLD,True,0.0,0.0,24.0474,BET_OR_RAISE,False,24.0474,,,,False,
a9fc4edb,0,PREFLOP,1,3,1,0.25,0.4729,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,1.7333,1.7333,BET_OR_RAISE,True,0.0,1.3992,1.3992,BET_OR_RAISE,True,0.0,,,,False,
a9fc4edb,1,PREFLOP,0,6,2,0.25,0.5294,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,2.6667,2.6667,CHECK_OR_CALL,True,0.0,2.4929,2.4929,CHECK_OR_CALL,True,0.0,,,,False,
a9fc4edb,2,FLOP,0,8,0,0.0,0.386869,CHECK_OR_CALL,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,3.3333,3.6667,BET_OR_RAISE,False,0.3333,3.4236,3.5213,BET_OR_RAISE,False,0.0977,,,,False,
