hand_id,decision_idx,street,player_to_act,pot,bet_to_call,pot_odds,equity_truth,agent_action,legal_actions,threshold_call,equity_threshold_correct,ev_truth_chosen,ev_truth_best,ev_truth_best_action,ev_truth_optimal,ev_truth_regret,ev_oracle_chosen,ev_oracle_best,ev_oracle_best_action,ev_oracle_optimal,ev_oracle_regret,ev_belief_chosen,ev_belief_best,ev_belief_best_action,ev_belief_optimal,ev_belief_regret
f5cbf53f,0,PREFLOP,1,3,1,0.25,0.2618,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-0.1333,0.0,FOLD,False,0.1333,2.2681,2.2681,BET_OR_RAISE,True,0.0,,,,False,
f5cbf53f,1,PREFLOP,0,6,2,0.25,0.7492,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,7.6,BET_OR_RAISE,False,7.6,0.0,3.3988,CHECK_OR_CALL,False,3.3988,,,,False,
ca52a7f9,0,PREFLOP,1,3,1,0.25,0.3455,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-1.6,0.8,CHECK_OR_CALL,False,2.4,-0.4464,0.0,FOLD,False,0.4464,,,,False,
ca52a7f9,1,PREFLOP,0,6,2,0.25,0.633,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,4.0,CHECK_OR_CALL,False,4.0,0.0,1.3957,CHECK_OR_CALL,False,1.3957,,,,False,
19bf2100,0,PREFLOP,1,3,1,0.25,0.1458,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",FOLD,,-1.6,0.0,FOLD,False,1.6,1.559,1.7834,CHECK_OR_CALL,False,0.2244,,,,False,
19bf2100,1,PREFLOP,0,6,2,0.25,0.8474,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,6.7333,CHECK_OR_CALL,False,6.7333,0.0,7.6473,BET_OR_RAISE,False,7.6473,,,,False,
daf9e400,0,PREFLOP,1,3,1,0.25,0.6429,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,4.0667,4.0667,BET_OR_RAISE,True,0.0,2.0358,2.0358,BET_OR_RAISE,True,0.0,,,,False,
daf9e400,1,PREFLOP,0,6,2,0.25,0.3555,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,0.0,FOLD,True,0.0,0.0,2.3215,CHECK_OR_CALL,False,2.3215,,,,False,
292ff518,0,PREFLOP,1,3,1,0.25,0.3422,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-0.5333,0.8,CHECK_OR_CALL,False,1.3333,1.1891,1.3569,CHECK_OR_CALL,False,0.1677,,,,False,
292ff518,1,PREFLOP,0,6,2,0.25,0.6603,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,4.4667,CHECK_OR_CALL,False,4.4667,0.0,4.0117,BET_OR_RAISE,False,4.0117,,,,False,
468c77aa,0,PREFLOP,1,3,1,0.25,0.4156,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-2.0667,1.2,CHECK_OR_CALL,False,3.2667,-0.6511,0.0,FOLD,False,0.6511,,,,False,
468c77aa,1,PREFLOP,0,6,2,0.25,0.5865,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,3.8,BET_OR_RAISE,False,3.8,0.0,1.0558,CHECK_OR_CALL,False,1.0558,,,,False,
587e5267,0,PREFLOP,1,3,1,0.25,0.5852,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,3.7333,3.7333,BET_OR_RAISE,True,0.0,0.3196,0.4151,CHECK_OR_CALL,False,0.0955,,,,False,
587e5267,1,PREFLOP,0,6,2,0.25,0.4172,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,3.4667,CHECK_OR_CALL,False,3.4667,0.0,2.5223,BET_OR_RAISE,False,2.5223,,,,False,
eeebb187,0,PREFLOP,1,3,1,0.25,0.3553,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-0.6,0.6,CHECK_OR_CALL,False,1.2,0.6716,1.0503,CHECK_OR_CALL,False,0.3787,,,,False,
eeebb187,1,PREFLOP,0,6,2,0.25,0.6436,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,5.6,BET_OR_RAISE,False,5.6,0.0,2.8449,BET_OR_RAISE,False,2.8449,,,,False,
2b099654,0,PREFLOP,1,3,1,0.25,0.3598,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-0.9333,0.0,FOLD,False,0.9333,0.6174,0.6174,BET_OR_RAISE,True,0.0,,,,False,
2b099654,1,PREFLOP,0,6,2,0.25,0.6395,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,4.6,BET_OR_RAISE,False,4.6,0.0,1.5075,BET_OR_RAISE,False,1.5075,,,,False,
e3f66c78,0,PREFLOP,1,3,1,0.25,0.291,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-1.6667,0.4,CHECK_OR_CALL,False,2.0667,0.6181,0.6181,BET_OR_RAISE,True,0.0,,,,False,
e3f66c78,1,PREFLOP,0,6,2,0.25,0.7127,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,4.6667,CHECK_OR_CALL,False,4.6667,0.0,3.1264,BET_OR_RAISE,False,3.1264,,,,False,
d15be38e,0,PREFLOP,1,3,1,0.25,0.4198,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,1.6,1.6,BET_OR_RAISE,True,0.0,0.5681,0.5681,BET_OR_RAISE,True,0.0,,,,False,
d15be38e,1,PREFLOP,0,6,2,0.25,0.5731,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,4.4667,CHECK_OR_CALL,False,4.4667,0.0,3.0837,BET_OR_RAISE,False,3.0837,,,,False,
5f9b1857,0,PREFLOP,1,3,1,0.25,0.3766,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,0.6,0.6,BET_OR_RAISE,True,0.0,-0.2881,0.5916,CHECK_OR_CALL,False,0.8796,,,,False,
5f9b1857,1,PREFLOP,0,6,2,0.25,0.6215,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,5.9333,BET_OR_RAISE,False,5.9333,0.0,3.5015,CHECK_OR_CALL,False,3.5015,,,,False,
