hand_id,decision_idx,street,player_to_act,pot,bet_to_call,pot_odds,equity_truth,agent_action,legal_actions,threshold_call,equity_threshold_correct,ev_truth_chosen,ev_truth_best,ev_truth_best_action,ev_truth_optimal,ev_truth_regret,ev_oracle_chosen,ev_oracle_best,ev_oracle_best_action,ev_oracle_optimal,ev_oracle_regret,ev_belief_chosen,ev_belief_best,ev_belief_best_action,ev_belief_optimal,ev_belief_regret
36fb8b8d,0,PREFLOP,1,3,1,0.25,0.2618,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-0.1333,0.0,FOLD,False,0.1333,1.2899,1.8941,CHECK_OR_CALL,False,0.6042,,,,False,
36fb8b8d,1,PREFLOP,0,6,2,0.25,0.7492,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,7.6,7.6,BET_OR_RAISE,True,0.0,4.3518,4.3518,BET_OR_RAISE,True,0.0,,,,False,
36fb8b8d,2,PREFLOP,1,10,2,0.166667,0.259,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,0.2667,0.8,CHECK_OR_CALL,False,0.5333,5.4601,6.1415,CHECK_OR_CALL,False,0.6814,,,,False,
36fb8b8d,3,PREFLOP,0,14,2,0.125,0.7381,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,15.2,15.2,BET_OR_RAISE,True,0.0,8.8691,10.2432,CHECK_OR_CALL,False,1.3741,,,,False,
36fb8b8d,4,PREFLOP,1,18,2,0.1,0.2541,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL",CHECK_OR_CALL,True,0.8,0.8,CHECK_OR_CALL,True,0.0,10.4114,10.4114,CHECK_OR_CALL,True,0.0,,,,False,
36fb8b8d,5,FLOP,0,20,0,0.0,0.59596,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,13.0667,13.0667,BET_OR_RAISE,True,0.0,10.1853,13.0573,CHECK_OR_CALL,False,2.872,,,,False,
36fb8b8d,6,FLOP,1,22,2,0.083333,0.40404,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,5.6667,10.4,CHECK_OR_CALL,False,4.7333,10.6342,11.0051,CHECK_OR_CALL,False,0.3709,,,,False,
36fb8b8d,7,FLOP,0,26,2,0.071429,0.59596,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,14.8667,14.8667,BET_OR_RAISE,True,0.0,4.2351,5.2003,CHECK_OR_CALL,False,0.9651,,,,False,
36fb8b8d,8,FLOP,1,30,2,0.0625,0.40404,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,15.2,15.2,BET_OR_RAISE,True,0.0,16.6135,18.6215,CHECK_OR_CALL,False,2.008,,,,False,
36fb8b8d,9,FLOP,0,34,2,0.055556,0.59596,FOLD,"FOLD,CHECK_OR_CALL",CHECK_OR_CALL,False,0.0,20.3333,CHECK_OR_CALL,False,20.3333,0.0,19.2923,CHECK_OR_CALL,False,19.2923,,,,False,
