hand_id,decision_idx,street,player_to_act,pot,bet_to_call,pot_odds,equity_truth,agent_action,legal_actions,threshold_call,equity_threshold_correct,ev_truth_chosen,ev_truth_best,ev_truth_best_action,ev_truth_optimal,ev_truth_regret,ev_oracle_chosen,ev_oracle_best,ev_oracle_best_action,ev_oracle_optimal,ev_oracle_regret,ev_belief_chosen,ev_belief_best,ev_belief_best_action,ev_belief_optimal,ev_belief_regret
012f57ab,0,PREFLOP,1,3,1,0.25,0.3446,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,0.2,0.2,BET_OR_RAISE,True,0.0,1.319,1.319,BET_OR_RAISE,True,0.0,,,,False,
012f57ab,1,PREFLOP,0,6,2,0.25,0.6528,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,6.0,6.0,BET_OR_RAISE,True,0.0,4.1995,4.1995,BET_OR_RAISE,True,0.0,,,,False,
012f57ab,2,PREFLOP,1,10,2,0.166667,0.3305,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,2.1333,2.2,CHECK_OR_CALL,False,0.0667,3.3674,3.3674,BET_OR_RAISE,True,0.0,,,,False,
012f57ab,3,PREFLOP,0,14,2,0.125,0.6495,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,9.0,11.2667,CHECK_OR_CALL,False,2.2667,7.2973,8.7284,CHECK_OR_CALL,False,1.4311,,,,False,
012f57ab,4,PREFLOP,1,18,2,0.1,0.3444,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL",CHECK_OR_CALL,True,7.1333,7.1333,CHECK_OR_CALL,True,0.0,9.3595,9.3595,CHECK_OR_CALL,True,0.0,,,,False,
012f57ab,5,FLOP,0,20,0,0.0,0.609596,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,16.3333,16.3333,BET_OR_RAISE,True,0.0,18.7692,18.7692,BET_OR_RAISE,True,0.0,,,,False,
012f57ab,6,FLOP,1,22,2,0.083333,0.390404,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,9.6667,9.6667,BET_OR_RAISE,True,0.0,14.0672,14.0672,BET_OR_RAISE,True,0.0,,,,False,
012f57ab,7,FLOP,0,26,2,0.071429,0.609596,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,16.6667,16.6667,BET_OR_RAISE,True,0.0,19.2387,21.0804,CHECK_OR_CALL,False,1.8417,,,,False,
012f57ab,8,FLOP,1,30,2,0.0625,0.390404,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,12.4667,13.8,CHECK_OR_CALL,False,1.3333,18.9678,19.5375,CHECK_OR_CALL,False,0.5697,,,,False,
012f57ab,9,FLOP,0,34,2,0.055556,0.609596,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL",CHECK_OR_CALL,True,19.8,19.8,CHECK_OR_CALL,True,0.0,31.8167,31.8167,CHECK_OR_CALL,True,0.0,,,,False,
