hand_id,decision_idx,street,player_to_act,pot,bet_to_call,pot_odds,equity_truth,agent_action,legal_actions,threshold_call,equity_threshold_correct,ev_truth_chosen,ev_truth_best,ev_truth_best_action,ev_truth_optimal,ev_truth_regret,ev_oracle_chosen,ev_oracle_best,ev_oracle_best_action,ev_oracle_optimal,ev_oracle_regret,ev_belief_chosen,ev_belief_best,ev_belief_best_action,ev_belief_optimal,ev_belief_regret
476fb186,0,PREFLOP,1,3,1,0.25,0.2618,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-0.1333,0.0,FOLD,False,0.1333,2.1347,2.1347,BET_OR_RAISE,True,0.0,,,,False,
476fb186,1,PREFLOP,0,6,2,0.25,0.7492,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,2.9333,7.6,BET_OR_RAISE,False,4.6667,3.6498,3.6498,CHECK_OR_CALL,True,0.0,,,,False,
476fb186,2,FLOP,0,8,0,0.0,0.59596,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,1.2,3.9333,CHECK_OR_CALL,False,2.7333,1.891,2.6142,CHECK_OR_CALL,False,0.7232,,,,False,
476fb186,3,FLOP,1,10,2,0.166667,0.40404,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,1.2667,3.8667,CHECK_OR_CALL,False,2.6,8.621,8.621,BET_OR_RAISE,True,0.0,,,,False,
476fb186,4,FLOP,0,14,2,0.125,0.59596,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,10.4,CHECK_OR_CALL,False,10.4,0.0,9.3797,BET_OR_RAISE,False,9.3797,,,,False,
aa6ca082,0,PREFLOP,1,3,1,0.25,0.3455,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-1.4667,0.5333,CHECK_OR_CALL,False,2.0,-0.4762,0.0,FOLD,False,0.4762,,,,False,
aa6ca082,1,PREFLOP,0,6,2,0.25,0.633,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,3.7333,4.0667,BET_OR_RAISE,False,0.3333,2.4303,2.4303,CHECK_OR_CALL,True,0.0,,,,False,
aa6ca082,2,FLOP,0,8,0,0.0,0.768182,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,8.4667,8.4667,BET_OR_RAISE,True,0.0,-1.2125,0.3459,CHECK_OR_CALL,False,1.5584,,,,False,
aa6ca082,3,FLOP,1,10,2,0.166667,0.231818,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-2.2,0.0,FOLD,False,2.2,-1.4196,0.0,FOLD,False,1.4196,,,,False,
aa6ca082,4,FLOP,0,14,2,0.125,0.768182,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,9.8667,CHECK_OR_CALL,False,9.8667,0.0,4.1689,CHECK_OR_CALL,False,4.1689,,,,False,
a1ca5eab,0,PREFLOP,1,3,1,0.25,0.1458,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",FOLD,,-2.6,0.0,FOLD,False,2.6,2.5091,2.5091,BET_OR_RAISE,True,0.0,,,,False,
a1ca5eab,1,PREFLOP,0,6,2,0.25,0.8474,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,7.1333,7.1333,CHECK_OR_CALL,True,0.0,6.1716,7.4135,BET_OR_RAISE,False,1.2419,,,,False,
