file,hand_id,decision_idx,street,opp_action,pot_bucket,pot_total,js_cardonly,js_strategyaware,js_oracles,llm_trash,oracle_trash,llm_strong,oracle_strong,belief_sum_raw
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,24ccb04b,1,PREFLOP,AGGRESSIVE,small,6,0.37073391012528695,0.387946294974283,0.026469930799769243,1.0,0.6277114786687912,0.0,0.05595388895286481,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,24ccb04b,3,PREFLOP,AGGRESSIVE,medium,14,0.37073391012528695,0.405611753977228,0.052990997616149595,1.0,0.5987278457147401,0.0,0.06544563959155716,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,24ccb04b,5,FLOP,PASSIVE,medium,20,0.3710843737987794,0.3554215900062776,0.02693900499457816,1.0,0.6798024282950689,0.0,0.042510988971759346,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,24ccb04b,7,FLOP,AGGRESSIVE,medium,26,0.3710843737987794,0.36551054942509725,0.019487442937738377,1.0,0.6638465050278904,0.0,0.04757232698566852,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,24ccb04b,9,FLOP,AGGRESSIVE,large,34,0.3710843737987794,0.37528227869709657,0.028541565810040873,1.0,0.6482117659624277,0.0,0.052607102230387,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,24ccb04b,10,TURN,AGGRESSIVE,large,36,0.3722134094711194,0.3769141205165933,0.02827305728084752,1.0,0.6455846555051153,0.0,0.055468561911915806,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,24ccb04b,12,TURN,AGGRESSIVE,large,48,0.3722134094711194,0.386821422652948,0.043813798057020716,1.0,0.6295424788642277,0.0,0.06077482675237037,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,24ccb04b,14,RIVER,PASSIVE,large,60,0.3707055767577857,0.3516292028252921,0.032133963587398624,1.0,0.6857476638030654,0.0,0.042291650038589784,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,6ee760f2,1,PREFLOP,AGGRESSIVE,small,6,0.37022377344268287,0.38773170337857205,0.026574618036470054,1.0,0.6280609227724199,0.0,0.07106047623070531,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,6ee760f2,2,FLOP,AGGRESSIVE,small,8,0.36586980259683544,0.3831415200647858,0.02661574913243347,1.0,0.6355190770137223,0.0,0.06653832188050242,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,6ee760f2,4,FLOP,AGGRESSIVE,medium,14,0.36586980259683544,0.3960305298203901,0.04773111784020453,1.0,0.6144990714032583,0.0,0.0738353910583496,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,6ee760f2,5,TURN,AGGRESSIVE,medium,16,0.3655598124867126,0.3961496625850584,0.04852775649495506,1.0,0.614303693198468,0.0,0.07744517058152076,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,6ee760f2,7,RIVER,PASSIVE,medium,24,0.3656426049014522,0.35267572732091146,0.026551550535992972,1.0,0.6841100233747122,0.0,0.0498444749290486,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,6ee760f2,9,RIVER,AGGRESSIVE,medium,28,0.3656426049014522,0.36019282236899935,0.035432554652615425,1.0,0.6722813051950366,0.0,0.0568665055053712,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,8abaf450,1,PREFLOP,AGGRESSIVE,small,6,0.3671568087686602,0.3839838576876354,0.026001682056184885,1.0,0.6341528497095094,0.0,0.04735163195750009,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,8abaf450,3,PREFLOP,AGGRESSIVE,medium,14,0.3671568087686602,0.4012247115693149,0.0520216494723679,1.0,0.605963402651765,0.0,0.05547392778004175,1.0
scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,8abaf450,5,FLOP,PASSIVE,medium,20,0.360038396274436,0.3457162398374175,0.02553893646722889,1.0,0.6949568077752292,0.0,0.0313488016269117,1.0
