group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,7073,0.3729204109628224,0.37252845097761245,0.3732990237462204,0.3691020217508412,0.3670634593652018,0.3713289146003303,StrategyAware,0.003818389211981188,0.9952602024724255,0.6572490615656215
street=PREFLOP,PREFLOP,ALL,1712,0.37300668986614105,0.37218123043860135,0.3739308738007531,0.37168407945140647,0.36967959024853364,0.3735144425823454,StrategyAware,0.0013226104147345819,0.9842087334604617,0.6538807263002984
street=FLOP,FLOP,ALL,2775,0.37294793316165065,0.37253440674535293,0.37335787859612246,0.36565067118263195,0.36353162488568286,0.3677548496785416,StrategyAware,0.007297261979018699,0.9976612830281643,0.6626764782316436
street=TURN,TURN,ALL,1715,0.3729645324076744,0.372417797332176,0.3734825294318094,0.3727674000961166,0.36974774708823477,0.3758133812092374,StrategyAware,0.00019713231155782385,1.0,0.6508921491568819
street=RIVER,RIVER,ALL,871,0.3725762641635676,0.3719389561828195,0.3731857458838845,0.36780568556400495,0.36431698765213016,0.37125987813197514,StrategyAware,0.004770578599562647,1.0,0.659094771677
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,5800,0.3729143568094529,0.3724915353582096,0.3733713657443533,0.37655693989826544,0.37429495881721,0.3787319016153639,CardOnly,-0.0036425830888125454,0.995340856368686,0.6452185192782789
opp_action=PASSIVE,ALL,PASSIVE,1273,0.372947994693807,0.37238529477189797,0.37353317402987124,0.3351361731608486,0.33356127494797505,0.3368148934346328,StrategyAware,0.03781182153295842,0.9948927298893069,0.7120622157420458
PREFLOP×AGGRESSIVE,PREFLOP,AGGRESSIVE,1306,0.37255668925477076,0.371366466808478,0.37366507181882086,0.3847874796370057,0.38311748758390696,0.3863925469418256,CardOnly,-0.012230790382234957,0.983518281388847,0.6320939323063287
PREFLOP×PASSIVE,PREFLOP,PASSIVE,406,0.37445422877857837,0.37343508607705217,0.3756053368714947,0.3295337330415723,0.327548099148253,0.33200744199520915,StrategyAware,0.04492049573700607,0.9864297443115178,0.7239633690493735
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,2188,0.373061927417098,0.37264024792543843,0.3735067098205674,0.37554313264644823,0.3735545967713715,0.3774008149377063,CardOnly,-0.0024812052293502473,0.997487244718713,0.6472549522852236
FLOP×PASSIVE,FLOP,PASSIVE,587,0.3725230278278883,0.3717916851888173,0.3732125470648501,0.3287772373106898,0.3266596436389616,0.33071241489352105,StrategyAware,0.04374579051719851,0.998309998225914,0.7201590996469196
TURN×AGGRESSIVE,TURN,AGGRESSIVE,1648,0.3729683273989951,0.3724190073103837,0.373454372587642,0.3733282671760778,0.3702345601533555,0.37640122512937774,CardOnly,-0.0003599397770827073,1.0,0.6499527491896383
TURN×PASSIVE,TURN,PASSIVE,67,0.37287118694951754,0.37104056900304877,0.3747635495554212,0.35897174415916067,0.3554925239101512,0.36241061771204836,StrategyAware,0.013899442790356875,1.0,0.6739985841720683
RIVER×AGGRESSIVE,RIVER,AGGRESSIVE,658,0.3729983777901854,0.3722963716002235,0.3737277490667376,0.37167848703253054,0.36701016875855813,0.3763203871343459,StrategyAware,0.0013198907576548735,1.0,0.652639468020302
RIVER×PASSIVE,RIVER,PASSIVE,213,0.3712722699555184,0.37042725864718545,0.3721080763265838,0.355841819994569,0.3545151935749553,0.3571620744752554,StrategyAware,0.015430449960949388,1.0,0.6790365078559072
