group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,2075,0.3730073834346081,0.37255128201948945,0.37342493804382515,0.37841459003915706,0.37579842862225027,0.38107193957634217,CardOnly,-0.005407206604548964,1.0,0.64224981364031
street=PREFLOP,PREFLOP,ALL,665,0.3728581985490211,0.3725777783744138,0.3731629684407545,0.3707755832995523,0.3683950373665017,0.37343314635603053,StrategyAware,0.002082615249468789,1.0,0.6545572288818692
street=FLOP,FLOP,ALL,1166,0.37314156329209724,0.37260200064311794,0.37369635597221784,0.37813844642572597,0.37561543996456326,0.38058480069131856,CardOnly,-0.004996883133628727,1.0,0.6427051227872953
street=TURN,TURN,ALL,232,0.3727389865857199,0.37131717359190314,0.3740560956253583,0.40075069060600815,0.394936935872668,0.4061913544519219,CardOnly,-0.02801170402028824,1.0,0.6062437790513948
street=RIVER,RIVER,ALL,12,0.37342590877003645,0.3696443314416323,0.3767851710709969,0.3967435570048488,0.36255154851911237,0.42904757920434067,CardOnly,-0.02331764823481236,1.0,0.6120896822741952
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,1660,0.3729063339075803,0.37243541334255104,0.373388337876706,0.39061057722824594,0.3889314482109316,0.3920428344192357,CardOnly,-0.017704243320665614,1.0,0.6229404907928747
opp_action=PASSIVE,ALL,PASSIVE,415,0.37341158154271914,0.3727750286841654,0.3741542950665979,0.3296306412828016,0.3286111229809181,0.33073308367266613,StrategyAware,0.04378094025991752,1.0,0.7194871050300512
PREFLOP×AGGRESSIVE,PREFLOP,AGGRESSIVE,465,0.3727324515175541,0.3723949050076465,0.3730885038963064,0.38970816364082966,0.38858224856644985,0.3907458498851693,CardOnly,-0.016975712123275588,1.0,0.6247160808826467
PREFLOP×PASSIVE,PREFLOP,PASSIVE,200,0.3731505603971817,0.37265126664073134,0.37365975327999934,0.32675733400608237,0.3263567990258866,0.32713101724885757,StrategyAware,0.04639322639109933,1.0,0.7239378979800614
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,987,0.37306764605223547,0.3725124662566926,0.3736016139758129,0.3874035242746686,0.38568532426576835,0.38911331932575416,CardOnly,-0.014335878222433152,1.0,0.6280583722320162
FLOP×PASSIVE,FLOP,PASSIVE,179,0.37354914047502197,0.37250063972532893,0.37451182683758544,0.32705111772792506,0.3262094424722153,0.327819693329204,StrategyAware,0.04649802274709691,1.0,0.7234668143965717
TURN×AGGRESSIVE,TURN,AGGRESSIVE,198,0.37252671612618254,0.37128106906650415,0.37375526797714664,0.4078299275463699,0.40283163462102023,0.41244651093286006,CardOnly,-0.03530321142018733,1.0,0.5947386441168383
TURN×PASSIVE,TURN,PASSIVE,34,0.3739751498500846,0.3715155842433396,0.3761451039985913,0.3595245460709595,0.35607441569074527,0.3627277689165706,StrategyAware,0.014450603779125104,1.0,0.6732442707291062
RIVER×AGGRESSIVE,RIVER,AGGRESSIVE,10,0.3725867884380157,0.36915078148071756,0.3763670013914252,0.40816579926232066,0.3776908538253071,0.4339188379538278,CardOnly,-0.03557901082430498,1.0,0.5936372177607321
