hand_id,source,prev_decision_idx,curr_decision_idx,prev_street,curr_street,update_type,llm_magnitude,oracle_magnitude,correlation,direction_agreement,magnitude_ratio
24ccb04b,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.030704795970913964,,0.0,0.0
24ccb04b,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,3,5,PREFLOP,FLOP,CARD_REVEAL,0.0,0.08679708349968113,,0.07142857142857142,0.0
24ccb04b,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,5,7,FLOP,FLOP,ACTION,0.0,0.018063237341145472,,0.14285714285714285,0.0
24ccb04b,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,7,9,FLOP,FLOP,ACTION,0.0,0.017481610590076146,,0.14285714285714285,0.0
24ccb04b,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,9,10,FLOP,TURN,CARD_REVEAL,0.0,0.006461064822455693,,0.6428571428571429,0.0
24ccb04b,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,10,12,TURN,TURN,ACTION,0.0,0.017739926092875873,,0.07142857142857142,0.0
24ccb04b,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,12,14,TURN,RIVER,CARD_REVEAL,0.0,0.06110730736801608,,0.07142857142857142,0.0
6ee760f2,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.0,0.01500650628227634,,0.21428571428571427,0.0
6ee760f2,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.0,0.022784889680443083,,0.14285714285714285,0.0
6ee760f2,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,4,5,FLOP,TURN,CARD_REVEAL,0.0,0.006965908431475449,,0.5,0.0
6ee760f2,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,5,7,TURN,RIVER,CARD_REVEAL,0.0,0.07578834729040945,,0.07142857142857142,0.0
6ee760f2,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,7,9,RIVER,RIVER,ACTION,0.0,0.020236837767202705,,0.07142857142857142,0.0
8abaf450,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.02996268354455965,,0.0,0.0
8abaf450,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,3,5,PREFLOP,FLOP,CARD_REVEAL,0.0,0.09458140921844299,,0.0,0.0
8abaf450,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,5,7,FLOP,FLOP,ACTION,0.0,0.020973805993951277,,0.21428571428571427,0.0
8abaf450,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,7,9,FLOP,FLOP,ACTION,0.0,0.02030832061608905,,0.21428571428571427,0.0
8abaf450,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,9,10,FLOP,TURN,CARD_REVEAL,0.0,0.00675021902969476,,0.5,0.0
8abaf450,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,10,12,TURN,TURN,ACTION,0.0,0.016447966073683696,,0.35714285714285715,0.0
8abaf450,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,12,14,TURN,RIVER,CARD_REVEAL,0.0,0.05454359807677887,,0.07142857142857142,0.0
0672b43e,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.0,0.014030693337935505,,0.21428571428571427,0.0
0672b43e,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.0,0.024040728749567065,,0.14285714285714285,0.0
0672b43e,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,4,5,FLOP,TURN,CARD_REVEAL,0.0,0.005565743307723214,,0.42857142857142855,0.0
0672b43e,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,5,7,TURN,RIVER,CARD_REVEAL,0.0,0.06628622460295075,,0.0,0.0
0672b43e,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,7,9,RIVER,RIVER,ACTION,0.0,0.01841613356187647,,0.14285714285714285,0.0
f6d08bd3,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.030362352454253054,,0.0,0.0
f6d08bd3,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,3,5,PREFLOP,FLOP,CARD_REVEAL,0.0,0.0860789287752539,,0.07142857142857142,0.0
f6d08bd3,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,5,7,FLOP,FLOP,ACTION,0.0,0.018382991486583195,,0.07142857142857142,0.0
f6d08bd3,scaled_llama8b_t02_s123_informative_v2_enriched.jsonl,7,9,FLOP,FLOP,ACTION,0.0,0.017717688923843088,,0.07142857142857142,0.0
