group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,2028,0.43867484672177165,0.4337257698087936,0.44348702666889456,0.4467644846197628,0.4418094031431779,0.45187640056039896,CardOnly,-0.008089637897991164,0.6814686421969386,0.6561415441040627
street=PREFLOP,PREFLOP,ALL,665,0.46128661202461696,0.45247334801133615,0.46952079542986325,0.47435190359113005,0.46559220746043034,0.48437325218261534,CardOnly,-0.013065291566513093,0.567400582262162,0.6606291659935727
street=FLOP,FLOP,ALL,817,0.4414190092338545,0.4335782679026536,0.44908145288408224,0.4518421414394966,0.4448335805956001,0.45950794067036693,CardOnly,-0.01042313220564206,0.673671364884112,0.6519451098453625
street=TURN,TURN,ALL,284,0.414608530825365,0.40347596232237326,0.4271199633893372,0.4234610625685789,0.4122781068949743,0.4348130585854247,CardOnly,-0.008852531743213932,0.8115200548547851,0.6310666082167884
street=RIVER,RIVER,ALL,262,0.39881236204931225,0.390122782281419,0.4083784090759756,0.38616941830241336,0.3732396375714515,0.39903783690491473,StrategyAware,0.012642943746898894,0.8543351850457073,0.6850174983972676
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,1577,0.4290040964535856,0.4236569638897656,0.434794303960598,0.4358128410643478,0.43003515338127357,0.4412805012853206,CardOnly,-0.006808744610762196,0.7674765783307611,0.6363889524058837
opp_action=PASSIVE,ALL,PASSIVE,451,0.4724903083025463,0.4635707329994528,0.48289713018362934,0.4850588125286086,0.474681047986068,0.49655775827596954,CardOnly,-0.012568504226062316,0.3807269231658119,0.7252099190664312
PREFLOP×AGGRESSIVE,PREFLOP,AGGRESSIVE,465,0.44827321245394386,0.4372600220405352,0.4601860831224598,0.45635868739357205,0.44565259504891563,0.46708101754746156,CardOnly,-0.00808547493962819,0.7023419144925777,0.633399603848846
PREFLOP×PASSIVE,PREFLOP,PASSIVE,200,0.4915427660264321,0.48074498402661087,0.5037720813133328,0.5161861312504528,0.5006169778137343,0.5308826453150899,CardOnly,-0.024643365224020664,0.2536619848264453,0.7239378979800623
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,674,0.42989773086883154,0.421611375114107,0.43803458559674124,0.4368856837368431,0.42862400752572916,0.44466578293355874,CardOnly,-0.006987952868011571,0.765923427841512,0.6366993777933463
FLOP×PASSIVE,FLOP,PASSIVE,143,0.49572209747179474,0.479823950310364,0.5113153515266226,0.5223362148072485,0.5035368562826393,0.5415350638188494,CardOnly,-0.026614117335453713,0.23886094227370858,0.7238026161604594
TURN×AGGRESSIVE,TURN,AGGRESSIVE,272,0.4152371175634395,0.4041059312657003,0.42836617761385,0.4254404742400543,0.4142702391738636,0.4369852994136574,CardOnly,-0.010203356676614816,0.8134067071826756,0.6256841347655909
TURN×PASSIVE,TURN,PASSIVE,12,0.4003605647623421,0.3696526824996773,0.4474890045949143,0.37859439801513645,0.3189901077353414,0.45356606871181526,StrategyAware,0.021766166747205662,0.7687559354226021,0.753069339777265
RIVER×AGGRESSIVE,RIVER,AGGRESSIVE,166,0.39395692610465427,0.38465163638703254,0.4057369060055455,0.39089940294300307,0.3767285084248892,0.4045658908169028,StrategyAware,0.003057523161651199,0.8809792715041854,0.6610427522012586
RIVER×PASSIVE,RIVER,PASSIVE,96,0.40720822003695006,0.39106206265764615,0.4257429170687133,0.3779904865280603,0.35518530739515963,0.40309498976371905,StrategyAware,0.029217733508889787,0.8082631188779223,0.7264738303611997
