group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,1044,0.5283865573672514,0.5267174158852772,0.5301012632934534,0.5509485262158428,0.5480933780027188,0.5536137671717178,CardOnly,-0.022561968848591407,0.0503081444170017,0.6822108929141338
street=PREFLOP,PREFLOP,ALL,601,0.5334104568240784,0.5315555396639333,0.5353447928068037,0.5388944733693951,0.5360187601646419,0.5416050096941276,CardOnly,-0.005484016545316717,0.04756582939479012,0.6572925568692876
street=FLOP,FLOP,ALL,413,0.5212913215189287,0.5186145785644588,0.5242149280741563,0.5653016151389519,0.5622521583974894,0.5680928274814091,CardOnly,-0.04401029362002329,0.054364840868818265,0.7131082615436735
street=TURN,TURN,ALL,14,0.5248984635707906,0.5184759740981822,0.530817027990517,0.5761979135365908,0.5538750497258316,0.5972577341712798,CardOnly,-0.05129944996580016,0.04957772662228986,0.725967720228472
street=RIVER,RIVER,ALL,16,0.525874191426924,0.5180403605305094,0.5337689901966075,0.6111465645271152,0.5987755574096258,0.6302865758506561,CardOnly,-0.0852723731001912,0.04924199084668191,0.7823803389486264
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,632,0.5352163423256574,0.533007787768386,0.5376509393956186,0.5376695276678017,0.5345095061859224,0.5410445360249548,CardOnly,-0.0024531853421443373,0.04884344124686129,0.6533991253114841
opp_action=PASSIVE,ALL,PASSIVE,412,0.5179097998582403,0.5160430067725644,0.5196634598237272,0.5713182521439055,0.5692719626237475,0.5736408695888591,CardOnly,-0.053408452285665264,0.05255497063915883,0.7264075849648002
PREFLOP×AGGRESSIVE,PREFLOP,AGGRESSIVE,401,0.5381511889319996,0.5355622909416743,0.5407463796705888,0.5207943170252323,0.518117502066209,0.5238774739952978,StrategyAware,0.01735687190676738,0.04592585671511414,0.6240529852429659
PREFLOP×PASSIVE,PREFLOP,PASSIVE,200,0.5239052889476962,0.5218640790612188,0.5257835765715964,0.5751852868394418,0.5731634385885235,0.5769616813828696,CardOnly,-0.05127999789174564,0.050853974617540466,0.7239378979800623
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,216,0.5304050805589932,0.5260828741505997,0.5351128275269218,0.5667160422851961,0.5618167473123894,0.5712387233740378,CardOnly,-0.03631096172620296,0.05424461892327421,0.7035987262973995
FLOP×PASSIVE,FLOP,PASSIVE,197,0.5112985704902284,0.5086380808000364,0.5143797397162145,0.5637507711613444,0.5609185866109312,0.5665299680559985,CardOnly,-0.052452200671116,0.054496657824338664,0.7235349600878117
TURN×AGGRESSIVE,TURN,AGGRESSIVE,9,0.5261381963000824,0.5167866913760857,0.5341630298043359,0.5555276786868207,0.5339036060498059,0.5760506935347368,CardOnly,-0.02938948238673833,0.04843873753648189,0.6893556480899806
TURN×PASSIVE,TURN,PASSIVE,5,0.5226669446580654,0.5165159118515098,0.5287814894001237,0.6134043362661766,0.606796203369733,0.6218958822238356,CardOnly,-0.09073739160811123,0.05162790697674417,0.7918694500777562
RIVER×AGGRESSIVE,RIVER,AGGRESSIVE,6,0.5258934034400545,0.5195405312525802,0.5328176425563346,0.5930343528581429,0.5879502672510502,0.5968049462113676,CardOnly,-0.06714094941808835,0.04999999999999999,0.7535790668967493
RIVER×PASSIVE,RIVER,PASSIVE,10,0.5258626642190458,0.5169672551146846,0.5356270682424275,0.6220138915284986,0.6053708491588715,0.6414261458083328,CardOnly,-0.0961512273094528,0.048787185354691065,0.7996611021797525
