group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,5368,0.47368027999079837,0.47066912501538516,0.4765452645015046,0.4842605984950365,0.48049854943476167,0.48814634318270644,CardOnly,-0.010580318504238129,0.31213647124725363,0.6627815114627168
street=PREFLOP,PREFLOP,ALL,1948,0.5058263523927902,0.5021571097948927,0.5095047886611823,0.5127149494605148,0.5087697110303925,0.5168375353075382,CardOnly,-0.0068885970677246,0.23405107009294224,0.6581195323677416
street=FLOP,FLOP,ALL,2103,0.4679113150207214,0.46424577873306927,0.4715120384387014,0.4834083239847734,0.47913262496233955,0.48794685370220436,CardOnly,-0.015497008964051984,0.31804124810340045,0.6667848440882971
street=TURN,TURN,ALL,718,0.4418997960353757,0.43577749352755096,0.44778661370942086,0.4513969638071563,0.44449082421689745,0.45896939846057655,CardOnly,-0.009497167771780612,0.3939655228584322,0.6486788820088559
street=RIVER,RIVER,ALL,599,0.42748657677374563,0.42107593576290475,0.43402317863716267,0.4341092584620319,0.4247761213488968,0.4439733201248419,CardOnly,-0.0066226816882862805,0.4472606059105185,0.6807918866101107
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,3987,0.46614839458000684,0.46306618024411667,0.4693643102605858,0.46755074891553666,0.46421862295579974,0.47112986781490124,CardOnly,-0.0014023543355298207,0.36032854422822147,0.6411232025694736
opp_action=PASSIVE,ALL,PASSIVE,1381,0.49542512223035373,0.4918809824640894,0.49879625716638065,0.5325025755214423,0.5275370025927958,0.537871792954081,CardOnly,-0.03707745329108858,0.1730041070364506,0.7253098804398065
PREFLOP×AGGRESSIVE,PREFLOP,AGGRESSIVE,1352,0.5004831139675253,0.4958297175054635,0.5056998505837607,0.49377394348045267,0.4897444458062444,0.4982847383309643,StrategyAware,0.0067091704870726465,0.2828876349281607,0.6291016173204386
PREFLOP×PASSIVE,PREFLOP,PASSIVE,596,0.5179472556662097,0.5133182888145138,0.5223683062069732,0.5556817952407898,0.5495291284082585,0.562005170895099,CardOnly,-0.03773453957458006,0.12326745321841977,0.7239454067703486
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,1587,0.45700782405041973,0.452705625509007,0.4612501268934043,0.4631147034838866,0.45869935606316997,0.4676372223049697,CardOnly,-0.006106879433466883,0.3846658675818355,0.6481778910203416
FLOP×PASSIVE,FLOP,PASSIVE,516,0.5014458889933354,0.496613930865449,0.5068839337923257,0.5458230056415707,0.5398185842096114,0.5516487528296352,CardOnly,-0.04437711664823529,0.11313180796332985,0.7240120427682296
TURN×AGGRESSIVE,TURN,AGGRESSIVE,634,0.4415473351707695,0.4349993817683634,0.4480957837101377,0.44636874426720047,0.43881127549310556,0.45353681465844997,CardOnly,-0.004821409096430973,0.4169778869586856,0.6371613177248068
TURN×PASSIVE,TURN,PASSIVE,84,0.44456003637061686,0.42992810097675527,0.4595027671010508,0.4893480493825376,0.4701612338225987,0.5079740249850883,CardOnly,-0.04478801301192076,0.2202769652446152,0.735609069581321
RIVER×AGGRESSIVE,RIVER,AGGRESSIVE,414,0.4267344247345627,0.4191713888456753,0.433957893100707,0.4313566329621732,0.42138636615991254,0.44035072919761287,CardOnly,-0.0046222082276105025,0.4331814280938801,0.659406361208813
RIVER×PASSIVE,RIVER,PASSIVE,185,0.4291697710668362,0.418311977622547,0.4413905096845371,0.44026918795901315,0.4229458191523074,0.4582576963643451,CardOnly,-0.011099416892176972,0.47876752275423906,0.7286492245351763
