group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,2296,0.4797245592105585,0.4768738425620642,0.48257600626260494,0.4870567319438754,0.482256508153145,0.49147077081541823,CardOnly,-0.007332172733316877,0.10496884516921444,0.6598118161526435
street=PREFLOP,PREFLOP,ALL,682,0.5249478781723077,0.5214023967553129,0.5286763469181539,0.5270515061084673,0.522530107974128,0.5315353316960185,CardOnly,-0.002103627936159591,0.07334755699478723,0.6564012125926583
street=FLOP,FLOP,ALL,873,0.4674511445099662,0.46405369115217615,0.4709658942365807,0.47420745559166383,0.4689671755343838,0.4791664048112415,CardOnly,-0.006756311081697608,0.10996398668076719,0.6587579156431733
street=TURN,TURN,ALL,420,0.4575872674023928,0.4519921217432297,0.46325598483245356,0.4661269225108323,0.45763478839694605,0.47491258745659537,CardOnly,-0.008539655108439514,0.12309871824019833,0.6580118392037905
street=RIVER,RIVER,ALL,321,0.44598639740723683,0.4382264898989631,0.45330334826194923,0.4644134367323707,0.4538234404551171,0.47500459009652274,CardOnly,-0.018427039325133843,0.13484552213357748,0.6722793460317574
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,1778,0.4745430037870456,0.4710315059396181,0.4778911892288759,0.4707766277175015,0.4661747268777591,0.47516800654774977,StrategyAware,0.0037663760695441084,0.10992704552434905,0.6409587083822018
opp_action=PASSIVE,ALL,PASSIVE,518,0.4975098980966703,0.4925628571573331,0.5023483742884234,0.5429370896938615,0.5373995748169889,0.5479782424699949,CardOnly,-0.04542719159719116,0.0879501574637523,0.7245238347160514
PREFLOP×AGGRESSIVE,PREFLOP,AGGRESSIVE,486,0.519356994920326,0.5151155163116851,0.5237667451819092,0.507277902922722,0.5023388800068299,0.512471981915909,StrategyAware,0.012079091997604041,0.07707576880877337,0.629154987129815
PREFLOP×PASSIVE,PREFLOP,PASSIVE,196,0.538810986644058,0.5324012734074277,0.544284439884809,0.5760819711506725,0.5693509727643531,0.5823432275158199,CardOnly,-0.03727098450661448,0.06410311341520936,0.7239607308321576
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,697,0.46047754485176634,0.4567156796578326,0.46460172691903506,0.45637219290773806,0.4516834696462621,0.46115213444072206,StrategyAware,0.004105351944028279,0.11838666255346715,0.6421027367809591
FLOP×PASSIVE,FLOP,PASSIVE,176,0.4950681840654512,0.48826807382112974,0.5013269697321638,0.5448391492888015,0.53780423803749,0.5507367859852198,CardOnly,-0.04977096522335028,0.07660827598035884,0.7247162092054649
TURN×AGGRESSIVE,TURN,AGGRESSIVE,353,0.4596636565277949,0.4535417055359902,0.46573169872736986,0.4597116877165125,0.4501575667206663,0.4678296149232631,CardOnly,-4.8031188717601037e-05,0.12091050238042654,0.6446741924886034
TURN×PASSIVE,TURN,PASSIVE,67,0.4466474858909461,0.43217317630600044,0.4616470336757464,0.49992659239732307,0.48551803305467084,0.5140563568996024,CardOnly,-0.05327910650637696,0.13462767642675721,0.7282833211509703
RIVER×AGGRESSIVE,RIVER,AGGRESSIVE,242,0.4467596763888264,0.4380473408446709,0.4553279079066599,0.4550997481018692,0.4426114974060734,0.46703784549131283,CardOnly,-0.008340071713042796,0.13551467835194872,0.6559490176597488
RIVER×PASSIVE,RIVER,PASSIVE,79,0.44361761875477246,0.4288786165456487,0.4567942591989205,0.4929439765878311,0.47760912642818565,0.5076174244778803,CardOnly,-0.049326357833058665,0.1327957018190731,0.7223038962346197
