hand_id,decision_idx,street,player_to_act,pot,bet_to_call,pot_odds,equity_truth,agent_action,legal_actions,threshold_call,equity_threshold_correct,ev_truth_chosen,ev_truth_best,ev_truth_best_action,ev_truth_optimal,ev_truth_regret,ev_oracle_chosen,ev_oracle_best,ev_oracle_best_action,ev_oracle_optimal,ev_oracle_regret,ev_belief_chosen,ev_belief_best,ev_belief_best_action,ev_belief_optimal,ev_belief_regret
bac5955c,0,PREFLOP,1,3,1,0.25,0.5737,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,1.3333,1.3333,CHECK_OR_CALL,True,0.0,0.0718,0.0718,CHECK_OR_CALL,True,0.0,,,,False,
bac5955c,1,PREFLOP,0,4,0,0.0,0.4302,CHECK_OR_CALL,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,2.8,2.8,CHECK_OR_CALL,True,0.0,2.1653,2.1653,CHECK_OR_CALL,True,0.0,,,,False,
bac5955c,2,FLOP,0,4,0,0.0,0.849495,CHECK_OR_CALL,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,4.9333,6.4667,BET_OR_RAISE,False,1.5333,4.0056,5.0122,BET_OR_RAISE,False,1.0066,,,,False,
bac5955c,3,FLOP,1,4,0,0.0,0.150505,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,-1.7333,-0.5333,CHECK_OR_CALL,False,1.2,1.6327,1.6844,CHECK_OR_CALL,False,0.0517,,,,False,
bac5955c,4,FLOP,0,6,2,0.25,0.849495,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,7.3333,BET_OR_RAISE,False,7.3333,0.0,2.4801,CHECK_OR_CALL,False,2.4801,,,,False,
6addfc66,0,PREFLOP,1,3,1,0.25,0.8313,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,3.6667,4.2667,BET_OR_RAISE,False,0.6,3.3621,4.3652,BET_OR_RAISE,False,1.0032,,,,False,
6addfc66,1,PREFLOP,0,4,0,0.0,0.1771,CHECK_OR_CALL,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,-0.4,-0.4,CHECK_OR_CALL,True,0.0,1.7994,1.7994,CHECK_OR_CALL,True,0.0,,,,False,
6addfc66,2,FLOP,0,4,0,0.0,0.074747,CHECK_OR_CALL,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,-0.8667,-0.8667,CHECK_OR_CALL,True,0.0,0.027,0.027,CHECK_OR_CALL,True,0.0,,,,False,
6addfc66,3,FLOP,1,4,0,0.0,0.925253,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,5.4667,5.4667,BET_OR_RAISE,True,0.0,4.433,4.433,BET_OR_RAISE,True,0.0,,,,False,
6addfc66,4,FLOP,0,6,2,0.25,0.074747,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",FOLD,True,0.0,0.0,FOLD,True,0.0,0.0,0.0,FOLD,True,0.0,,,,False,
