hand_id,decision_idx,street,player_to_act,pot,bet_to_call,pot_odds,equity_truth,agent_action,legal_actions,threshold_call,equity_threshold_correct,ev_truth_chosen,ev_truth_best,ev_truth_best_action,ev_truth_optimal,ev_truth_regret,ev_oracle_chosen,ev_oracle_best,ev_oracle_best_action,ev_oracle_optimal,ev_oracle_regret,ev_belief_chosen,ev_belief_best,ev_belief_best_action,ev_belief_optimal,ev_belief_regret
f5b56c74,0,PREFLOP,1,3,1,0.25,0.5737,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,1.3333,1.3333,CHECK_OR_CALL,True,0.0,-0.5532,0.0,FOLD,False,0.5532,,,,False,
f5b56c74,1,PREFLOP,0,4,0,0.0,0.4302,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,1.7333,2.8,CHECK_OR_CALL,False,1.0667,0.5463,1.1574,CHECK_OR_CALL,False,0.6112,,,,False,
f5b56c74,2,PREFLOP,1,6,2,0.25,0.5516,BET_OR_RAISE,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,2.9333,2.9333,BET_OR_RAISE,True,0.0,2.7007,2.7007,BET_OR_RAISE,True,0.0,,,,False,
f5b56c74,3,PREFLOP,0,10,2,0.166667,0.4352,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,False,0.0,3.6,CHECK_OR_CALL,False,3.6,0.0,2.4048,BET_OR_RAISE,False,2.4048,,,,False,
3253a8f5,0,PREFLOP,1,3,1,0.25,0.8241,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,3.4,5.5333,BET_OR_RAISE,False,2.1333,3.6072,5.1734,BET_OR_RAISE,False,1.5661,,,,False,
3253a8f5,1,PREFLOP,0,4,0,0.0,0.1776,CHECK_OR_CALL,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,-0.6,-0.6,CHECK_OR_CALL,True,0.0,1.7137,2.7494,BET_OR_RAISE,False,1.0358,,,,False,
3253a8f5,2,FLOP,0,4,0,0.0,0.074747,CHECK_OR_CALL,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,-0.7333,-0.7333,CHECK_OR_CALL,True,0.0,-0.2872,-0.2872,CHECK_OR_CALL,True,0.0,,,,False,
3253a8f5,3,FLOP,1,4,0,0.0,0.925253,BET_OR_RAISE,"CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,,6.3333,6.3333,BET_OR_RAISE,True,0.0,3.2214,3.7101,CHECK_OR_CALL,False,0.4887,,,,False,
3253a8f5,4,FLOP,0,6,2,0.25,0.074747,FOLD,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",FOLD,True,0.0,0.0,FOLD,True,0.0,0.0,0.0,FOLD,True,0.0,,,,False,
ac3bb380,0,PREFLOP,1,3,1,0.25,0.3106,CHECK_OR_CALL,"FOLD,CHECK_OR_CALL,BET_OR_RAISE",CHECK_OR_CALL,True,-0.8667,0.0,FOLD,False,0.8667,1.1536,1.1536,CHECK_OR_CALL,True,0.0,,,,False,
