group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,347,0.456200031217477,0.4465117523409646,0.466958348401573,0.4559280639386581,0.4419302802854578,0.47029281196406053,StrategyAware,0.0002719672788188965,0.4985014352524768,0.7250394021286867
street=PREFLOP,PREFLOP,ALL,129,0.4779567050108761,0.4635952909000537,0.49277026325484036,0.497179900437241,0.4782779828362552,0.5166512139029229,CardOnly,-0.01922319542636486,0.3224376029746984,0.7192687136404188
street=FLOP,FLOP,ALL,148,0.4652663489961983,0.4470659071675033,0.48131769355852283,0.4686710181222861,0.44590936946716375,0.48976898343774816,CardOnly,-0.0034046691260878337,0.47531298418680906,0.7198482032940727
street=TURN,TURN,ALL,26,0.39760280770819717,0.37197607833980545,0.4349232425506976,0.36430401406741003,0.329549833481724,0.40649577531326897,StrategyAware,0.03329879364078714,0.8582750582750582,0.726238012785369
street=RIVER,RIVER,ALL,44,0.3965432553229777,0.37453856044556544,0.4261066817401326,0.346263999601347,0.31204295883878697,0.3876874705710139,StrategyAware,0.05027925572163067,0.8800925925925926,0.7587110467976792
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,152,0.42328788762452685,0.409582476620617,0.43793508454483776,0.40080437749430403,0.3824547898302583,0.41995114660067,StrategyAware,0.022483510130222817,0.7375111364126021,0.7189549934299388
opp_action=PASSIVE,ALL,PASSIVE,195,0.4818546251976226,0.46945393319636736,0.49317164048047624,0.4988962708081033,0.4815173128859803,0.5155858420551914,CardOnly,-0.01704164561048066,0.31219643742509695,0.729782120704121
PREFLOP×AGGRESSIVE,PREFLOP,AGGRESSIVE,29,0.4538336439884332,0.4149842091997537,0.49441353699820195,0.4536967334277102,0.40737115468537366,0.5046482147505348,StrategyAware,0.00013691056072295815,0.5287571165553406,0.7017426594635789
PREFLOP×PASSIVE,PREFLOP,PASSIVE,100,0.48495239270738444,0.4701988888264057,0.4991392283761639,0.509790018870005,0.4900441093503429,0.5288545271230423,CardOnly,-0.02483762616262053,0.2626049440363121,0.7243512693517021
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,76,0.43157981071876356,0.40946504863525846,0.45942293534625966,0.4131375383881214,0.3847709513006993,0.44531305420155093,StrategyAware,0.018442272330642162,0.7164813794665676,0.7147076372146531
FLOP×PASSIVE,FLOP,PASSIVE,72,0.5008243616223793,0.4776477376464029,0.5245241343395249,0.5272896911750156,0.5011311537762223,0.5539092308378134,CardOnly,-0.026465329552636252,0.2207463447248417,0.7252743563779045
TURN×AGGRESSIVE,TURN,AGGRESSIVE,23,0.40123277984690064,0.3723718965158806,0.43961870651260565,0.3730745266508069,0.3332690467281356,0.4198719904292373,StrategyAware,0.02815825319609372,0.8397891963109353,0.7208944370433629
RIVER×AGGRESSIVE,RIVER,AGGRESSIVE,24,0.3812568205066155,0.3683050279665995,0.40914763002383125,0.3244122116360347,0.30537882960732377,0.35890853128592437,StrategyAware,0.05684460887058085,0.9583333333333334,0.7513445581914965
RIVER×PASSIVE,RIVER,PASSIVE,20,0.41488697710261224,0.37826857078990384,0.46095645246890987,0.3724861451597218,0.3169840675951257,0.4351445398305771,StrategyAware,0.04240083194289046,0.7862037037037037,0.7675508331250988
