group,street,opp_action,n,js_cardonly_mean,js_cardonly_ci_lo,js_cardonly_ci_hi,js_strategyaware_mean,js_strategyaware_ci_lo,js_strategyaware_ci_hi,closer_to,js_difference,llm_trash_mean,oracle_trash_mean
OVERALL,ALL,ALL,306,0.5217182665780493,0.51924199487898,0.5240448958056859,0.5712280417391059,0.5688755982416109,0.5734760980772526,CardOnly,-0.04950977516105659,0.05142153438453211,0.722377062472306
street=PREFLOP,PREFLOP,ALL,101,0.5263743064108962,0.5234946306269299,0.5293209102064411,0.5772665975267439,0.5744839313681559,0.5794617533831096,CardOnly,-0.0508922911158477,0.050381314388283006,0.7241853216279902
street=FLOP,FLOP,ALL,197,0.5194410503295416,0.5161508492970769,0.5223753088686579,0.567606174873503,0.5646949909434493,0.5703738121499458,CardOnly,-0.04816512454396138,0.051890439685656334,0.7204556851990858
street=TURN,TURN,ALL,4,0.5121840468979196,0.47125396222019306,0.5387642929574085,0.5744074045438751,0.5232554202708256,0.5974142227265625,CardOnly,-0.062223357645955435,0.05535714285714284,0.7414271959834987
street=RIVER,RIVER,ALL,4,0.5258403807178049,0.5112694158549094,0.5404113455807005,0.5939520884274211,0.5859872492244076,0.6019169276304346,CardOnly,-0.06811170770961616,0.050657894736842096,0.7522962159861999
opp_action=AGGRESSIVE,ALL,AGGRESSIVE,103,0.5273912399030818,0.5241874262819114,0.5308129836925282,0.5715719952871582,0.5685635390466323,0.574794727584758,CardOnly,-0.0441807553840764,0.04958792671260354,0.7167308192588847
opp_action=PASSIVE,ALL,PASSIVE,203,0.5188398613934271,0.5162146583187812,0.521511211893849,0.5710535234363996,0.5684292116297671,0.5736070504753553,CardOnly,-0.05221366204297251,0.05235188704565842,0.725241905087983
PREFLOP×PASSIVE,PREFLOP,PASSIVE,100,0.5256621396180431,0.5232530593796328,0.5277007521486352,0.5767793819130377,0.5743688912869287,0.5787011466230659,CardOnly,-0.05111724229499459,0.050582097229135536,0.7243512693517029
FLOP×AGGRESSIVE,FLOP,AGGRESSIVE,97,0.5270756702766874,0.5242215504936035,0.5301672347271598,0.570710344886772,0.5681330363495639,0.573351203009634,CardOnly,-0.04363467461008452,0.049544586079036744,0.7158113990853839
FLOP×PASSIVE,FLOP,PASSIVE,100,0.5120354689808102,0.5072407091025048,0.5164755412644735,0.5645951299606319,0.5599548303363966,0.5688327635665225,CardOnly,-0.052559660979821676,0.05416591768407736,0.7249606427293763
